Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
AMRUTANJAN,2009,20-March,2009-03-20,2009-11-05,2009-11-05,2009-11-25,15.0,45.2607,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AMRUTANJAN,2009,20-September,2009-09-20,2009-11-05,2009-11-05,2009-11-25,15.0,45.2607,SUCCESS,55.4,41.3,2009-11-26,2010-01-20,37.0,60.89,2010-01-20,42.21,2009-11-30,34.53,-6.74,41.27,58.1,28.37,42.8,-5.44
AMRUTANJAN,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,99.8647,SUCCESS,134.0,77.9,2010-04-14,2010-07-20,69.0,97.0,2010-04-15,59.13,2010-05-25,-2.87,-40.79,37.92,86.89,-12.99,60.16,-39.76
AMRUTANJAN,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,78.868,SUCCESS,84.77,76.1,2010-10-09,2011-01-20,72.0,82.34,2010-10-13,51.8,2010-12-10,4.4,-34.32,38.72,79.31,0.56,59.06,-25.12
AMRUTANJAN,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,63.942,SUCCESS,68.44,61.5,2011-04-09,2011-07-20,70.0,83.34,2011-04-29,63.0,2011-04-19,30.34,-1.47,31.81,80.87,26.47,63.3,-1.0
AMRUTANJAN,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,75.3607,SUCCESS,83.7,69.06,2011-10-12,2012-01-20,70.0,85.5,2012-01-18,61.02,2011-12-19,13.45,-19.03,32.48,83.07,10.23,62.92,-16.51
AMRUTANJAN,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,76.67,SUCCESS,82.45,74.66,2012-04-12,2012-07-20,72.0,91.0,2012-06-20,71.43,2012-05-15,18.69,-6.83,25.52,82.23,7.25,71.87,-6.26
AMRUTANJAN,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,77.822,SUCCESS,80.5,76.14,2012-10-12,2013-01-20,67.0,89.18,2012-10-23,74.0,2012-11-26,14.59,-4.91,19.51,87.63,12.6,74.73,-3.97
AMRUTANJAN,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,61.2113,SUCCESS,67.4,54.13,2013-04-12,2013-07-20,69.0,75.25,2013-05-07,57.45,2013-06-25,22.93,-6.14,29.08,73.35,19.83,58.48,-4.46
AMRUTANJAN,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,56.3033,SUCCESS,59.5,54.05,2013-10-12,2014-01-20,68.0,69.85,2014-01-01,55.55,2013-10-15,24.06,-1.34,25.4,67.85,20.51,55.7,-1.07
AMRUTANJAN,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,65.33,SUCCESS,75.85,61.83,2014-04-10,2014-07-20,44.0,95.0,2014-06-11,67.05,2014-05-16,45.42,2.63,42.78,90.65,38.76,67.5,3.32
AMRUTANJAN,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,233.9267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AMRUTANJAN,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,233.9267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AMRUTANJAN,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,233.9267,SUCCESS,249.6,210.1,2016-01-16,2016-01-20,3.0,217.2,2016-01-18,200.0,2016-01-20,-7.15,-14.5,7.35,208.2,-11.0,202.83,-13.29
AMRUTANJAN,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,212.3293,SUCCESS,231.0,202.5,2016-04-13,2016-07-20,67.0,236.83,2016-05-06,192.65,2016-05-26,11.54,-9.27,20.81,227.68,7.23,195.25,-8.04
AMRUTANJAN,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,230.418,SUCCESS,268.83,214.0,2016-10-11,2017-01-20,71.0,330.65,2016-10-20,243.68,2016-10-14,43.5,5.76,37.74,320.28,39.0,250.95,8.91
