Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
APOLLOPIPE,2019,20-March,2019-03-20,2019-11-11,2019-11-11,2019-12-02,15.0,119.4627,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
APOLLOPIPE,2019,20-September,2019-09-20,2019-11-11,2019-11-11,2019-12-02,15.0,119.4627,SUCCESS,131.65,113.3,2019-12-03,2020-01-20,34.0,136.3,2020-01-17,108.37,2019-12-11,14.09,-9.29,23.38,132.05,10.54,110.93,-7.14
APOLLOPIPE,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,86.1073,SUCCESS,103.98,70.0,2020-04-16,2020-07-20,66.0,135.8,2020-06-09,88.87,2020-04-23,57.71,3.21,54.5,116.93,35.8,93.38,8.45
APOLLOPIPE,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,131.2453,SUCCESS,142.32,124.07,2020-10-13,2021-01-20,70.0,256.63,2021-01-14,125.55,2020-10-14,95.53,-4.34,99.87,249.35,89.99,127.67,-2.72
APOLLOPIPE,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,320.9113,SUCCESS,354.63,270.63,2021-04-14,2021-07-20,66.0,403.1,2021-05-04,312.35,2021-06-23,25.61,-2.67,28.28,394.62,22.97,318.88,-0.63
APOLLOPIPE,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,577.3133,SUCCESS,647.98,500.78,2021-10-09,2022-01-20,71.0,679.0,2021-12-02,515.0,2021-12-20,17.61,-10.79,28.41,656.92,13.79,525.3,-9.01
APOLLOPIPE,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,497.01,SUCCESS,528.05,480.0,2022-04-09,2022-07-20,70.0,633.0,2022-04-19,402.2,2022-07-05,27.36,-19.08,46.44,620.15,24.78,404.15,-18.68
APOLLOPIPE,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,526.0533,SUCCESS,552.0,504.0,2022-10-12,2023-01-20,71.0,567.0,2023-01-20,437.1,2022-11-14,7.78,-16.91,24.69,544.45,3.5,467.5,-11.13
APOLLOPIPE,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,551.9267,SUCCESS,609.0,529.95,2023-04-13,2023-07-20,68.0,773.0,2023-07-19,572.15,2023-04-13,40.05,3.66,36.39,762.85,38.22,581.15,5.29
APOLLOPIPE,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,692.6833,SUCCESS,723.7,663.7,2023-10-12,2024-01-20,70.0,750.0,2024-01-19,630.8,2023-10-30,8.27,-8.93,17.21,740.6,6.92,644.25,-6.99
APOLLOPIPE,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,654.2667,SUCCESS,695.95,623.25,2024-04-13,2024-07-20,66.0,694.75,2024-06-04,588.3,2024-05-10,6.19,-10.08,16.27,688.75,5.27,596.15,-8.88
APOLLOPIPE,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,579.23,SUCCESS,615.7,547.55,2024-10-12,2025-01-20,68.0,580.2,2024-10-14,421.4,2025-01-13,0.17,-27.25,27.42,555.45,-4.11,422.2,-27.11
APOLLOPIPE,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,385.29,SUCCESS,424.0,335.0,2025-04-12,2025-07-20,67.0,494.95,2025-05-27,369.45,2025-04-28,28.46,-4.11,32.57,489.1,26.94,375.05,-2.66
APOLLOPIPE,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,350.4367,SUCCESS,405.2,327.6,2025-10-14,2026-01-20,67.0,341.45,2025-10-23,266.5,2026-01-20,-2.56,-23.95,21.39,337.85,-3.59,270.3,-22.87
APOLLOPIPE,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,428.72,SUCCESS,475.75,372.45,2026-04-16,2026-07-20,65.0,554.0,2026-05-21,421.0,2026-04-29,29.22,-1.8,31.02,547.75,27.76,433.2,1.04
APOLLOPIPE,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
