Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
APOLLOTYRE,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,7.4113,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
APOLLOTYRE,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,7.4113,SUCCESS,8.1,6.15,2002-01-16,2002-01-20,3.0,7.64,2002-01-17,7.23,2002-01-16,3.09,-2.45,5.53,7.45,0.52,7.39,-0.29
APOLLOTYRE,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,7.468,SUCCESS,8.49,6.95,2002-04-12,2002-07-20,70.0,13.23,2002-07-05,6.76,2002-05-22,77.16,-9.48,86.64,12.69,69.93,6.96,-6.8
APOLLOTYRE,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,11.6213,SUCCESS,12.54,10.7,2002-10-12,2003-01-20,67.0,14.91,2002-12-12,11.85,2002-10-17,28.3,1.97,26.33,14.54,25.11,12.01,3.34
APOLLOTYRE,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,12.4693,SUCCESS,13.9,11.3,2003-04-09,2003-07-20,70.0,19.55,2003-06-30,11.4,2003-05-02,56.78,-8.58,65.36,19.2,53.98,11.76,-5.69
APOLLOTYRE,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,17.9653,SUCCESS,21.5,16.2,2003-10-14,2004-01-20,71.0,29.67,2004-01-14,18.45,2003-10-30,65.15,2.7,62.45,29.25,62.81,18.83,4.81
APOLLOTYRE,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,23.038,SUCCESS,25.3,20.5,2004-04-13,2004-07-20,70.0,26.6,2004-04-23,15.8,2004-06-21,15.46,-31.42,46.88,26.34,14.33,16.31,-29.2
APOLLOTYRE,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,21.644,SUCCESS,22.45,20.83,2004-10-09,2005-01-20,71.0,26.11,2005-01-13,20.1,2004-11-16,20.63,-7.13,27.77,25.86,19.48,20.28,-6.3
APOLLOTYRE,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,28.62,SUCCESS,30.27,27.0,2005-04-12,2005-07-20,72.0,28.9,2005-05-30,22.9,2005-06-30,0.98,-19.99,20.96,28.27,-1.22,23.54,-17.75
APOLLOTYRE,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,29.1713,SUCCESS,30.69,26.83,2005-10-11,2006-01-20,70.0,31.5,2005-12-19,23.56,2005-11-29,7.98,-19.24,27.22,31.2,6.95,25.4,-12.93
APOLLOTYRE,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,29.7293,SUCCESS,33.48,28.4,2006-04-11,2006-07-20,72.0,34.89,2006-04-12,19.37,2006-06-14,17.36,-34.85,52.2,32.79,10.3,19.59,-34.11
APOLLOTYRE,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,33.3633,SUCCESS,38.49,30.99,2006-10-12,2007-01-20,69.0,37.29,2006-11-29,30.31,2006-11-20,11.77,-9.15,20.92,36.51,9.43,31.25,-6.33
APOLLOTYRE,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,27.2087,SUCCESS,28.2,25.53,2007-04-12,2007-07-20,45.0,38.97,2007-05-21,26.71,2007-04-19,43.23,-1.83,45.06,36.84,35.4,27.59,1.4
APOLLOTYRE,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,19.4667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
APOLLOTYRE,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,19.4667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
APOLLOTYRE,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,19.4667,SUCCESS,21.2,18.0,2009-01-17,2009-01-20,2.0,19.5,2009-01-19,18.5,2009-01-20,0.17,-4.97,5.14,19.1,-1.88,19.05,-2.14
APOLLOTYRE,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,19.0067,SUCCESS,23.8,17.0,2009-04-16,2009-07-20,66.0,37.4,2009-06-17,18.25,2009-04-21,96.77,-3.98,100.75,35.9,88.88,21.2,11.54
APOLLOTYRE,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,46.72,SUCCESS,53.0,42.4,2009-10-16,2010-01-20,65.0,57.6,2009-11-09,45.0,2009-10-29,23.29,-3.68,26.97,57.0,22.0,45.65,-2.29
APOLLOTYRE,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,74.4,SUCCESS,82.6,70.25,2010-04-14,2010-07-20,69.0,79.45,2010-04-15,61.3,2010-05-21,6.79,-17.61,24.4,75.95,2.08,63.2,-15.05
