Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
APTECHT,2002,20-March,2002-03-20,2002-09-27,2002-09-27,2002-10-21,15.0,23.9727,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
APTECHT,2002,20-September,2002-09-20,2002-09-27,2002-09-27,2002-10-21,15.0,23.9727,SUCCESS,28.21,22.21,2002-10-22,2003-01-20,62.0,33.75,2003-01-17,17.21,2002-11-15,40.79,-28.21,69.0,31.64,31.98,17.68,-26.25
APTECHT,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,23.1553,SUCCESS,24.29,21.64,2003-04-09,2003-07-20,70.0,46.79,2003-07-17,16.43,2003-05-30,102.07,-29.04,131.11,45.36,95.89,16.96,-26.76
APTECHT,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,33.3427,SUCCESS,37.11,30.79,2003-10-14,2004-01-20,71.0,69.79,2004-01-05,32.21,2003-10-14,109.31,-3.4,112.71,65.11,95.28,32.39,-2.86
APTECHT,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,35.626,SUCCESS,39.07,33.64,2004-04-13,2004-07-20,70.0,38.5,2004-04-13,23.29,2004-05-18,8.07,-34.63,42.69,37.75,5.96,24.07,-32.44
APTECHT,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,29.8353,SUCCESS,32.86,29.14,2004-10-09,2005-01-20,71.0,35.5,2004-11-24,27.64,2004-11-01,18.99,-7.36,26.34,34.75,16.47,27.96,-6.29
APTECHT,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,24.9593,SUCCESS,27.82,21.07,2005-04-12,2005-07-20,72.0,72.5,2005-07-19,22.29,2005-04-18,190.47,-10.69,201.17,68.93,176.17,23.32,-6.57
APTECHT,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,72.534,SUCCESS,80.64,64.71,2005-10-11,2006-01-20,70.0,106.93,2005-12-12,61.21,2005-10-21,47.42,-15.61,63.03,104.0,43.38,63.46,-12.51
APTECHT,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,92.2513,SUCCESS,103.57,85.71,2006-04-11,2006-07-20,72.0,98.57,2006-04-12,48.75,2006-06-09,6.85,-47.16,54.0,91.89,-0.39,53.32,-42.2
APTECHT,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,93.3113,SUCCESS,109.71,81.25,2006-10-12,2007-01-20,69.0,127.14,2007-01-04,92.79,2006-12-12,36.25,-0.56,36.81,124.64,33.57,94.89,1.69
APTECHT,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,158.7447,SUCCESS,188.21,148.57,2007-04-12,2007-07-20,45.0,246.54,2007-05-14,174.46,2007-04-12,55.31,9.9,45.41,235.14,48.12,181.14,14.11
APTECHT,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,62.0133,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
APTECHT,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,62.0133,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
APTECHT,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,62.0133,SUCCESS,76.21,46.43,2009-01-17,2009-01-20,2.0,56.0,2009-01-19,52.14,2009-01-20,-9.7,-15.92,6.22,54.89,-11.49,54.39,-12.29
APTECHT,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,65.3287,SUCCESS,87.21,51.61,2009-04-16,2009-07-20,66.0,149.11,2009-06-11,63.32,2009-04-23,128.25,-3.07,131.32,143.0,118.89,65.14,-0.29
APTECHT,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,193.6913,SUCCESS,211.04,180.43,2009-10-16,2010-01-20,65.0,206.39,2009-10-16,115.36,2009-11-27,6.56,-40.44,47.0,199.93,3.22,118.61,-38.76
APTECHT,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,122.346,SUCCESS,132.61,118.36,2010-04-14,2010-07-20,69.0,129.07,2010-04-15,82.21,2010-05-25,5.5,-32.81,38.3,126.54,3.43,82.79,-32.33
APTECHT,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,115.4473,SUCCESS,128.79,107.32,2010-10-09,2011-01-20,72.0,124.64,2010-10-11,81.36,2010-12-10,7.96,-29.53,37.49,122.54,6.14,84.75,-26.59
APTECHT,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,73.0187,SUCCESS,85.18,65.79,2011-04-09,2011-07-20,70.0,95.71,2011-07-19,60.71,2011-06-21,31.08,-16.86,47.93,94.39,29.27,61.86,-15.28
APTECHT,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,83.4747,SUCCESS,96.54,77.86,2011-10-12,2012-01-20,70.0,93.07,2011-11-03,45.93,2012-01-02,11.49,-44.98,56.47,90.0,7.82,46.79,-43.95
APTECHT,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,57.7847,SUCCESS,63.68,54.64,2012-04-12,2012-07-20,72.0,59.64,2012-04-13,46.82,2012-05-09,3.21,-18.98,22.19,57.82,0.06,47.29,-18.16
APTECHT,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,52.4853,SUCCESS,57.46,49.64,2012-10-12,2013-01-20,67.0,54.07,2012-12-12,46.57,2012-11-15,3.02,-11.27,14.29,52.18,-0.58,47.0,-10.45
APTECHT,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,31.5887,SUCCESS,34.79,28.75,2013-04-12,2013-07-20,69.0,47.32,2013-07-11,31.07,2013-04-30,49.8,-1.64,51.44,46.32,46.63,31.39,-0.63
APTECHT,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,45.5593,SUCCESS,51.43,43.25,2013-10-12,2014-01-20,68.0,63.89,2014-01-16,45.25,2013-10-23,40.23,-0.68,40.91,62.39,36.94,48.0,5.36
APTECHT,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,53.6853,SUCCESS,58.89,50.36,2014-04-10,2014-07-20,44.0,80.5,2014-06-11,49.79,2014-05-08,49.95,-7.26,57.2,76.5,42.5,50.29,-6.32
APTECHT,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,48.3393,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
APTECHT,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,48.3393,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
APTECHT,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,48.3393,SUCCESS,55.25,42.93,2016-01-16,2016-01-20,3.0,44.29,2016-01-18,40.79,2016-01-18,-8.38,-15.62,7.24,42.79,-11.48,41.36,-14.44
APTECHT,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,42.8507,SUCCESS,46.68,40.07,2016-04-13,2016-07-20,67.0,57.96,2016-06-17,40.71,2016-05-11,35.26,-5.0,40.26,56.79,32.53,40.96,-4.41
APTECHT,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,118.4187,SUCCESS,125.75,111.21,2016-10-11,2017-01-20,71.0,162.5,2016-10-26,100.82,2016-12-27,37.22,-14.86,52.09,156.04,31.77,103.11,-12.93
APTECHT,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,165.4227,SUCCESS,177.07,160.79,2017-04-11,2017-07-20,70.0,167.14,2017-06-16,127.32,2017-05-23,1.04,-23.03,24.07,165.36,-0.04,131.18,-20.7
APTECHT,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,211.7593,SUCCESS,248.57,190.75,2017-10-12,2018-01-20,70.0,288.79,2017-11-24,209.36,2017-10-27,36.38,-1.13,37.51,282.75,33.52,213.46,0.8
APTECHT,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,195.964,SUCCESS,218.04,182.86,2018-04-12,2018-07-20,71.0,216.04,2018-04-23,155.14,2018-05-21,10.24,-20.83,31.08,208.79,6.55,157.07,-19.85
APTECHT,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,108.3727,SUCCESS,131.21,85.71,2018-10-13,2019-01-20,66.0,149.93,2019-01-15,95.32,2018-10-15,38.35,-12.04,50.39,145.0,33.8,103.82,-4.2
