Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ARCHIES,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,9.9767,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ARCHIES,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,9.9767,SUCCESS,11.14,8.76,2002-01-16,2002-01-20,3.0,10.5,2002-01-16,9.65,2002-01-17,5.25,-3.27,8.52,9.98,0.03,9.78,-1.97
ARCHIES,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,23.128,SUCCESS,28.8,19.64,2002-04-12,2002-07-20,70.0,31.88,2002-06-17,21.2,2002-05-21,37.84,-8.34,46.18,30.43,31.57,23.28,0.66
ARCHIES,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,20.7573,SUCCESS,22.79,18.4,2002-10-12,2003-01-20,67.0,19.9,2002-10-16,14.2,2003-01-13,-4.13,-31.59,27.46,19.59,-5.62,14.25,-31.35
ARCHIES,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,10.682,SUCCESS,12.6,9.41,2003-04-09,2003-07-20,70.0,13.92,2003-06-18,9.02,2003-05-07,30.31,-15.56,45.87,13.3,24.51,9.21,-13.78
ARCHIES,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,12.344,SUCCESS,12.94,11.81,2003-10-14,2004-01-20,71.0,21.3,2003-12-10,10.4,2003-11-03,72.55,-15.75,88.3,20.11,62.91,10.56,-14.45
ARCHIES,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,11.1387,SUCCESS,12.59,8.8,2004-04-13,2004-07-20,70.0,13.8,2004-04-27,8.71,2004-05-17,23.89,-21.8,45.7,13.18,18.33,9.4,-15.61
ARCHIES,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,15.432,SUCCESS,17.5,14.1,2004-10-09,2005-01-20,71.0,21.4,2004-12-30,14.42,2005-01-20,38.67,-6.56,45.23,20.74,34.4,14.89,-3.51
ARCHIES,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,14.4507,SUCCESS,16.44,13.06,2005-04-12,2005-07-20,72.0,32.6,2005-07-14,13.0,2005-04-28,125.6,-10.04,135.63,29.31,102.83,14.12,-2.29
ARCHIES,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,27.916,SUCCESS,31.38,25.81,2005-10-11,2006-01-20,70.0,43.29,2005-12-21,21.07,2005-10-20,55.07,-24.52,79.6,41.43,48.41,22.17,-20.58
ARCHIES,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,31.5093,SUCCESS,34.74,29.95,2006-04-11,2006-07-20,72.0,37.74,2006-05-10,19.26,2006-06-09,19.77,-38.88,58.65,36.91,17.14,19.52,-38.05
ARCHIES,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,31.0353,SUCCESS,40.3,26.82,2006-10-12,2007-01-20,69.0,39.27,2006-10-16,28.3,2007-01-05,26.53,-8.81,35.35,37.84,21.93,28.99,-6.59
ARCHIES,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,25.0773,SUCCESS,28.1,23.25,2007-04-12,2007-07-20,45.0,30.89,2007-04-27,24.88,2007-04-27,23.18,-0.79,23.97,28.78,14.76,25.64,2.24
ARCHIES,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,10.1987,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ARCHIES,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,10.1987,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ARCHIES,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,10.1987,SUCCESS,11.6,8.4,2009-01-17,2009-01-20,2.0,9.39,2009-01-19,8.42,2009-01-19,-7.93,-17.44,9.51,8.87,-13.03,8.84,-13.32
ARCHIES,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,9.3633,SUCCESS,11.74,7.53,2009-04-16,2009-07-20,65.0,20.88,2009-05-28,10.13,2009-04-16,123.0,8.19,114.81,19.11,104.09,10.31,10.11
ARCHIES,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,19.77,SUCCESS,21.4,18.01,2009-10-16,2010-01-20,65.0,21.59,2009-12-10,14.9,2009-11-03,9.21,-24.63,33.84,20.85,5.46,15.21,-23.07
ARCHIES,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,18.866,SUCCESS,20.57,17.82,2010-04-14,2010-07-20,69.0,26.39,2010-07-20,18.8,2010-04-19,39.88,-0.35,40.23,25.0,32.51,19.01,0.76
ARCHIES,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,34.81,SUCCESS,38.18,32.79,2010-10-09,2011-01-20,72.0,48.7,2010-11-04,32.0,2010-11-26,39.9,-8.07,47.97,46.0,32.15,36.02,3.48
ARCHIES,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,37.7567,SUCCESS,42.25,33.05,2011-04-09,2011-07-20,70.0,48.65,2011-04-11,36.05,2011-06-24,28.85,-4.52,33.37,46.85,24.08,36.65,-2.93
ARCHIES,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,39.6467,SUCCESS,42.8,38.0,2011-10-12,2012-01-20,70.0,39.5,2011-10-12,22.25,2012-01-02,-0.37,-43.88,43.51,39.25,-1.0,22.5,-43.25
ARCHIES,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,23.9333,SUCCESS,25.0,23.0,2012-04-12,2012-07-20,72.0,26.1,2012-06-29,20.2,2012-06-04,9.05,-15.6,24.65,25.4,6.13,21.05,-12.05
ARCHIES,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,27.3133,SUCCESS,32.25,25.5,2012-10-12,2013-01-20,67.0,31.2,2012-12-12,23.55,2013-01-17,14.23,-13.78,28.01,30.4,11.3,23.65,-13.41
ARCHIES,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,16.49,SUCCESS,19.05,14.05,2013-04-12,2013-07-20,69.0,19.7,2013-04-22,13.5,2013-06-20,19.47,-18.13,37.6,18.65,13.1,13.9,-15.71
ARCHIES,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,14.9333,SUCCESS,17.35,13.4,2013-10-12,2014-01-20,68.0,22.5,2013-10-24,15.5,2013-10-17,50.67,3.79,46.88,21.4,43.3,15.75,5.47
ARCHIES,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,16.5767,SUCCESS,19.0,15.35,2014-04-10,2014-07-20,44.0,24.2,2014-05-22,16.5,2014-05-09,45.99,-0.46,46.45,22.75,37.24,16.65,0.44
ARCHIES,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,29.5133,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ARCHIES,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,29.5133,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ARCHIES,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,29.5133,SUCCESS,34.3,25.15,2016-01-16,2016-01-20,3.0,25.6,2016-01-18,22.1,2016-01-20,-13.26,-25.12,11.86,24.2,-18.0,22.5,-23.76
ARCHIES,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,20.8,SUCCESS,21.85,19.7,2016-04-13,2016-07-20,67.0,26.35,2016-04-26,20.9,2016-05-26,26.68,0.48,26.2,25.35,21.88,21.2,1.92
ARCHIES,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,25.04,SUCCESS,27.45,23.25,2016-10-11,2017-01-20,71.0,30.85,2016-12-08,19.3,2016-11-09,23.2,-22.92,46.13,28.85,15.22,21.3,-14.94
ARCHIES,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,25.1467,SUCCESS,33.65,23.0,2017-04-11,2017-07-20,70.0,40.1,2017-04-12,26.85,2017-05-31,59.46,6.77,52.69,38.35,52.51,27.05,7.57
ARCHIES,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,30.2733,SUCCESS,33.4,28.65,2017-10-12,2018-01-20,70.0,55.15,2017-12-21,28.0,2017-11-16,82.17,-7.51,89.68,53.3,76.06,28.2,-6.85
ARCHIES,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,33.58,SUCCESS,39.2,30.0,2018-04-12,2018-07-20,71.0,46.4,2018-04-19,25.9,2018-07-19,38.18,-22.87,61.05,43.55,29.69,26.55,-20.94
ARCHIES,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,25.73,SUCCESS,28.5,22.1,2018-10-13,2019-01-20,66.0,40.7,2018-12-19,23.1,2018-10-25,58.18,-10.22,68.4,37.25,44.77,24.2,-5.95
ARCHIES,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,24.52,SUCCESS,26.25,22.6,2019-04-11,2019-07-20,67.0,26.0,2019-04-22,19.15,2019-07-19,6.04,-21.9,27.94,24.2,-1.31,19.35,-21.08
ARCHIES,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,19.9367,SUCCESS,25.0,18.05,2019-10-15,2020-01-20,67.0,24.4,2019-12-06,17.0,2020-01-13,22.39,-14.73,37.12,23.75,19.13,17.4,-12.72
ARCHIES,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,9.18,SUCCESS,10.45,8.05,2020-04-16,2020-07-20,66.0,14.8,2020-06-25,10.0,2020-05-21,61.22,8.93,52.29,14.25,55.23,10.25,11.66
ARCHIES,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,11.7367,SUCCESS,12.45,10.65,2020-10-13,2021-01-20,69.0,15.5,2020-11-25,10.9,2020-10-13,32.06,-7.13,39.19,15.25,29.93,11.3,-3.72
ARCHIES,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,10.9433,SUCCESS,12.3,9.95,2021-04-14,2021-07-20,66.0,29.25,2021-07-20,9.35,2021-04-23,167.29,-14.56,181.85,29.2,166.83,9.75,-10.9
ARCHIES,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,17.8333,SUCCESS,20.65,16.6,2021-10-09,2022-01-20,71.0,22.45,2022-01-19,16.2,2021-11-30,25.89,-9.16,35.05,21.9,22.8,16.5,-7.48
ARCHIES,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,19.3867,SUCCESS,23.6,17.3,2022-04-09,2022-07-20,70.0,24.05,2022-04-11,14.05,2022-06-21,24.05,-27.53,51.58,22.6,16.57,14.25,-26.5
ARCHIES,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,19.5833,SUCCESS,21.95,17.55,2022-10-12,2023-01-20,71.0,29.5,2022-11-18,17.7,2022-11-14,50.64,-9.62,60.26,27.6,40.94,18.65,-4.77
ARCHIES,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,18.5133,SUCCESS,22.0,16.05,2023-04-13,2023-07-20,68.0,28.35,2023-06-14,19.0,2023-05-15,53.13,2.63,50.5,27.9,50.7,19.3,4.25
ARCHIES,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,25.6567,SUCCESS,27.5,24.15,2023-10-12,2024-01-20,70.0,34.65,2024-01-16,22.0,2023-10-26,35.05,-14.25,49.3,33.25,29.6,22.95,-10.55
ARCHIES,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,32.0967,SUCCESS,36.0,28.6,2024-04-16,2024-07-20,65.0,33.45,2024-04-16,22.45,2024-06-05,4.22,-30.06,34.27,32.2,0.32,23.6,-26.47
ARCHIES,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,31.1747,SUCCESS,36.71,27.51,2024-10-12,2025-01-20,68.0,30.0,2024-10-14,22.24,2025-01-13,-3.77,-28.66,24.89,29.03,-6.88,22.57,-27.6
ARCHIES,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,17.034,SUCCESS,18.95,15.04,2025-04-12,2025-07-20,67.0,25.4,2025-06-16,16.5,2025-05-07,49.11,-3.13,52.25,24.16,41.83,17.01,-0.14
ARCHIES,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,20.678,SUCCESS,24.38,19.95,2025-10-14,2026-01-20,67.0,21.0,2025-12-18,16.67,2026-01-19,1.56,-19.38,20.94,20.5,-0.86,16.82,-18.66
ARCHIES,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,13.416,SUCCESS,15.01,10.86,2026-04-16,2026-07-20,65.0,16.77,2026-05-07,13.0,2026-07-02,25.0,-3.1,28.1,16.23,20.97,13.67,1.89
ARCHIES,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
