Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ASPINWALL,2016,20-March,2016-03-20,2016-06-14,2016-06-14,2016-07-04,15.0,210.9133,SUCCESS,263.2,166.25,2016-07-05,2016-07-20,11.0,352.55,2016-07-13,270.0,2016-07-05,67.15,28.01,39.14,335.8,59.21,276.35,31.03
ASPINWALL,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,215.8667,SUCCESS,241.0,198.0,2016-10-11,2017-01-20,70.0,222.0,2016-10-14,164.2,2016-11-23,2.84,-23.93,26.78,220.1,1.96,170.0,-21.25
ASPINWALL,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,219.3867,SUCCESS,234.0,210.5,2017-04-11,2017-07-20,70.0,232.5,2017-05-19,196.25,2017-07-03,5.98,-10.55,16.52,231.85,5.68,204.05,-6.99
ASPINWALL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,282.3467,SUCCESS,300.0,268.0,2017-10-12,2018-01-20,70.0,579.5,2017-12-27,290.05,2017-10-12,105.24,2.73,102.52,553.0,95.86,309.8,9.72
ASPINWALL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,386.2033,SUCCESS,409.0,365.0,2018-04-12,2018-07-20,71.0,408.0,2018-04-13,231.5,2018-07-20,5.64,-40.06,45.7,394.0,2.02,236.35,-38.8
ASPINWALL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,188.18,SUCCESS,225.0,166.3,2018-10-13,2019-01-20,66.0,203.0,2018-12-11,160.95,2019-01-17,7.88,-14.47,22.35,198.0,5.22,165.6,-12.0
ASPINWALL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,171.11,SUCCESS,183.75,156.95,2019-04-11,2019-07-20,67.0,169.3,2019-04-16,133.6,2019-05-15,-1.06,-21.92,20.86,166.8,-2.52,140.5,-17.89
ASPINWALL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,133.6233,SUCCESS,148.0,112.6,2019-10-15,2020-01-20,67.0,165.0,2020-01-17,125.65,2019-11-21,23.48,-5.97,29.45,157.95,18.21,133.0,-0.47
ASPINWALL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,89.6833,SUCCESS,114.0,71.4,2020-04-16,2020-07-20,65.0,141.0,2020-07-01,93.95,2020-06-16,57.22,4.76,52.46,129.8,44.73,97.8,9.05
ASPINWALL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,126.0833,SUCCESS,141.35,93.75,2020-10-13,2021-01-20,69.0,187.0,2020-12-28,107.75,2020-10-13,48.31,-14.54,62.86,176.25,39.79,114.85,-8.91
ASPINWALL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,181.97,SUCCESS,199.9,170.0,2021-04-14,2021-07-20,66.0,237.8,2021-07-19,156.3,2021-05-06,30.68,-14.11,44.79,226.1,24.25,161.65,-11.17
ASPINWALL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,180.8933,SUCCESS,191.9,176.0,2021-10-09,2022-01-20,71.0,204.7,2021-10-12,135.0,2021-11-26,13.16,-25.37,38.53,196.55,8.66,137.25,-24.13
ASPINWALL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,179.4767,SUCCESS,195.0,163.1,2022-04-09,2022-07-20,70.0,196.0,2022-04-19,148.0,2022-05-12,9.21,-17.54,26.74,191.2,6.53,149.75,-16.56
ASPINWALL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,250.6167,SUCCESS,294.8,230.6,2022-10-12,2023-01-20,71.0,265.0,2022-12-08,207.0,2022-11-25,5.74,-17.4,23.14,251.7,0.43,208.1,-16.96
ASPINWALL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,199.36,SUCCESS,215.0,183.6,2023-04-13,2023-07-20,68.0,294.85,2023-06-14,199.0,2023-04-17,47.9,-0.18,48.08,282.95,41.93,201.4,1.02
ASPINWALL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,258.7967,SUCCESS,284.0,241.55,2023-10-12,2024-01-20,70.0,359.0,2024-01-11,227.0,2023-10-26,38.72,-12.29,51.01,319.85,23.59,229.0,-11.51
ASPINWALL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,261.2267,SUCCESS,293.85,234.15,2024-04-13,2024-07-20,66.0,315.2,2024-07-16,223.7,2024-06-04,20.66,-14.37,35.03,308.1,17.94,250.35,-4.16
ASPINWALL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,285.64,SUCCESS,302.55,265.0,2024-10-12,2025-01-20,68.0,329.5,2024-12-06,260.05,2024-10-22,15.35,-8.96,24.31,322.85,13.03,261.65,-8.4
ASPINWALL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,244.8993,SUCCESS,273.98,220.35,2025-04-12,2025-07-20,67.0,310.0,2025-05-28,236.4,2025-04-15,26.58,-3.47,30.05,304.8,24.46,247.98,1.26
ASPINWALL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,266.2933,SUCCESS,275.0,256.35,2025-10-14,2026-01-20,66.0,299.8,2026-01-01,209.1,2026-01-16,12.58,-21.48,34.06,272.2,2.22,216.0,-18.89
ASPINWALL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,215.7093,SUCCESS,234.0,200.25,2026-04-16,2026-07-20,65.0,272.0,2026-07-15,220.0,2026-05-20,26.1,1.99,24.11,267.35,23.94,224.94,4.28
ASPINWALL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
