Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ASTEC,2009,20-March,2009-03-20,2009-11-25,2009-11-25,2009-12-15,15.0,87.0073,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ASTEC,2009,20-September,2009-09-20,2009-11-25,2009-11-25,2009-12-15,15.0,87.0073,SUCCESS,95.52,81.38,2009-12-16,2010-01-20,23.0,99.24,2010-01-07,81.38,2009-12-18,14.06,-6.47,20.53,86.74,-0.31,81.43,-6.41
ASTEC,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,50.098,SUCCESS,54.78,47.19,2010-04-14,2010-07-20,69.0,79.19,2010-07-08,53.09,2010-04-15,58.07,5.97,52.1,77.41,54.52,54.53,8.85
ASTEC,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,82.588,SUCCESS,92.24,78.4,2010-10-09,2011-01-20,72.0,90.66,2010-10-19,53.49,2011-01-14,9.77,-35.23,45.01,86.84,5.15,53.94,-34.69
ASTEC,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,48.102,SUCCESS,55.03,44.66,2011-04-09,2011-07-20,70.0,61.18,2011-04-18,38.6,2011-06-23,27.19,-19.75,46.94,59.3,23.28,39.55,-17.78
ASTEC,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,35.3293,SUCCESS,38.95,32.75,2011-10-12,2012-01-20,70.0,36.62,2011-11-29,21.04,2011-12-29,3.65,-40.45,44.1,34.39,-2.66,21.78,-38.35
ASTEC,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,29.794,SUCCESS,32.75,27.04,2012-04-12,2012-07-20,72.0,31.76,2012-04-19,21.83,2012-05-18,6.6,-26.73,33.33,30.52,2.44,22.83,-23.37
ASTEC,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,33.3647,SUCCESS,36.37,30.37,2012-10-12,2013-01-20,67.0,36.62,2012-11-02,26.94,2013-01-18,9.76,-19.26,29.01,35.78,7.24,27.09,-18.81
ASTEC,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,18.1507,SUCCESS,22.33,14.79,2013-04-12,2013-07-20,64.0,24.76,2013-05-28,15.63,2013-07-09,36.41,-13.89,50.3,22.68,24.95,16.57,-8.71
ASTEC,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-21,15.0,22.2693,SUCCESS,24.81,20.1,2013-10-22,2014-01-20,56.0,39.05,2014-01-13,18.21,2013-10-22,75.35,-18.23,93.58,38.21,71.58,21.98,-1.3
ASTEC,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-10,15.0,35.5487,SUCCESS,39.89,32.85,2014-04-11,2014-07-20,43.0,48.38,2014-04-25,33.15,2014-04-11,36.1,-6.75,42.84,46.64,31.2,34.24,-3.68
