Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
ASTRAMICRO,2004,20-March,2004-03-20,2004-11-01,2004-11-01,2004-11-22,15.0,27.486,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ASTRAMICRO,2004,20-September,2004-09-20,2004-11-01,2004-11-01,2004-11-22,15.0,27.486,SUCCESS,29.33,25.47,2004-11-23,2005-01-20,42.0,44.8,2005-01-20,26.67,2004-12-10,62.99,-2.97,65.96,44.8,62.99,27.34,-0.53
ASTRAMICRO,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,73.498,SUCCESS,88.95,65.2,2005-04-12,2005-07-20,72.0,139.69,2005-07-20,74.21,2005-04-29,90.06,0.97,89.09,139.69,90.06,76.42,3.98
ASTRAMICRO,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,173.932,SUCCESS,192.67,155.26,2005-10-11,2006-01-20,70.0,175.23,2005-10-11,116.7,2005-10-28,0.75,-32.9,33.65,165.07,-5.1,118.23,-32.03
ASTRAMICRO,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,133.142,SUCCESS,142.67,127.7,2006-04-11,2006-07-20,72.0,166.6,2006-05-11,110.03,2006-04-24,25.13,-17.36,42.49,158.97,19.4,113.5,-14.75
ASTRAMICRO,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,107.596,SUCCESS,116.93,99.33,2006-10-12,2007-01-20,69.0,121.67,2007-01-19,98.33,2006-11-01,13.08,-8.61,21.69,120.2,11.71,99.5,-7.52
ASTRAMICRO,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,90.882,SUCCESS,108.4,85.33,2007-04-12,2007-07-20,45.0,107.93,2007-04-18,81.33,2007-06-08,18.76,-10.51,29.27,105.07,15.61,88.63,-2.48
ASTRAMICRO,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,32.2427,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ASTRAMICRO,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,32.2427,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ASTRAMICRO,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,32.2427,SUCCESS,39.2,28.07,2009-01-17,2009-01-20,2.0,30.93,2009-01-19,28.5,2009-01-19,-4.07,-11.61,7.54,29.87,-7.36,29.77,-7.67
ASTRAMICRO,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,32.328,SUCCESS,41.27,29.0,2009-04-16,2009-07-20,66.0,63.67,2009-06-05,31.37,2009-05-14,96.95,-2.96,99.91,61.3,89.62,32.0,-1.01
ASTRAMICRO,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,56.454,SUCCESS,61.6,50.7,2009-10-16,2010-01-20,65.0,58.33,2010-01-20,40.17,2009-11-03,3.32,-28.84,32.17,55.5,-1.69,40.63,-28.03
ASTRAMICRO,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,45.922,SUCCESS,48.83,44.0,2010-04-14,2010-07-20,69.0,50.47,2010-07-09,36.17,2010-06-07,9.9,-21.24,31.14,49.9,8.66,37.27,-18.84
ASTRAMICRO,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,42.3953,SUCCESS,44.6,41.33,2010-10-09,2011-01-20,72.0,51.93,2010-11-10,33.87,2010-11-26,22.49,-20.11,42.6,49.23,16.12,35.83,-15.49
ASTRAMICRO,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,38.6667,SUCCESS,43.05,35.85,2011-04-09,2011-07-20,70.0,44.4,2011-04-11,24.75,2011-06-24,14.83,-35.99,50.82,43.5,12.5,25.9,-33.02
ASTRAMICRO,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,27.69,SUCCESS,31.95,23.5,2011-10-12,2012-01-20,70.0,41.0,2011-11-04,30.25,2011-10-14,48.07,9.25,38.82,39.35,42.11,31.3,13.04
ASTRAMICRO,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,36.0733,SUCCESS,38.85,34.5,2012-04-12,2012-07-20,72.0,46.5,2012-07-11,34.0,2012-04-13,28.9,-5.75,34.65,45.05,24.88,34.35,-4.78
ASTRAMICRO,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,43.3467,SUCCESS,50.0,41.15,2012-10-12,2013-01-20,67.0,44.9,2013-01-04,36.25,2012-11-19,3.58,-16.37,19.96,43.85,1.16,37.0,-14.64
ASTRAMICRO,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,40.3567,SUCCESS,45.6,39.15,2013-04-12,2013-07-20,69.0,47.4,2013-05-22,35.0,2013-06-26,17.45,-13.27,30.73,42.4,5.06,35.3,-12.53
ASTRAMICRO,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,35.4167,SUCCESS,39.75,33.6,2013-10-12,2014-01-20,68.0,63.5,2014-01-02,35.4,2013-10-14,79.29,-0.05,79.34,62.2,75.62,36.35,2.64
ASTRAMICRO,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,52.0633,SUCCESS,67.0,47.6,2014-04-10,2014-07-20,44.0,121.4,2014-06-11,58.9,2014-04-16,133.18,13.13,120.05,118.1,126.84,59.95,15.15
ASTRAMICRO,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,136.8733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ASTRAMICRO,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,136.8733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
ASTRAMICRO,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,136.8733,SUCCESS,150.9,120.0,2016-01-16,2016-01-20,3.0,122.7,2016-01-18,103.6,2016-01-18,-10.36,-24.31,13.95,116.0,-15.25,110.1,-19.56
ASTRAMICRO,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,109.83,SUCCESS,125.85,101.55,2016-04-13,2016-07-20,67.0,139.3,2016-06-08,109.4,2016-05-24,26.83,-0.39,27.22,132.75,20.87,110.2,0.34
ASTRAMICRO,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,114.9467,SUCCESS,119.7,108.5,2016-10-11,2017-01-20,71.0,124.6,2017-01-10,101.5,2016-11-21,8.4,-11.7,20.1,122.35,6.44,102.9,-10.48
ASTRAMICRO,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,112.9167,SUCCESS,118.9,108.8,2017-04-11,2017-07-20,70.0,149.25,2017-06-09,114.25,2017-04-19,32.18,1.18,31.0,145.9,29.21,114.95,1.8
ASTRAMICRO,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,127.4667,SUCCESS,143.9,121.1,2017-10-12,2018-01-20,70.0,128.8,2017-10-23,100.9,2017-11-08,1.05,-20.84,21.89,126.0,-1.15,102.4,-19.67
ASTRAMICRO,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,79.68,SUCCESS,85.9,74.75,2018-04-12,2018-07-20,71.0,112.45,2018-05-30,79.8,2018-04-18,41.13,0.15,40.98,108.7,36.42,80.35,0.84
ASTRAMICRO,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,85.07,SUCCESS,97.05,75.0,2018-10-13,2019-01-20,66.0,86.25,2018-12-20,74.2,2018-12-11,1.39,-12.78,14.16,84.6,-0.55,74.95,-11.9
ASTRAMICRO,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,98.4033,SUCCESS,105.75,92.05,2019-04-11,2019-07-20,67.0,101.5,2019-04-11,77.25,2019-07-19,3.15,-21.5,24.64,100.0,1.62,77.9,-20.84
ASTRAMICRO,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,79.28,SUCCESS,86.4,75.5,2019-10-15,2020-01-20,67.0,92.95,2020-01-15,72.9,2019-11-05,17.24,-8.05,25.29,90.85,14.59,75.6,-4.64
ASTRAMICRO,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,56.4233,SUCCESS,74.5,45.25,2020-04-16,2020-07-20,66.0,127.9,2020-07-10,57.1,2020-05-12,126.68,1.2,125.48,122.4,116.93,60.1,6.52
ASTRAMICRO,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,116.3833,SUCCESS,125.7,111.05,2020-10-13,2021-01-20,69.0,134.8,2020-12-09,103.5,2020-11-03,15.82,-11.07,26.89,128.95,10.8,104.2,-10.47
ASTRAMICRO,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,128.7233,SUCCESS,143.9,112.9,2021-04-14,2021-07-20,66.0,187.5,2021-07-15,110.35,2021-04-19,45.66,-14.27,59.93,181.95,41.35,112.6,-12.53
ASTRAMICRO,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,196.0533,SUCCESS,214.0,170.05,2021-10-09,2022-01-20,71.0,290.0,2021-11-16,191.0,2021-10-20,47.92,-2.58,50.5,285.9,45.83,191.65,-2.25
ASTRAMICRO,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,223.5067,SUCCESS,248.0,211.35,2022-04-09,2022-07-20,70.0,284.0,2022-04-25,182.45,2022-06-20,27.07,-18.37,45.43,276.75,23.82,184.45,-17.47
ASTRAMICRO,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,310.65,SUCCESS,346.9,288.85,2022-10-12,2023-01-20,71.0,346.9,2022-11-09,251.65,2022-12-26,11.67,-18.99,30.66,328.3,5.68,259.7,-16.4
ASTRAMICRO,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,236.4267,SUCCESS,253.9,213.3,2023-04-13,2023-07-20,68.0,389.5,2023-06-22,249.0,2023-04-13,64.74,5.32,59.43,384.0,62.42,256.25,8.38
ASTRAMICRO,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,430.8867,SUCCESS,464.8,405.0,2023-10-12,2024-01-20,70.0,631.5,2023-12-20,432.25,2023-10-26,46.56,0.32,46.24,622.35,44.43,443.5,2.93
ASTRAMICRO,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,606.5133,SUCCESS,671.95,530.0,2024-04-13,2024-07-20,66.0,1059.0,2024-06-18,632.1,2024-05-09,74.6,4.22,70.39,1021.75,68.46,635.1,4.71
ASTRAMICRO,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,859.4967,SUCCESS,932.0,787.0,2024-10-12,2025-01-20,68.0,883.3,2024-10-14,718.1,2024-10-23,2.77,-16.45,19.22,853.15,-0.74,729.0,-15.18
ASTRAMICRO,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,688.67,SUCCESS,729.75,631.0,2025-04-12,2025-07-20,67.0,1195.9,2025-06-05,730.0,2025-04-15,73.65,6.0,67.65,1178.6,71.14,746.95,8.46
ASTRAMICRO,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1085.3667,SUCCESS,1174.9,973.0,2025-10-14,2026-01-20,67.0,1119.0,2025-10-21,865.6,2025-12-09,3.1,-20.25,23.35,1104.85,1.8,879.5,-18.97
ASTRAMICRO,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,948.4067,SUCCESS,1041.75,851.0,2026-04-16,2026-07-20,65.0,1871.0,2026-07-07,1034.35,2026-04-16,97.28,9.06,88.22,1850.0,95.06,1064.55,12.25
ASTRAMICRO,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
