Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
AUROPHARMA,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,11.4933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUROPHARMA,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,11.4933,SUCCESS,12.5,10.41,2002-01-16,2002-01-20,3.0,12.35,2002-01-16,11.85,2002-01-18,7.45,3.1,4.35,12.19,6.06,11.95,3.97
AUROPHARMA,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,11.248,SUCCESS,13.15,10.5,2002-04-12,2002-07-20,70.0,12.85,2002-04-12,10.05,2002-05-22,14.24,-10.65,24.89,12.38,10.06,10.5,-6.65
AUROPHARMA,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,10.6567,SUCCESS,10.9,10.5,2002-10-12,2003-01-20,67.0,13.81,2003-01-20,10.01,2002-10-30,29.59,-6.07,35.66,13.44,26.12,10.36,-2.78
AUROPHARMA,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,11.0667,SUCCESS,11.55,10.41,2003-04-09,2003-07-20,70.0,22.73,2003-07-08,10.85,2003-04-17,105.39,-1.96,107.35,22.22,100.78,10.94,-1.14
AUROPHARMA,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,31.672,SUCCESS,35.25,27.75,2003-10-14,2004-01-20,71.0,47.7,2004-01-02,27.33,2003-10-24,50.61,-13.71,64.32,46.46,46.69,27.92,-11.85
AUROPHARMA,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,36.1253,SUCCESS,39.44,29.32,2004-04-13,2004-07-20,70.0,43.0,2004-05-14,30.3,2004-07-13,19.03,-16.13,35.16,42.35,17.23,31.4,-13.08
AUROPHARMA,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,36.232,SUCCESS,38.49,34.32,2004-10-09,2005-01-20,71.0,37.9,2004-10-09,27.41,2005-01-20,4.6,-24.35,28.95,37.34,3.06,27.73,-23.47
AUROPHARMA,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,28.2887,SUCCESS,32.0,27.1,2005-04-12,2005-07-20,72.0,37.38,2005-07-20,26.2,2005-04-20,32.14,-7.38,39.52,36.25,28.14,26.54,-6.18
AUROPHARMA,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,35.5273,SUCCESS,37.05,33.56,2005-10-11,2006-01-20,70.0,56.8,2006-01-12,28.15,2005-10-27,59.88,-20.77,80.64,55.3,55.65,28.89,-18.68
AUROPHARMA,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,66.12,SUCCESS,71.1,60.5,2006-04-11,2006-07-20,72.0,74.7,2006-05-08,46.7,2006-06-19,12.98,-29.37,42.35,72.4,9.5,48.3,-26.95
AUROPHARMA,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,62.1253,SUCCESS,64.4,60.0,2006-10-12,2007-01-20,69.0,76.1,2007-01-17,57.0,2006-11-10,22.49,-8.25,30.74,74.88,20.53,58.76,-5.42
AUROPHARMA,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,65.7213,SUCCESS,70.8,60.03,2007-04-12,2007-07-20,45.0,77.0,2007-06-11,65.3,2007-04-30,17.16,-0.64,17.8,75.81,15.35,66.03,0.47
AUROPHARMA,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,15.7747,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUROPHARMA,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,15.7747,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUROPHARMA,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,15.7747,SUCCESS,18.25,13.5,2009-01-17,2009-01-20,2.0,14.65,2009-01-19,13.8,2009-01-20,-7.13,-12.52,5.39,14.15,-10.3,14.02,-11.12
AUROPHARMA,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,18.4553,SUCCESS,22.5,16.65,2009-04-16,2009-07-20,66.0,52.9,2009-06-25,20.51,2009-04-23,186.64,11.13,175.5,50.4,173.09,21.39,15.9
