Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
AUSOMENT,2002,20-March,2002-03-20,2002-07-18,2002-07-18,2002-09-09,15.0,6.1867,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUSOMENT,2002,20-September,2002-09-20,2002-09-25,2002-09-25,2002-11-14,15.0,6.3367,SUCCESS,12.1,2.3,2002-11-15,2003-01-20,23.0,7.55,2002-11-25,1.45,2002-12-10,19.15,-77.12,96.27,6.35,0.21,1.45,-77.12
AUSOMENT,2003,20-March,2003-03-20,2003-03-24,2003-03-24,2003-06-24,15.0,2.5733,SUCCESS,3.45,1.85,2003-06-25,2003-07-20,15.0,3.5,2003-06-27,2.0,2003-07-01,36.01,-22.28,58.29,3.0,16.58,2.15,-16.45
AUSOMENT,2003,20-September,2003-09-20,2004-01-16,2004-01-16,2004-07-30,15.0,1.45,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUSOMENT,2004,20-March,2004-03-20,2004-07-16,2004-07-16,2004-09-15,15.0,1.1533,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUSOMENT,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2005-01-19,15.0,4.09,SUCCESS,5.65,1.9,2005-01-20,2005-01-20,1.0,5.95,2005-01-20,5.95,2005-01-20,45.48,45.48,0.0,5.95,45.48,5.95,45.48
AUSOMENT,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-12,15.0,5.65,SUCCESS,6.5,5.0,2005-04-13,2005-07-20,71.0,17.7,2005-06-13,5.0,2005-04-18,213.27,-11.5,224.78,16.85,198.23,5.05,-10.62
AUSOMENT,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,9.0933,SUCCESS,11.85,7.55,2005-10-11,2006-01-20,68.0,9.4,2006-01-16,5.35,2005-12-27,3.37,-41.17,44.54,9.0,-1.03,5.6,-38.42
AUSOMENT,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,4.35,SUCCESS,5.55,3.4,2006-04-11,2006-07-20,59.0,6.75,2006-05-09,3.3,2006-07-20,55.17,-24.14,79.31,6.7,54.02,3.3,-24.14
AUSOMENT,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,3.23,SUCCESS,3.8,2.8,2006-10-12,2007-01-20,63.0,5.3,2007-01-10,2.75,2006-12-07,64.09,-14.86,78.95,5.3,64.09,2.85,-11.76
AUSOMENT,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-16,15.0,3.4633,SUCCESS,3.95,3.2,2007-04-17,2007-07-20,34.0,4.9,2007-05-16,3.6,2007-04-19,41.48,3.95,37.54,4.7,35.71,3.7,6.83
AUSOMENT,2007,20-September,2007-09-20,2008-12-29,2008-12-29,2009-01-22,15.0,5.98,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUSOMENT,2008,20-March,2008-03-20,2008-12-29,2008-12-29,2009-01-22,15.0,5.98,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUSOMENT,2008,20-September,2008-09-20,2008-12-29,2008-12-29,2009-01-22,15.0,5.98,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUSOMENT,2009,20-March,2009-03-20,2009-03-25,2009-03-25,2009-04-21,15.0,9.3667,SUCCESS,10.15,8.8,2009-04-22,2009-07-20,50.0,12.1,2009-07-20,8.8,2009-06-02,29.18,-6.05,35.23,12.1,29.18,9.25,-1.25
AUSOMENT,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-17,15.0,11.0433,SUCCESS,11.9,10.4,2009-10-18,2010-01-20,55.0,23.3,2009-12-22,10.95,2009-10-21,110.99,-0.85,111.83,22.9,107.36,11.5,4.14
AUSOMENT,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,24.06,SUCCESS,28.5,21.0,2010-04-14,2010-07-20,60.0,45.85,2010-07-12,22.7,2010-04-16,90.57,-5.65,96.22,44.9,86.62,24.2,0.58
AUSOMENT,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-12,15.0,38.84,SUCCESS,41.0,35.25,2010-10-13,2011-01-20,56.0,47.1,2011-01-05,31.0,2010-11-30,21.27,-20.19,41.45,46.55,19.85,32.5,-16.32
AUSOMENT,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-18,15.0,44.1167,SUCCESS,50.4,42.0,2011-04-19,2011-07-20,45.0,56.0,2011-05-13,34.0,2011-06-27,26.94,-22.93,49.87,51.0,15.6,37.0,-16.13
AUSOMENT,2011,20-September,2011-09-20,2011-09-21,2011-09-21,2011-11-09,15.0,32.78,SUCCESS,37.7,29.45,2011-11-10,2012-01-20,20.0,36.7,2012-01-11,29.95,2011-12-16,11.96,-8.63,20.59,36.6,11.65,31.5,-3.9
AUSOMENT,2012,20-March,2012-03-20,2012-03-21,2012-03-21,2012-07-04,15.0,24.45,SUCCESS,28.45,20.5,2012-07-05,2012-07-20,1.0,21.5,2012-07-05,21.25,2012-07-05,-12.07,-13.09,1.02,21.25,-13.09,21.25,-13.09
AUSOMENT,2012,20-September,2012-09-20,2012-09-21,2012-09-21,2012-11-02,15.0,19.0633,SUCCESS,21.0,17.3,2012-11-03,2013-01-20,24.0,18.25,2012-12-24,13.95,2013-01-16,-4.27,-26.82,22.56,18.25,-4.27,13.95,-26.82
AUSOMENT,2013,20-March,2013-03-20,2013-12-02,2013-12-02,2014-05-27,15.0,9.6267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUSOMENT,2013,20-September,2013-09-20,2013-12-02,2013-12-02,2014-05-27,15.0,9.6267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUSOMENT,2014,20-March,2014-03-20,2014-04-02,2014-04-02,2014-06-09,15.0,9.4267,SUCCESS,10.05,8.95,2014-06-10,2014-07-20,3.0,11.0,2014-06-13,10.0,2014-06-10,16.69,6.08,10.61,11.0,16.69,10.0,6.08
AUSOMENT,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,26.04,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUSOMENT,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,26.04,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AUSOMENT,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,26.04,SUCCESS,28.8,20.1,2016-01-16,2016-01-20,3.0,25.65,2016-01-20,20.3,2016-01-19,-1.5,-22.04,20.55,24.0,-7.83,22.5,-13.59
AUSOMENT,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-21,15.0,21.9333,SUCCESS,24.95,19.0,2016-04-22,2016-07-20,39.0,25.0,2016-05-03,19.0,2016-07-20,13.98,-13.37,27.36,24.95,13.75,19.9,-9.27
AUSOMENT,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-13,15.0,19.6433,SUCCESS,22.55,18.0,2016-10-14,2017-01-20,66.0,37.05,2016-12-09,19.05,2016-10-19,88.61,-3.02,91.63,35.55,80.98,20.0,1.82
AUSOMENT,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-12,15.0,27.8233,SUCCESS,30.7,25.4,2017-04-13,2017-07-20,68.0,32.45,2017-06-16,20.5,2017-06-13,16.63,-26.32,42.95,31.05,11.6,22.0,-20.93
AUSOMENT,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,49.8967,SUCCESS,63.0,40.3,2017-10-12,2018-01-20,70.0,87.65,2017-12-11,43.5,2017-11-01,75.66,-12.82,88.48,87.45,75.26,45.5,-8.81
AUSOMENT,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,70.3567,SUCCESS,84.75,62.4,2018-04-12,2018-07-20,71.0,113.55,2018-04-24,64.0,2018-05-15,61.39,-9.03,70.43,107.5,52.79,65.6,-6.76
AUSOMENT,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,56.39,SUCCESS,67.55,50.1,2018-10-13,2019-01-20,66.0,61.1,2019-01-07,39.2,2018-12-26,8.35,-30.48,38.84,56.7,0.55,40.15,-28.8
AUSOMENT,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,37.2033,SUCCESS,39.35,34.1,2019-04-11,2019-07-20,67.0,51.35,2019-06-12,30.5,2019-05-16,38.03,-18.02,56.04,48.75,31.04,32.35,-13.05
AUSOMENT,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,29.0767,SUCCESS,31.95,26.55,2019-10-15,2020-01-20,66.0,48.45,2019-11-20,25.25,2019-10-16,66.63,-13.16,79.79,44.85,54.25,26.6,-8.52
AUSOMENT,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,26.13,SUCCESS,30.0,23.35,2020-04-16,2020-07-20,64.0,38.4,2020-06-26,23.0,2020-05-26,46.96,-11.98,58.94,35.9,37.39,23.55,-9.87
AUSOMENT,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,45.05,SUCCESS,60.85,38.0,2020-10-13,2021-01-20,69.0,83.3,2020-11-10,39.55,2020-10-13,84.91,-12.21,97.11,78.8,74.92,41.65,-7.55
AUSOMENT,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,50.0933,SUCCESS,59.9,44.3,2021-04-14,2021-07-20,66.0,118.0,2021-07-16,49.0,2021-04-19,135.56,-2.18,137.74,108.5,116.6,51.0,1.81
AUSOMENT,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,68.33,SUCCESS,73.0,63.4,2021-10-09,2022-01-20,71.0,83.95,2021-12-30,56.65,2021-12-02,22.86,-17.09,39.95,81.15,18.76,57.7,-15.56
