Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
AVTNPL,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-12,15.0,5.0367,SUCCESS,5.53,4.63,2007-04-13,2007-07-20,44.0,5.87,2007-04-23,4.35,2007-06-12,16.55,-13.63,30.18,5.54,9.99,4.43,-12.05
AVTNPL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-20,15.0,3.5227,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AVTNPL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-20,15.0,3.5227,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AVTNPL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-20,15.0,3.5227,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
AVTNPL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-21,15.0,2.7653,SUCCESS,3.09,2.51,2009-04-22,2009-07-20,58.0,4.53,2009-06-08,2.8,2009-05-06,63.81,1.25,62.56,4.27,54.41,2.87,3.78
AVTNPL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,3.7107,SUCCESS,4.46,3.16,2009-10-16,2010-01-20,65.0,6.25,2010-01-20,3.3,2009-11-05,68.43,-11.07,79.5,5.54,49.3,3.37,-9.18
AVTNPL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,4.6987,SUCCESS,5.4,4.17,2010-04-14,2010-07-20,68.0,6.6,2010-05-04,4.45,2010-06-15,40.47,-5.29,45.76,6.26,33.23,4.52,-3.8
AVTNPL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,4.586,SUCCESS,4.95,4.3,2010-10-09,2011-01-20,72.0,7.38,2010-10-29,4.62,2010-10-18,60.92,0.74,60.18,7.0,52.64,4.71,2.7
AVTNPL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,5.7473,SUCCESS,7.05,5.27,2011-04-09,2011-07-20,70.0,19.97,2011-07-20,5.21,2011-04-19,247.47,-9.35,256.81,19.97,247.47,5.58,-2.91
AVTNPL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,19.2567,SUCCESS,22.6,17.61,2011-10-12,2012-01-20,70.0,24.08,2011-10-28,11.92,2011-12-22,25.05,-38.1,63.15,22.93,19.08,12.55,-34.83
AVTNPL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,17.9667,SUCCESS,19.2,16.68,2012-04-12,2012-07-20,72.0,20.95,2012-07-02,15.1,2012-05-07,16.6,-15.96,32.56,19.61,9.15,15.61,-13.12
AVTNPL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,19.3727,SUCCESS,22.6,16.03,2012-10-12,2013-01-20,67.0,22.0,2012-10-12,17.25,2012-12-26,13.56,-10.96,24.52,21.48,10.88,17.45,-9.92
AVTNPL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,13.4347,SUCCESS,14.6,11.78,2013-04-12,2013-07-20,69.0,17.4,2013-06-19,12.55,2013-04-29,29.52,-6.58,36.1,15.25,13.51,12.95,-3.61
AVTNPL,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,18.7793,SUCCESS,23.15,17.7,2013-10-12,2014-01-20,68.0,22.95,2014-01-08,17.6,2013-12-13,22.21,-6.28,28.49,22.35,19.01,17.7,-5.75
AVTNPL,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,21.04,SUCCESS,21.65,20.45,2014-04-10,2014-07-20,44.0,40.4,2014-05-23,21.1,2014-04-10,92.02,0.29,91.73,38.7,83.94,22.85,8.6
AVTNPL,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,36.7667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
