Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
BALAXI,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,5.49,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BALAXI,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,5.49,SUCCESS,6.0,4.88,2016-01-16,2016-01-20,3.0,5.18,2016-01-18,4.69,2016-01-20,-5.65,-14.57,8.93,5.18,-5.65,4.69,-14.57
BALAXI,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-21,15.0,2.492,SUCCESS,2.78,2.3,2016-04-22,2016-07-20,49.0,4.96,2016-06-15,2.77,2016-04-26,99.04,11.16,87.88,4.8,92.62,2.91,16.77
BALAXI,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-18,15.0,3.412,SUCCESS,3.62,3.19,2016-10-19,2017-01-20,15.0,3.84,2016-12-05,3.07,2016-10-26,12.54,-10.02,22.57,3.84,12.54,3.09,-9.44
BALAXI,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-06-15,15.0,4.2213,SUCCESS,5.65,3.25,2017-06-16,2017-07-20,11.0,7.2,2017-07-07,5.93,2017-06-16,70.56,40.48,30.09,7.2,70.56,5.93,40.48
BALAXI,2017,20-September,2017-09-20,2017-09-21,2017-09-21,2017-12-19,15.0,2.8867,SUCCESS,3.45,2.58,2017-12-20,2018-01-20,6.0,2.97,2018-01-04,2.83,2018-01-03,2.89,-1.96,4.85,2.97,2.89,2.83,-1.96
BALAXI,2018,20-March,2018-03-20,2018-03-22,2018-03-22,2018-08-09,15.0,3.358,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BALAXI,2018,20-September,2018-09-20,2018-10-15,2018-10-15,2019-04-08,15.0,7.4553,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BALAXI,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-12,15.0,8.9747,SUCCESS,12.31,6.27,2019-04-13,2019-07-20,65.0,28.08,2019-05-13,12.13,2019-07-08,212.88,35.16,177.72,26.75,198.06,12.55,39.84
BALAXI,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,17.6393,SUCCESS,19.88,15.7,2019-10-15,2020-01-20,67.0,18.0,2019-12-31,12.78,2019-11-26,2.04,-27.55,29.59,16.91,-4.13,13.43,-23.86
