Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
BALPHARMA,2006,20-March,2006-03-20,2006-05-08,2006-05-08,2006-05-26,15.0,56.1267,SUCCESS,66.0,45.5,2006-05-27,2006-07-20,40.0,53.0,2006-05-30,30.6,2006-06-15,-5.57,-45.48,39.91,52.45,-6.55,31.35,-44.14
BALPHARMA,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,40.1467,SUCCESS,45.0,36.6,2006-10-12,2007-01-20,69.0,48.2,2006-12-04,35.6,2006-11-20,20.06,-11.33,31.38,46.25,15.2,37.05,-7.71
BALPHARMA,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,26.75,SUCCESS,28.8,23.55,2007-04-12,2007-07-20,45.0,34.5,2007-04-25,25.85,2007-05-09,28.97,-3.36,32.34,33.0,23.36,27.05,1.12
BALPHARMA,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-20,15.0,17.0,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BALPHARMA,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-20,15.0,17.0,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BALPHARMA,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-20,15.0,17.0,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BALPHARMA,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-17,15.0,16.11,SUCCESS,19.65,13.5,2009-04-18,2009-07-20,63.0,28.95,2009-06-02,16.15,2009-04-27,79.7,0.25,79.45,26.6,65.11,16.5,2.42
BALPHARMA,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,25.4433,SUCCESS,26.7,24.3,2009-10-16,2010-01-20,65.0,35.8,2010-01-15,23.3,2009-10-27,40.7,-8.42,49.13,33.45,31.47,23.55,-7.44
BALPHARMA,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,28.9933,SUCCESS,36.15,25.0,2010-04-14,2010-07-20,69.0,32.9,2010-07-14,24.75,2010-05-27,13.47,-14.64,28.11,31.0,6.92,25.15,-13.26
BALPHARMA,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,31.4533,SUCCESS,36.95,29.2,2010-10-09,2011-01-20,72.0,46.8,2010-11-02,26.25,2010-12-10,48.79,-16.54,65.33,43.05,36.87,27.75,-11.77
BALPHARMA,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,25.6,SUCCESS,31.95,22.8,2011-04-09,2011-07-20,70.0,33.4,2011-05-18,25.0,2011-06-24,30.47,-2.34,32.81,32.05,25.2,25.55,-0.2
BALPHARMA,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,22.0767,SUCCESS,24.5,20.2,2011-10-12,2012-01-20,69.0,23.0,2011-11-09,14.2,2011-12-23,4.18,-35.68,39.86,22.45,1.69,15.9,-27.98
BALPHARMA,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-12,15.0,19.8067,SUCCESS,21.65,17.6,2012-04-13,2012-07-20,70.0,22.7,2012-07-05,17.7,2012-05-18,14.61,-10.64,25.24,21.45,8.3,18.25,-7.86
BALPHARMA,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,21.0433,SUCCESS,24.0,19.65,2012-10-12,2013-01-20,65.0,28.35,2012-12-18,20.5,2012-10-18,34.72,-2.58,37.3,27.35,29.97,20.8,-1.16
BALPHARMA,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-07-11,15.0,17.5733,SUCCESS,19.4,15.55,2013-07-12,2013-07-20,2.0,16.0,2013-07-15,15.55,2013-07-18,-8.95,-11.51,2.56,16.0,-8.95,15.55,-11.51
BALPHARMA,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-17,15.0,16.0067,SUCCESS,17.0,15.25,2013-10-18,2014-01-20,57.0,29.95,2014-01-13,17.0,2013-10-18,87.11,6.21,80.9,29.4,83.67,17.0,6.21
BALPHARMA,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,32.4967,SUCCESS,36.3,29.7,2014-04-10,2014-07-20,44.0,40.75,2014-06-09,27.65,2014-06-03,25.4,-14.91,40.31,39.0,20.01,29.4,-9.53
BALPHARMA,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,132.4867,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BALPHARMA,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,132.4867,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BALPHARMA,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,132.4867,SUCCESS,167.9,120.0,2016-01-16,2016-01-20,3.0,122.95,2016-01-18,103.9,2016-01-20,-7.2,-21.58,14.38,111.6,-15.77,103.9,-21.58
BALPHARMA,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,103.6233,SUCCESS,112.5,97.35,2016-04-13,2016-07-20,67.0,109.0,2016-07-12,80.65,2016-06-24,5.19,-22.17,27.36,106.0,2.29,84.3,-18.65
BALPHARMA,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,107.1733,SUCCESS,123.45,94.0,2016-10-11,2017-01-20,71.0,121.15,2016-10-24,87.5,2016-11-21,13.04,-18.36,31.4,118.5,10.57,89.3,-16.68
BALPHARMA,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,89.0267,SUCCESS,92.35,86.1,2017-04-11,2017-07-20,70.0,115.5,2017-04-20,88.0,2017-04-12,29.74,-1.15,30.89,113.9,27.94,89.15,0.14
BALPHARMA,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,95.0733,SUCCESS,104.45,90.5,2017-10-12,2018-01-20,70.0,128.2,2018-01-01,90.65,2017-10-24,34.84,-4.65,39.5,122.5,28.85,91.95,-3.29
BALPHARMA,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,82.4833,SUCCESS,90.6,76.15,2018-04-12,2018-07-20,71.0,100.5,2018-06-13,69.35,2018-05-25,21.84,-15.92,37.77,91.1,10.45,69.85,-15.32
BALPHARMA,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,82.3133,SUCCESS,102.45,72.0,2018-10-13,2019-01-20,66.0,92.5,2018-11-12,75.05,2018-10-25,12.38,-8.82,21.2,87.2,5.94,76.2,-7.43
BALPHARMA,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,70.5667,SUCCESS,76.7,67.8,2019-04-11,2019-07-20,67.0,78.3,2019-04-26,48.45,2019-07-19,10.96,-31.34,42.3,72.5,2.74,49.25,-30.21
BALPHARMA,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,39.0133,SUCCESS,43.5,36.55,2019-10-15,2020-01-20,67.0,50.5,2020-01-15,36.15,2019-10-16,29.44,-7.34,36.78,48.9,25.34,37.3,-4.39
BALPHARMA,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,34.3233,SUCCESS,52.9,23.0,2020-04-16,2020-07-20,66.0,52.0,2020-04-17,33.4,2020-05-22,51.5,-2.69,54.19,49.85,45.24,34.5,0.51
BALPHARMA,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,48.0133,SUCCESS,72.25,42.0,2020-10-13,2021-01-20,69.0,73.6,2020-10-19,49.5,2020-11-05,53.29,3.1,50.19,70.95,47.77,51.05,6.32
BALPHARMA,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,57.34,SUCCESS,68.45,52.5,2021-04-14,2021-07-20,66.0,137.7,2021-04-28,59.25,2021-04-19,140.15,3.33,136.82,125.2,118.35,60.35,5.25
BALPHARMA,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,104.5833,SUCCESS,114.4,101.05,2021-10-09,2022-01-20,71.0,148.85,2022-01-20,90.8,2021-11-22,42.33,-13.18,55.51,138.75,32.67,92.85,-11.22
BALPHARMA,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,113.83,SUCCESS,122.0,106.3,2022-04-09,2022-07-20,70.0,134.4,2022-04-25,85.25,2022-06-21,18.07,-25.11,43.18,128.3,12.71,88.6,-22.16
BALPHARMA,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,93.66,SUCCESS,98.15,90.0,2022-10-12,2023-01-20,71.0,102.4,2022-12-21,85.05,2022-12-19,9.33,-9.19,18.52,99.4,6.13,86.45,-7.7
BALPHARMA,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,70.2233,SUCCESS,75.85,63.35,2023-04-13,2023-07-20,68.0,99.9,2023-07-13,69.6,2023-04-17,42.26,-0.89,43.15,96.0,36.71,70.15,-0.1
BALPHARMA,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,93.99,SUCCESS,97.35,90.9,2023-10-12,2024-01-20,70.0,123.0,2024-01-20,81.2,2023-10-26,30.86,-13.61,44.47,119.0,26.61,84.0,-10.63
BALPHARMA,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,99.2533,SUCCESS,105.85,90.1,2024-04-13,2024-07-20,66.0,131.9,2024-05-30,95.15,2024-05-13,32.89,-4.13,37.03,122.95,23.87,97.65,-1.62
BALPHARMA,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,131.3287,SUCCESS,139.9,121.76,2024-10-12,2025-01-20,68.0,140.95,2024-11-22,108.49,2024-10-28,7.33,-17.39,24.72,137.15,4.43,114.21,-13.03
BALPHARMA,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,97.4127,SUCCESS,128.74,81.8,2025-04-12,2025-07-20,67.0,117.28,2025-04-23,91.5,2025-05-09,20.4,-6.07,26.46,111.36,14.32,93.83,-3.68
BALPHARMA,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,83.6947,SUCCESS,90.3,81.22,2025-10-14,2026-01-20,67.0,84.98,2025-10-27,68.5,2026-01-20,1.54,-18.15,19.69,83.76,0.08,68.87,-17.71
BALPHARMA,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,69.6313,SUCCESS,78.99,60.0,2026-04-16,2026-07-20,65.0,98.85,2026-05-27,74.2,2026-05-05,41.96,6.56,35.4,96.43,38.49,75.42,8.31
BALPHARMA,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
