Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
BATAINDIA,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,17.474,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BATAINDIA,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,17.474,SUCCESS,18.45,16.5,2002-01-16,2002-01-20,3.0,17.88,2002-01-16,17.25,2002-01-17,2.32,-1.28,3.61,17.58,0.61,17.38,-0.54
BATAINDIA,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,20.6667,SUCCESS,22.68,19.5,2002-04-12,2002-07-20,70.0,25.48,2002-07-09,17.53,2002-05-31,23.29,-15.18,38.47,24.73,19.66,17.63,-14.69
BATAINDIA,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,17.3247,SUCCESS,18.25,16.6,2002-10-12,2003-01-20,67.0,18.53,2002-12-13,15.5,2002-11-08,6.96,-10.53,17.49,18.05,4.19,15.93,-8.05
BATAINDIA,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,13.794,SUCCESS,14.68,13.0,2003-04-09,2003-07-20,70.0,24.2,2003-07-03,13.18,2003-04-21,75.44,-4.45,79.89,22.9,66.01,13.33,-3.36
BATAINDIA,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,22.6213,SUCCESS,25.3,21.3,2003-10-14,2004-01-20,71.0,36.2,2003-12-29,18.55,2003-11-05,60.03,-18.0,78.02,35.28,55.96,18.73,-17.2
BATAINDIA,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,26.6133,SUCCESS,34.63,19.05,2004-04-13,2004-07-20,70.0,44.73,2004-04-19,23.1,2004-06-04,68.07,-13.2,81.28,43.2,62.32,23.95,-10.01
BATAINDIA,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,36.2733,SUCCESS,39.4,34.18,2004-10-09,2005-01-20,71.0,49.45,2004-12-28,31.08,2004-10-20,36.33,-14.32,50.64,48.13,32.69,32.55,-10.26
BATAINDIA,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,43.384,SUCCESS,51.83,38.65,2005-04-12,2005-07-20,72.0,60.5,2005-07-18,39.0,2005-05-04,39.45,-10.11,49.56,57.93,33.53,41.2,-5.03
BATAINDIA,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,74.004,SUCCESS,82.73,67.78,2005-10-11,2006-01-20,70.0,101.2,2006-01-19,66.6,2005-10-11,36.75,-10.0,46.75,99.65,34.65,69.88,-5.57
BATAINDIA,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,111.2087,SUCCESS,125.43,95.7,2006-04-11,2006-07-20,72.0,164.23,2006-05-10,68.75,2006-06-14,47.68,-38.18,85.86,159.8,43.69,69.98,-37.07
BATAINDIA,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,108.3007,SUCCESS,118.5,98.15,2006-10-12,2007-01-20,69.0,117.4,2007-01-12,92.0,2006-12-13,8.4,-15.05,23.45,114.53,5.75,93.98,-13.22
BATAINDIA,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,69.9913,SUCCESS,77.95,67.33,2007-04-12,2007-07-20,45.0,96.45,2007-06-04,74.0,2007-04-12,37.8,5.73,32.08,92.7,32.44,74.5,6.44
BATAINDIA,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,49.7613,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BATAINDIA,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,49.7613,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BATAINDIA,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,49.7613,SUCCESS,58.95,45.0,2009-01-17,2009-01-20,2.0,48.85,2009-01-19,46.55,2009-01-20,-1.83,-6.45,4.62,48.25,-3.04,47.3,-4.95
BATAINDIA,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,55.3187,SUCCESS,63.95,47.63,2009-04-16,2009-07-20,66.0,89.9,2009-06-11,51.3,2009-04-22,62.51,-7.26,69.78,84.53,52.81,56.9,2.86
BATAINDIA,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,91.748,SUCCESS,97.4,87.13,2009-10-16,2010-01-20,65.0,108.1,2010-01-18,81.6,2009-11-03,17.82,-11.06,28.88,104.55,13.95,83.03,-9.5
BATAINDIA,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,119.996,SUCCESS,130.35,113.1,2010-04-14,2010-07-20,69.0,151.65,2010-04-29,120.08,2010-05-21,26.38,0.07,26.31,147.35,22.8,125.73,4.78
BATAINDIA,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,168.104,SUCCESS,178.73,160.78,2010-10-09,2011-01-20,72.0,209.8,2011-01-11,154.5,2010-11-26,24.8,-8.09,32.9,201.73,20.0,159.1,-5.36
