Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
BBL,2006,20-March,2006-03-20,2006-11-21,2006-11-21,2006-12-11,15.0,1174.1033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BBL,2006,20-September,2006-09-20,2006-11-21,2006-11-21,2006-12-11,15.0,1174.1033,SUCCESS,1280.0,1072.0,2006-12-12,2007-01-20,27.0,1495.0,2007-01-19,998.0,2006-12-13,27.33,-15.0,42.33,1423.9,21.28,1075.85,-8.37
BBL,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,1212.71,SUCCESS,1387.0,1131.1,2007-04-12,2007-07-20,45.0,2076.4,2007-06-15,1290.0,2007-04-12,71.22,6.37,64.85,2067.55,70.49,1298.3,7.06
BBL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,504.7333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BBL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,504.7333,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BBL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,504.7333,SUCCESS,580.0,430.1,2009-01-17,2009-01-20,2.0,476.1,2009-01-20,455.0,2009-01-19,-5.67,-9.85,4.18,468.05,-7.27,466.95,-7.49
BBL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,456.5367,SUCCESS,604.55,357.3,2009-04-16,2009-07-20,66.0,999.0,2009-06-08,519.3,2009-04-29,118.82,13.75,105.07,954.1,108.99,524.6,14.91
BBL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,963.31,SUCCESS,1037.0,905.1,2009-10-16,2010-01-20,65.0,1166.85,2010-01-18,880.0,2009-11-04,21.13,-8.65,29.78,1135.9,17.92,887.15,-7.91
BBL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,937.3433,SUCCESS,1015.0,901.0,2010-04-14,2010-07-20,69.0,1292.7,2010-07-16,902.05,2010-05-25,37.91,-3.77,41.68,1260.7,34.5,911.7,-2.74
BBL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,1138.8067,SUCCESS,1199.4,1105.0,2010-10-09,2011-01-20,72.0,1237.0,2010-10-29,872.2,2010-12-10,8.62,-23.41,32.03,1139.8,0.09,902.7,-20.73
BBL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,974.48,SUCCESS,1123.25,913.0,2011-04-09,2011-07-20,70.0,1183.5,2011-04-25,855.0,2011-07-12,21.45,-12.26,33.71,1155.75,18.6,866.4,-11.09
BBL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,696.87,SUCCESS,734.8,657.0,2011-10-12,2012-01-20,70.0,751.0,2011-10-13,512.0,2011-12-20,7.77,-26.53,34.3,742.4,6.53,518.2,-25.64
BBL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,608.3767,SUCCESS,660.0,583.0,2012-04-12,2012-07-20,72.0,711.2,2012-04-18,557.0,2012-06-04,16.9,-8.44,25.35,679.35,11.67,559.95,-7.96
BBL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,602.58,SUCCESS,639.0,572.0,2012-10-12,2013-01-20,67.0,625.15,2012-10-23,526.0,2012-11-26,3.75,-12.71,16.45,619.1,2.74,529.5,-12.13
BBL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,430.3,SUCCESS,465.55,401.7,2013-04-12,2013-07-20,69.0,534.15,2013-05-17,341.0,2013-07-19,24.13,-20.75,44.89,511.4,18.85,345.0,-19.82
BBL,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,317.4267,SUCCESS,350.0,302.15,2013-10-12,2014-01-20,68.0,396.8,2014-01-16,306.75,2013-10-29,25.01,-3.36,28.37,380.05,19.73,310.1,-2.31
BBL,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,481.7233,SUCCESS,524.0,444.95,2014-04-10,2014-07-20,44.0,740.0,2014-05-29,501.0,2014-04-10,53.62,4.0,49.61,728.0,51.12,532.5,10.54
BBL,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,840.8433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BBL,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,840.8433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BBL,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,840.8433,SUCCESS,940.0,713.4,2016-01-16,2016-01-20,3.0,858.0,2016-01-20,666.1,2016-01-18,2.04,-20.78,22.82,826.8,-1.67,678.2,-19.34
BBL,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,904.8833,SUCCESS,993.95,807.95,2016-04-13,2016-07-20,67.0,1108.9,2016-05-03,811.5,2016-05-25,22.55,-10.32,32.87,1085.95,20.01,818.75,-9.52
BBL,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,773.1967,SUCCESS,827.0,732.2,2016-10-11,2017-01-20,71.0,949.8,2017-01-18,725.0,2016-11-22,22.84,-6.23,29.07,902.5,16.72,729.85,-5.61
BBL,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,910.3567,SUCCESS,1087.0,826.25,2017-04-11,2017-07-20,70.0,1500.0,2017-06-22,971.0,2017-04-27,64.77,6.66,58.11,1456.7,60.01,982.7,7.95
BBL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,1130.4433,SUCCESS,1248.0,1093.35,2017-10-12,2018-01-20,70.0,1486.9,2018-01-08,964.1,2017-11-16,31.53,-14.71,46.25,1449.5,28.22,975.8,-13.68
BBL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,1541.26,SUCCESS,1640.0,1406.3,2018-04-12,2018-07-20,71.0,1789.8,2018-05-02,1006.8,2018-07-19,16.13,-34.68,50.8,1737.3,12.72,1020.45,-33.79
BBL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,1172.4433,SUCCESS,1408.0,1040.0,2018-10-13,2019-01-20,66.0,1354.0,2018-11-09,1071.05,2018-12-11,15.49,-8.65,24.13,1303.95,11.22,1080.85,-7.81
BBL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,1096.2667,SUCCESS,1147.0,1063.45,2019-04-11,2019-07-20,67.0,1215.0,2019-05-30,957.55,2019-05-14,10.83,-12.65,23.48,1153.45,5.22,972.25,-11.31
BBL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,928.0167,SUCCESS,994.8,870.05,2019-10-15,2020-01-20,67.0,955.0,2019-10-23,409.0,2020-01-01,2.91,-55.93,58.84,916.45,-1.25,412.03,-55.6
BBL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,274.7613,SUCCESS,349.95,212.48,2020-04-16,2020-07-20,66.0,460.3,2020-06-23,310.38,2020-04-16,67.53,12.96,54.56,433.68,57.84,315.0,14.64
BBL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,350.2687,SUCCESS,389.0,336.0,2020-10-13,2021-01-20,70.0,482.0,2020-12-11,325.0,2020-10-19,37.61,-7.21,44.82,465.58,32.92,327.2,-6.59
BBL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,556.8207,SUCCESS,577.0,542.5,2021-04-14,2021-07-20,66.0,757.0,2021-07-13,532.5,2021-04-19,35.95,-4.37,40.32,732.65,31.58,540.53,-2.93
BBL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,668.9653,SUCCESS,698.5,650.5,2021-10-09,2022-01-20,71.0,1026.0,2021-12-15,658.0,2021-10-12,53.37,-1.64,55.01,1001.7,49.74,661.6,-1.1
BBL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,890.7093,SUCCESS,937.05,863.25,2022-04-09,2022-07-20,70.0,939.63,2022-04-20,685.0,2022-05-26,5.49,-23.1,28.59,910.93,2.27,697.98,-21.64
BBL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,951.9167,SUCCESS,1001.38,890.5,2022-10-12,2023-01-20,71.0,1324.5,2022-12-19,938.88,2022-10-12,39.14,-1.37,40.51,1302.53,36.83,950.3,-0.17
BBL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,1274.8327,SUCCESS,1391.0,1195.75,2023-04-13,2023-07-20,68.0,1991.5,2023-07-20,1315.43,2023-04-13,56.22,3.18,53.03,1911.9,49.97,1322.85,3.77
BBL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,1854.7907,SUCCESS,1977.78,1767.55,2023-10-12,2024-01-20,70.0,2709.98,2024-01-12,1712.5,2023-10-26,46.11,-7.67,53.78,2478.28,33.62,1789.85,-3.5
BBL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,3122.4813,SUCCESS,3497.35,2515.7,2024-04-13,2024-07-20,66.0,5689.65,2024-07-11,3007.3,2024-04-26,82.22,-3.69,85.9,5502.4,76.22,3128.15,0.18
BBL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,4688.14,SUCCESS,5000.0,4305.0,2024-10-12,2025-01-20,68.0,5062.0,2024-10-16,3101.55,2025-01-13,7.97,-33.84,41.82,4993.05,6.5,3210.5,-31.52
BBL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,2856.2333,SUCCESS,3085.0,2350.0,2025-04-12,2025-07-20,67.0,3475.0,2025-05-16,2780.6,2025-06-23,21.66,-2.65,24.31,3457.0,21.03,2788.3,-2.38
BBL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,3218.18,SUCCESS,3358.0,3039.0,2025-10-14,2026-01-20,67.0,3411.0,2025-10-16,2511.7,2026-01-20,5.99,-21.95,27.94,3263.9,1.42,2535.7,-21.21
BBL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,2312.64,SUCCESS,2635.0,2051.7,2026-04-16,2026-07-20,65.0,3270.0,2026-04-27,2461.9,2026-05-15,41.4,6.45,34.94,3216.4,39.08,2486.2,7.5
BBL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
