Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
BDL,2018,20-March,2018-03-20,2018-03-23,2018-03-23,2018-04-16,15.0,195.0727,SUCCESS,207.3,181.0,2018-04-17,2018-07-20,68.0,212.5,2018-05-31,170.75,2018-07-20,8.93,-12.47,21.4,207.8,6.52,171.45,-12.11
BDL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,143.6613,SUCCESS,172.38,132.5,2018-10-13,2019-01-20,66.0,163.38,2018-11-09,130.0,2018-12-11,13.73,-9.51,23.24,159.05,10.71,133.88,-6.81
BDL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,142.998,SUCCESS,150.95,138.78,2019-04-11,2019-07-20,67.0,172.5,2019-07-01,125.33,2019-05-15,20.63,-12.36,32.99,169.88,18.8,127.5,-10.84
BDL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,147.3627,SUCCESS,162.4,140.0,2019-10-15,2020-01-20,67.0,182.4,2019-11-13,138.5,2019-10-17,23.78,-6.01,29.79,175.65,19.2,139.58,-5.28
BDL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,94.3447,SUCCESS,124.2,72.65,2020-04-16,2020-07-20,66.0,227.5,2020-07-07,103.55,2020-05-04,141.14,9.76,131.38,214.43,127.28,104.83,11.11
BDL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,153.742,SUCCESS,166.7,140.2,2020-10-13,2021-01-20,70.0,182.95,2021-01-15,142.75,2020-11-05,19.0,-7.15,26.15,177.63,15.54,143.38,-6.74
BDL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,170.464,SUCCESS,183.5,162.75,2021-04-14,2021-07-20,66.0,199.5,2021-07-09,160.55,2021-04-19,17.03,-5.82,22.85,192.15,12.72,162.25,-4.82
BDL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,189.8433,SUCCESS,200.5,184.08,2021-10-09,2022-01-20,71.0,236.7,2022-01-20,185.0,2021-11-29,24.68,-2.55,27.23,230.58,21.46,188.18,-0.88
BDL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,289.026,SUCCESS,369.73,269.0,2022-04-09,2022-07-20,70.0,452.45,2022-04-19,304.23,2022-05-11,56.54,5.26,51.28,427.65,47.96,319.05,10.39
BDL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,446.6327,SUCCESS,482.15,409.3,2022-10-12,2023-01-20,71.0,513.48,2022-10-27,398.7,2022-12-26,14.97,-10.73,25.7,497.8,11.46,410.03,-8.2
BDL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,472.496,SUCCESS,515.0,439.25,2023-04-13,2023-07-20,68.0,639.0,2023-07-11,482.78,2023-04-20,35.24,2.18,33.06,615.8,30.33,485.73,2.8
BDL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,507.49,SUCCESS,544.48,478.0,2023-10-12,2024-01-20,70.0,919.4,2024-01-16,450.0,2023-10-25,81.17,-11.33,92.49,882.55,73.9,467.1,-7.96
BDL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,867.2367,SUCCESS,906.75,793.5,2024-04-13,2024-07-20,66.0,1794.7,2024-07-05,842.5,2024-04-15,106.94,-2.85,109.8,1731.85,99.7,882.2,1.73
BDL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1146.7233,SUCCESS,1230.0,1040.6,2024-10-12,2025-01-20,68.0,1345.8,2025-01-20,890.0,2024-11-18,17.36,-22.39,39.75,1329.25,15.92,926.9,-19.17
BDL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1298.6033,SUCCESS,1384.65,1141.2,2025-04-12,2025-07-20,67.0,2096.6,2025-05-30,1335.0,2025-04-15,61.45,2.8,58.65,2015.5,55.21,1393.2,7.28
BDL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1539.2533,SUCCESS,1654.0,1461.8,2025-10-14,2026-01-20,67.0,1633.4,2025-11-14,1305.7,2025-12-18,6.12,-15.17,21.29,1613.8,4.84,1324.3,-13.96
BDL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,1233.3267,SUCCESS,1373.0,1086.0,2026-04-16,2026-07-20,65.0,1481.2,2026-05-08,1155.2,2026-06-11,20.1,-6.33,26.43,1466.9,18.94,1160.3,-5.92
BDL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
