Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
BEL,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,0.906,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BEL,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,0.906,SUCCESS,1.25,0.76,2002-01-16,2002-01-20,3.0,1.42,2002-01-17,1.1,2002-01-16,56.73,21.41,35.32,1.25,37.97,1.19,31.35
BEL,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,1.4313,SUCCESS,1.75,1.21,2002-04-12,2002-07-20,70.0,2.35,2002-05-10,1.54,2002-04-22,64.18,7.59,56.59,2.25,57.2,1.58,10.39
BEL,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,1.5407,SUCCESS,1.68,1.36,2002-10-12,2003-01-20,67.0,2.07,2003-01-14,1.49,2002-10-17,34.36,-3.29,37.65,2.01,30.46,1.51,-1.99
BEL,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,1.9347,SUCCESS,2.13,1.76,2003-04-09,2003-07-20,70.0,3.85,2003-07-03,1.99,2003-04-10,99.0,2.86,96.14,3.68,90.21,2.11,9.06
BEL,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,4.9067,SUCCESS,5.3,4.37,2003-10-14,2004-01-20,71.0,6.55,2004-01-09,4.15,2003-11-25,33.49,-15.42,48.91,6.37,29.82,4.63,-5.64
BEL,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,4.9233,SUCCESS,5.34,4.55,2004-04-13,2004-07-20,70.0,5.49,2004-04-19,3.49,2004-05-17,11.51,-29.11,40.62,5.41,9.88,3.77,-23.43
BEL,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,5.5193,SUCCESS,5.83,5.27,2004-10-09,2005-01-20,71.0,7.46,2005-01-05,5.23,2004-10-25,35.16,-5.24,40.4,6.75,22.3,5.26,-4.7
BEL,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,6.822,SUCCESS,7.37,6.31,2005-04-12,2005-07-20,72.0,8.9,2005-06-07,6.89,2005-06-30,30.46,1.0,29.46,8.03,17.71,7.0,2.61
BEL,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,8.0447,SUCCESS,8.84,7.22,2005-10-11,2006-01-20,70.0,10.71,2006-01-20,7.21,2005-10-28,33.13,-10.38,43.51,10.65,32.39,7.3,-9.26
BEL,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,13.57,SUCCESS,14.33,13.01,2006-04-11,2006-07-20,72.0,14.9,2006-05-04,8.19,2006-06-14,9.8,-39.65,49.45,14.71,8.4,8.4,-38.1
BEL,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,11.4953,SUCCESS,12.08,11.03,2006-10-12,2007-01-20,69.0,13.83,2006-12-28,10.91,2006-11-20,20.31,-5.09,25.4,13.69,19.09,11.1,-3.44
BEL,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,15.7313,SUCCESS,17.68,14.5,2007-04-12,2007-07-20,45.0,19.9,2007-06-04,15.47,2007-05-11,26.5,-1.66,28.16,19.09,21.35,16.51,4.95
BEL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,7.6,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BEL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,7.6,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BEL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,7.6,SUCCESS,8.18,6.69,2009-01-17,2009-01-20,2.0,8.13,2009-01-20,7.73,2009-01-20,6.97,1.71,5.26,8.09,6.45,7.91,4.08
BEL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,8.9273,SUCCESS,9.99,8.11,2009-04-16,2009-07-20,66.0,15.49,2009-07-20,8.34,2009-04-21,73.51,-6.58,80.09,15.29,71.27,9.08,1.71
BEL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,15.336,SUCCESS,16.73,14.15,2009-10-16,2010-01-20,65.0,21.88,2010-01-15,13.97,2009-10-30,42.67,-8.91,51.58,21.21,38.3,14.1,-8.06
BEL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,21.1993,SUCCESS,22.75,19.42,2010-04-14,2010-07-20,69.0,19.7,2010-04-15,16.64,2010-05-27,-7.07,-21.51,14.43,19.18,-9.53,16.79,-20.8
BEL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,18.1633,SUCCESS,19.48,17.46,2010-10-09,2011-01-20,72.0,19.21,2010-10-11,16.16,2010-10-29,5.76,-11.03,16.79,19.02,4.72,16.49,-9.21
