Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
BLS,2016,20-March,2016-03-20,2016-06-15,2016-06-15,2016-07-05,15.0,23.124,SUCCESS,24.86,21.25,2016-07-06,2016-07-20,10.0,25.68,2016-07-11,23.75,2016-07-20,11.05,2.71,8.35,24.96,7.94,23.85,3.14
BLS,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,36.654,SUCCESS,43.88,29.44,2016-10-11,2017-01-20,71.0,51.0,2016-12-14,39.0,2016-11-30,39.14,6.4,32.74,48.69,32.84,40.78,11.26
BLS,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,41.87,SUCCESS,44.1,38.04,2017-04-11,2017-07-20,70.0,55.36,2017-07-05,29.75,2017-04-17,32.22,-28.95,61.17,53.66,28.16,30.06,-28.21
BLS,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,62.444,SUCCESS,70.85,56.4,2017-10-12,2018-01-20,70.0,73.25,2018-01-10,53.08,2017-12-18,17.31,-15.0,32.3,69.96,12.04,57.11,-8.54
BLS,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,32.5833,SUCCESS,36.08,28.78,2018-04-12,2018-07-20,71.0,50.5,2018-05-29,32.83,2018-04-16,54.99,0.76,54.23,49.93,53.24,33.94,4.16
BLS,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,34.65,SUCCESS,37.18,31.33,2018-10-13,2019-01-20,66.0,36.08,2018-10-16,27.1,2018-12-03,4.13,-21.79,25.92,34.94,0.84,27.6,-20.35
BLS,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,31.0133,SUCCESS,36.2,27.75,2019-04-11,2019-07-20,67.0,34.48,2019-04-24,16.03,2019-07-09,11.18,-48.31,59.49,33.69,8.63,17.53,-43.48
BLS,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,20.1813,SUCCESS,22.43,18.45,2019-10-15,2020-01-20,67.0,20.35,2019-10-15,14.38,2019-11-15,0.84,-28.75,29.58,20.0,-0.9,15.1,-25.18
BLS,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,7.7407,SUCCESS,9.23,6.93,2020-04-16,2020-07-20,66.0,17.9,2020-06-26,6.75,2020-05-19,131.25,-12.8,144.04,17.04,120.14,6.88,-11.12
BLS,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,21.3173,SUCCESS,25.75,18.85,2020-10-13,2021-01-20,70.0,33.25,2021-01-08,17.88,2020-11-23,55.98,-16.12,72.1,30.95,45.19,18.38,-13.78
BLS,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,23.892,SUCCESS,26.2,21.03,2021-04-14,2021-07-20,66.0,36.44,2021-06-17,20.75,2021-04-19,52.52,-13.15,65.67,35.2,47.33,21.36,-10.6
BLS,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,63.8593,SUCCESS,72.8,57.31,2021-10-09,2022-01-20,71.0,68.2,2021-10-11,44.86,2022-01-06,6.8,-29.75,36.55,65.14,2.01,46.76,-26.78
BLS,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,64.1293,SUCCESS,86.0,56.23,2022-04-09,2022-07-20,70.0,122.85,2022-07-19,76.05,2022-05-13,91.57,18.59,72.98,119.38,86.16,79.44,23.87
BLS,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,139.492,SUCCESS,147.75,131.75,2022-10-12,2023-01-20,71.0,208.9,2022-12-14,137.0,2022-10-14,49.76,-1.79,51.54,202.35,45.06,142.15,1.91
BLS,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,160.4033,SUCCESS,178.9,149.65,2023-04-13,2023-07-20,68.0,226.2,2023-07-13,166.3,2023-04-21,41.02,3.68,37.34,221.1,37.84,167.6,4.49
