Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
BOROLTD,2020,20-March,2020-03-20,2020-07-22,2020-07-22,2020-08-11,15.0,164.59,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BOROLTD,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,145.4167,SUCCESS,159.0,136.0,2020-10-13,2021-01-20,69.0,254.0,2020-12-31,130.0,2020-10-14,74.67,-10.6,85.27,242.9,67.04,134.1,-7.78
BOROLTD,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,175.77,SUCCESS,197.7,161.0,2021-04-14,2021-07-20,66.0,253.4,2021-05-26,175.0,2021-04-19,44.17,-0.44,44.6,245.3,39.56,177.85,1.18
BOROLTD,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,219.4067,SUCCESS,233.45,211.5,2021-10-09,2022-01-20,71.0,498.7,2021-12-17,217.6,2021-10-11,127.29,-0.82,128.12,450.75,105.44,225.65,2.85
BOROLTD,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,351.6267,SUCCESS,396.4,326.4,2022-04-09,2022-07-20,70.0,387.5,2022-04-25,239.0,2022-06-20,10.2,-32.03,42.23,374.0,6.36,249.95,-28.92
BOROLTD,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,403.3367,SUCCESS,447.95,374.0,2022-10-12,2023-01-20,71.0,462.5,2022-10-18,331.6,2022-12-26,14.67,-17.79,32.45,449.15,11.36,347.55,-13.83
BOROLTD,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,336.3833,SUCCESS,385.65,300.0,2023-04-13,2023-07-20,68.0,447.3,2023-06-15,368.7,2023-04-17,32.97,9.61,23.37,440.7,31.01,371.15,10.34
BOROLTD,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,400.2667,SUCCESS,415.95,390.85,2023-10-12,2024-01-20,70.0,451.9,2023-12-04,333.2,2023-12-28,12.9,-16.76,29.66,445.55,11.31,334.85,-16.34
BOROLTD,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,369.08,SUCCESS,390.0,354.0,2024-04-13,2024-07-20,66.0,389.65,2024-07-04,285.25,2024-06-04,5.57,-22.71,28.29,387.4,4.96,300.3,-18.64
BOROLTD,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,411.9067,SUCCESS,455.0,390.1,2024-10-12,2025-01-20,68.0,515.9,2024-11-06,373.25,2025-01-14,25.25,-9.38,34.63,500.5,21.51,379.4,-7.89
BOROLTD,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,334.85,SUCCESS,362.0,306.0,2025-04-12,2025-07-20,67.0,392.0,2025-05-20,305.0,2025-05-07,17.07,-8.91,25.98,371.25,10.87,313.25,-6.45
BOROLTD,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,351.2633,SUCCESS,397.95,332.55,2025-10-14,2026-01-20,67.0,363.4,2025-11-04,254.5,2026-01-20,3.46,-27.55,31.0,354.85,1.02,256.55,-26.96
BOROLTD,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,235.6093,SUCCESS,258.75,213.73,2026-04-16,2026-07-20,65.0,269.0,2026-04-17,215.03,2026-05-19,14.17,-8.73,22.91,264.99,12.47,217.56,-7.66
BOROLTD,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
