Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
BRITANNIA,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,59.1893,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BRITANNIA,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,59.1893,SUCCESS,63.0,56.51,2002-01-16,2002-01-20,3.0,60.5,2002-01-17,57.5,2002-01-16,2.21,-2.85,5.07,59.63,0.74,58.38,-1.37
BRITANNIA,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,53.9087,SUCCESS,55.5,52.1,2002-04-12,2002-07-20,70.0,57.6,2002-05-28,50.26,2002-06-27,6.85,-6.77,13.62,54.47,1.04,51.07,-5.27
BRITANNIA,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,52.4867,SUCCESS,54.9,50.8,2002-10-12,2003-01-20,67.0,59.85,2002-11-26,50.6,2002-10-31,14.03,-3.59,17.62,53.02,1.02,51.17,-2.51
BRITANNIA,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,50.1253,SUCCESS,52.5,48.21,2003-04-09,2003-07-20,70.0,57.48,2003-06-13,50.0,2003-04-24,14.67,-0.25,14.92,55.02,9.76,50.76,1.27
BRITANNIA,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,55.7607,SUCCESS,57.6,54.22,2003-10-14,2004-01-20,71.0,72.4,2004-01-02,53.0,2003-11-20,29.84,-4.95,34.79,70.05,25.63,53.16,-4.66
BRITANNIA,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,61.2987,SUCCESS,66.0,59.9,2004-04-13,2004-07-20,70.0,64.9,2004-07-07,53.41,2004-05-17,5.88,-12.87,18.74,64.05,4.49,57.46,-6.26
BRITANNIA,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,66.3087,SUCCESS,69.8,62.61,2004-10-09,2005-01-20,71.0,94.46,2005-01-03,62.0,2004-10-14,42.45,-6.5,48.95,93.12,40.43,62.08,-6.38
BRITANNIA,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,85.5,SUCCESS,92.7,83.06,2005-04-12,2005-07-20,72.0,100.2,2005-07-20,81.2,2005-04-19,17.19,-5.03,22.22,99.92,16.87,83.03,-2.89
BRITANNIA,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,123.4973,SUCCESS,145.68,116.0,2005-10-11,2006-01-20,70.0,156.89,2006-01-19,110.01,2005-10-20,27.04,-10.92,37.96,152.52,23.5,113.99,-7.7
BRITANNIA,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,178.696,SUCCESS,196.0,167.15,2006-04-11,2006-07-20,72.0,186.49,2006-04-12,105.33,2006-07-12,4.36,-41.06,45.42,180.66,1.1,109.78,-38.57
BRITANNIA,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,114.42,SUCCESS,132.0,107.01,2006-10-12,2007-01-20,69.0,130.0,2006-10-12,103.7,2007-01-11,13.62,-9.37,22.99,128.8,12.57,108.65,-5.04
BRITANNIA,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,123.872,SUCCESS,131.9,118.02,2007-04-12,2007-07-20,45.0,165.0,2007-05-29,115.62,2007-04-16,33.2,-6.66,39.86,161.33,30.24,123.89,0.01
BRITANNIA,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,129.8393,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BRITANNIA,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,129.8393,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BRITANNIA,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,129.8393,SUCCESS,135.0,122.3,2009-01-17,2009-01-20,2.0,132.45,2009-01-19,127.51,2009-01-19,2.01,-1.79,3.8,131.18,1.03,131.02,0.91
BRITANNIA,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,140.0227,SUCCESS,168.8,126.25,2009-04-16,2009-07-20,65.0,200.0,2009-05-27,135.15,2009-05-11,42.83,-3.48,46.31,173.91,24.2,151.99,8.55
BRITANNIA,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,156.7833,SUCCESS,166.01,150.5,2009-10-16,2010-01-20,65.0,180.0,2009-10-17,156.23,2009-11-17,14.81,-0.35,15.16,176.31,12.45,160.31,2.25
BRITANNIA,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,161.0487,SUCCESS,173.6,156.1,2010-04-14,2010-07-20,69.0,199.4,2010-07-06,161.0,2010-05-05,23.81,-0.03,23.84,195.0,21.08,163.24,1.36
BRITANNIA,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,217.0527,SUCCESS,226.45,212.5,2010-10-09,2011-01-20,72.0,226.0,2010-11-10,175.5,2011-01-19,4.12,-19.14,23.27,222.98,2.73,177.15,-18.38
BRITANNIA,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,181.006,SUCCESS,194.33,172.25,2011-04-09,2011-07-20,70.0,249.1,2011-07-01,147.6,2011-05-10,37.62,-18.46,56.08,244.78,35.23,181.33,0.18
BRITANNIA,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,228.7773,SUCCESS,236.85,217.5,2011-10-12,2012-01-20,70.0,246.5,2011-11-11,214.28,2012-01-05,7.75,-6.34,14.08,243.05,6.24,219.05,-4.25
BRITANNIA,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,289.3867,SUCCESS,299.95,277.55,2012-04-12,2012-07-20,72.0,298.5,2012-04-13,247.48,2012-06-25,3.15,-14.48,17.63,294.78,1.86,248.85,-14.01
BRITANNIA,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,242.1307,SUCCESS,262.45,234.0,2012-10-12,2013-01-20,67.0,287.45,2013-01-03,222.45,2012-12-13,18.72,-8.13,26.85,255.1,5.36,230.33,-4.87
BRITANNIA,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,261.6827,SUCCESS,272.5,252.0,2013-04-12,2013-07-20,69.0,375.95,2013-06-03,260.15,2013-04-16,43.67,-0.59,44.25,362.1,38.37,263.18,0.57
BRITANNIA,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,404.8927,SUCCESS,440.9,370.13,2013-10-12,2014-01-20,68.0,485.75,2013-10-24,415.0,2013-10-17,19.97,2.5,17.47,474.3,17.14,418.63,3.39
BRITANNIA,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,421.9007,SUCCESS,437.0,404.55,2014-04-10,2014-07-20,44.0,499.5,2014-06-12,410.48,2014-05-19,18.39,-2.71,21.1,490.65,16.3,412.83,-2.15
BRITANNIA,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,1470.7427,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BRITANNIA,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,1470.7427,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BRITANNIA,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,1470.7427,SUCCESS,1506.5,1420.55,2016-01-16,2016-01-20,3.0,1435.0,2016-01-18,1302.5,2016-01-20,-2.43,-11.44,9.01,1382.65,-5.99,1339.85,-8.9
BRITANNIA,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,1339.434,SUCCESS,1389.95,1259.53,2016-04-13,2016-07-20,67.0,1517.53,2016-05-20,1259.55,2016-06-24,13.3,-5.96,19.26,1502.83,12.2,1282.43,-4.26
BRITANNIA,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,1706.154,SUCCESS,1761.0,1599.85,2016-10-11,2017-01-20,71.0,1690.0,2016-11-04,1386.43,2016-12-23,-0.95,-18.74,17.79,1665.38,-2.39,1403.65,-17.73
BRITANNIA,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,1672.3033,SUCCESS,1716.48,1620.0,2017-04-11,2017-07-20,70.0,1919.5,2017-07-19,1669.6,2017-04-19,14.78,-0.16,14.94,1903.1,13.8,1684.25,0.71
BRITANNIA,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,2167.2927,SUCCESS,2207.5,2116.3,2017-10-12,2018-01-20,70.0,2481.95,2017-12-08,2194.53,2017-10-12,14.52,1.26,13.26,2461.63,13.58,2270.05,4.74
BRITANNIA,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,2501.356,SUCCESS,2603.5,2395.0,2018-04-12,2018-07-20,71.0,3287.1,2018-07-17,2555.0,2018-04-12,31.41,2.14,29.27,3266.35,30.58,2581.43,3.2
BRITANNIA,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,2837.2933,SUCCESS,3002.48,2673.58,2018-10-13,2019-01-20,66.0,3245.0,2018-12-19,2628.0,2018-10-25,14.37,-7.38,21.75,3228.85,13.8,2654.65,-6.44
BRITANNIA,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,3041.25,SUCCESS,3139.0,2942.5,2019-04-11,2019-07-20,67.0,3030.0,2019-04-16,2615.85,2019-05-08,-0.37,-13.99,13.62,3020.5,-0.68,2649.5,-12.88
BRITANNIA,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,2999.85,SUCCESS,3583.75,2602.55,2019-10-15,2020-01-20,67.0,3399.0,2019-10-30,2978.05,2020-01-10,13.31,-0.73,14.03,3352.5,11.76,2989.75,-0.34
BRITANNIA,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,2585.7,SUCCESS,2990.0,2100.0,2020-04-16,2020-07-20,66.0,3993.0,2020-07-20,2733.15,2020-04-21,54.43,5.7,48.72,3982.65,54.03,2832.15,9.53
BRITANNIA,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,3725.0567,SUCCESS,3879.95,3540.05,2020-10-13,2021-01-20,69.0,3835.95,2020-10-15,3382.0,2020-10-21,2.98,-9.21,12.19,3789.8,1.74,3397.25,-8.8
BRITANNIA,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,3658.8533,SUCCESS,3850.0,3429.0,2021-04-14,2021-07-20,66.0,3799.9,2021-04-15,3371.4,2021-05-24,3.85,-7.86,11.71,3752.0,2.55,3379.1,-7.65
BRITANNIA,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,3977.1633,SUCCESS,4115.0,3846.85,2021-10-09,2022-01-20,71.0,3960.0,2021-10-18,3430.1,2021-12-20,-0.43,-13.76,13.32,3894.85,-2.07,3471.9,-12.7
BRITANNIA,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,3198.5667,SUCCESS,3354.3,3060.05,2022-04-09,2022-07-20,70.0,3882.1,2022-07-07,3132.05,2022-04-25,21.37,-2.08,23.45,3848.9,20.33,3216.85,0.57
BRITANNIA,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,3791.8233,SUCCESS,3889.8,3602.0,2022-10-12,2023-01-20,71.0,4537.0,2022-12-19,3690.0,2022-10-25,19.65,-2.69,22.34,4526.5,19.38,3713.1,-2.08
BRITANNIA,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,4270.84,SUCCESS,4386.0,4153.0,2023-04-13,2023-07-20,68.0,5269.0,2023-07-06,4222.55,2023-04-13,23.37,-1.13,24.5,5170.0,21.05,4256.4,-0.34
BRITANNIA,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,4548.3767,SUCCESS,4634.3,4466.75,2023-10-12,2024-01-20,70.0,5386.05,2023-12-29,4347.7,2023-11-01,18.42,-4.41,22.83,5361.3,17.87,4397.3,-3.32
BRITANNIA,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,4847.0567,SUCCESS,4980.0,4740.7,2024-04-13,2024-07-20,66.0,5978.0,2024-07-19,4641.0,2024-04-19,23.33,-4.25,27.58,5877.95,21.27,4668.3,-3.69
BRITANNIA,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,6203.5667,SUCCESS,6469.9,5961.1,2024-10-12,2025-01-20,68.0,6114.0,2024-10-16,4663.8,2024-12-23,-1.44,-24.82,23.38,6090.1,-1.83,4698.1,-24.27
