Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
BYKE,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,153.5033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
BYKE,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,153.5033,SUCCESS,162.9,149.05,2016-01-16,2016-01-20,3.0,153.8,2016-01-19,148.0,2016-01-20,0.19,-3.59,3.78,152.5,-0.65,148.6,-3.19
BYKE,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,154.9467,SUCCESS,158.15,151.65,2016-04-13,2016-07-20,67.0,174.25,2016-05-30,151.2,2016-05-04,12.46,-2.42,14.88,173.45,11.94,151.75,-2.06
BYKE,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,177.5033,SUCCESS,200.0,158.6,2016-10-11,2017-01-20,71.0,195.45,2016-11-08,159.35,2016-12-05,10.11,-10.23,20.34,192.2,8.28,161.35,-9.1
BYKE,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,184.09,SUCCESS,194.0,173.5,2017-04-11,2017-07-20,70.0,221.9,2017-05-05,184.0,2017-06-30,20.54,-0.05,20.59,213.95,16.22,185.05,0.52
BYKE,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,172.4833,SUCCESS,183.95,166.15,2017-10-12,2018-01-20,70.0,190.0,2017-12-27,149.5,2017-11-22,10.16,-13.32,23.48,185.3,7.43,150.5,-12.75
BYKE,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,177.6933,SUCCESS,196.8,159.9,2018-04-12,2018-07-20,71.0,204.9,2018-04-18,118.55,2018-07-20,15.31,-33.28,48.59,201.0,13.12,118.9,-33.09
BYKE,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,81.06,SUCCESS,96.95,68.1,2018-10-13,2019-01-20,66.0,88.2,2018-10-22,55.0,2019-01-18,8.81,-32.15,40.96,83.1,2.52,55.15,-31.96
BYKE,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,28.9967,SUCCESS,31.8,27.3,2019-04-11,2019-07-20,67.0,32.8,2019-04-18,21.5,2019-06-10,13.12,-25.85,38.97,32.25,11.22,22.4,-22.75
BYKE,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,21.0933,SUCCESS,24.5,16.8,2019-10-15,2020-01-20,67.0,23.9,2019-11-13,15.35,2019-12-11,13.31,-27.23,40.53,22.6,7.14,16.75,-20.59
BYKE,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,9.3333,SUCCESS,11.25,7.2,2020-04-16,2020-07-20,66.0,17.6,2020-07-08,8.65,2020-05-12,88.57,-7.32,95.89,16.55,77.32,8.9,-4.64
BYKE,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,13.49,SUCCESS,14.8,11.85,2020-10-13,2021-01-20,69.0,23.15,2020-12-15,12.75,2020-10-14,71.61,-5.49,77.09,22.5,66.79,12.95,-4.0
BYKE,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,19.1267,SUCCESS,22.25,16.4,2021-04-14,2021-07-20,66.0,35.45,2021-05-28,17.2,2021-04-19,85.34,-10.07,95.42,34.1,78.29,17.9,-6.41
BYKE,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,33.0767,SUCCESS,43.45,27.55,2021-10-09,2022-01-20,71.0,42.4,2021-11-08,29.7,2021-11-29,28.19,-10.21,38.4,40.8,23.35,29.95,-9.45
