Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
CAMS,2020,20-March,2020-03-20,2020-10-05,2020-10-05,2020-10-23,15.0,269.422,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CAMS,2020,20-September,2020-09-20,2020-10-05,2020-10-05,2020-10-23,15.0,269.422,SUCCESS,297.8,259.0,2020-10-24,2021-01-20,60.0,378.0,2020-12-30,252.0,2020-11-04,40.3,-6.47,46.77,368.8,36.89,253.13,-6.05
CAMS,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,364.7533,SUCCESS,378.96,348.3,2021-04-14,2021-07-20,66.0,748.13,2021-07-15,356.4,2021-04-15,105.11,-2.29,107.4,691.19,89.5,370.86,1.67
CAMS,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,648.7213,SUCCESS,747.71,595.0,2021-10-09,2022-01-20,71.0,650.0,2021-11-17,512.01,2021-12-20,0.2,-21.07,21.27,631.62,-2.64,517.67,-20.2
CAMS,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,483.3487,SUCCESS,524.96,458.4,2022-04-09,2022-07-20,70.0,536.55,2022-04-21,407.43,2022-05-26,11.01,-15.71,26.71,525.06,8.63,415.08,-14.12
CAMS,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,498.118,SUCCESS,518.8,478.03,2022-10-12,2023-01-20,71.0,538.0,2022-10-13,430.0,2022-12-23,8.01,-13.68,21.68,533.38,7.08,433.81,-12.91
CAMS,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,426.032,SUCCESS,452.74,402.0,2023-04-13,2023-07-20,68.0,469.0,2023-07-04,405.24,2023-04-24,10.09,-4.88,14.97,460.8,8.16,406.93,-4.48
CAMS,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,494.7767,SUCCESS,513.0,481.42,2023-10-12,2024-01-20,70.0,597.6,2023-12-05,446.0,2023-11-01,20.78,-9.86,30.64,578.78,16.98,447.5,-9.56
CAMS,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,607.582,SUCCESS,645.0,562.65,2024-04-13,2024-07-20,66.0,865.55,2024-07-10,597.11,2024-04-15,42.46,-1.72,44.18,845.35,39.13,605.74,-0.3
CAMS,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,887.4087,SUCCESS,954.75,810.0,2024-10-12,2025-01-20,68.0,1073.5,2024-12-12,840.8,2025-01-14,20.97,-5.25,26.22,1055.24,18.91,843.92,-4.9
CAMS,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,739.0827,SUCCESS,775.57,670.0,2025-04-12,2025-07-20,67.0,875.0,2025-06-30,683.0,2025-05-09,18.39,-7.59,25.98,858.58,16.17,695.92,-5.84
CAMS,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,769.2867,SUCCESS,823.2,743.22,2025-10-14,2026-01-20,67.0,813.0,2025-11-20,699.0,2026-01-13,5.68,-9.14,14.82,802.9,4.37,710.1,-7.69
CAMS,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,667.94,SUCCESS,729.5,611.4,2026-04-16,2026-07-20,65.0,844.9,2026-05-08,715.5,2026-05-04,26.49,7.12,19.37,836.3,25.21,722.65,8.19
CAMS,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
