Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
CANBK,2002,20-March,2002-03-20,2002-12-23,2002-12-23,2003-01-13,15.0,9.6073,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CANBK,2002,20-September,2002-09-20,2002-12-23,2002-12-23,2003-01-13,15.0,9.6073,SUCCESS,10.58,8.12,2003-01-14,2003-01-20,5.0,11.5,2003-01-20,10.28,2003-01-14,19.7,7.0,12.7,11.4,18.66,10.51,9.4
CANBK,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,14.08,SUCCESS,16.38,12.14,2003-04-09,2003-07-20,70.0,23.79,2003-05-29,15.46,2003-04-24,68.96,9.8,59.16,23.17,64.56,15.96,13.35
CANBK,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,23.79,SUCCESS,27.16,20.37,2003-10-14,2004-01-20,71.0,32.53,2004-01-15,21.87,2003-11-21,36.74,-8.07,44.81,31.83,33.8,22.4,-5.84
CANBK,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,27.9993,SUCCESS,31.07,23.67,2004-04-13,2004-07-20,70.0,36.26,2004-04-23,18.43,2004-05-17,29.5,-34.18,63.68,35.64,27.29,21.33,-23.82
CANBK,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,29.82,SUCCESS,31.99,27.16,2004-10-09,2005-01-20,71.0,44.54,2005-01-04,27.58,2004-10-25,49.36,-7.51,56.87,43.88,47.15,27.82,-6.71
CANBK,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,38.8473,SUCCESS,42.04,36.92,2005-04-12,2005-07-20,72.0,47.14,2005-07-15,32.98,2005-05-02,21.35,-15.1,36.45,46.4,19.44,33.62,-13.46
CANBK,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,45.1873,SUCCESS,48.89,42.31,2005-10-11,2006-01-20,70.0,48.93,2006-01-05,36.67,2005-10-27,8.28,-18.85,27.13,48.37,7.04,37.49,-17.03
CANBK,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,52.3853,SUCCESS,55.08,49.64,2006-04-11,2006-07-20,72.0,54.29,2006-05-10,29.51,2006-06-09,3.64,-43.67,47.3,53.82,2.74,33.71,-35.65
CANBK,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,53.942,SUCCESS,57.81,49.08,2006-10-12,2007-01-20,69.0,61.77,2006-12-04,46.37,2006-12-13,14.51,-14.04,28.55,61.22,13.49,48.57,-9.96
