Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
CANFINHOME,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,4.4127,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CANFINHOME,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,4.4127,SUCCESS,4.69,4.16,2002-01-16,2002-01-20,3.0,4.53,2002-01-18,4.36,2002-01-16,2.66,-1.19,3.85,4.5,1.98,4.41,-0.06
CANFINHOME,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,5.2347,SUCCESS,5.56,4.99,2002-04-12,2002-07-20,70.0,6.53,2002-06-14,4.55,2002-05-20,24.75,-13.08,37.82,5.88,12.33,4.75,-9.26
CANFINHOME,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,5.4247,SUCCESS,5.53,5.31,2002-10-12,2003-01-20,67.0,5.52,2002-10-14,4.95,2002-11-25,1.76,-8.75,10.51,5.45,0.47,5.06,-6.72
CANFINHOME,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,5.7087,SUCCESS,5.98,5.47,2003-04-09,2003-07-20,70.0,9.68,2003-07-08,5.55,2003-04-21,69.57,-2.78,72.35,8.92,56.25,5.69,-0.33
CANFINHOME,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,7.272,SUCCESS,8.1,6.55,2003-10-14,2004-01-20,71.0,11.63,2003-12-30,7.19,2003-11-05,59.93,-1.13,61.06,10.12,39.16,7.23,-0.58
CANFINHOME,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,8.1673,SUCCESS,8.91,7.33,2004-04-13,2004-07-20,70.0,10.39,2004-04-28,6.73,2004-07-09,27.21,-17.6,44.81,9.29,13.75,6.76,-17.23
CANFINHOME,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,7.2347,SUCCESS,7.6,6.93,2004-10-09,2005-01-20,71.0,11.27,2004-12-31,7.11,2004-10-25,55.78,-1.72,57.5,10.66,47.35,7.17,-0.89
CANFINHOME,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,8.9413,SUCCESS,9.63,8.32,2005-04-12,2005-07-20,72.0,10.39,2005-05-16,8.86,2005-07-08,16.2,-0.91,17.11,10.22,14.3,9.02,0.88
CANFINHOME,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,10.166,SUCCESS,11.36,9.06,2005-10-11,2006-01-20,70.0,10.69,2005-11-18,8.91,2005-10-21,5.15,-12.35,17.51,10.3,1.32,9.15,-9.99
CANFINHOME,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,9.8133,SUCCESS,10.65,9.29,2006-04-11,2006-07-20,72.0,13.12,2006-05-18,7.99,2006-06-14,33.7,-18.58,52.28,12.38,26.15,8.08,-17.66
CANFINHOME,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,10.49,SUCCESS,10.99,10.15,2006-10-12,2007-01-20,69.0,14.65,2007-01-03,10.4,2006-10-19,39.66,-0.86,40.51,14.13,34.7,10.47,-0.19
CANFINHOME,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,11.778,SUCCESS,12.28,11.37,2007-04-12,2007-07-20,45.0,12.55,2007-04-27,10.31,2007-06-15,6.55,-12.46,19.02,12.35,4.86,10.69,-9.24
CANFINHOME,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,10.19,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CANFINHOME,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,10.19,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CANFINHOME,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,10.19,SUCCESS,11.27,8.91,2009-01-17,2009-01-20,2.0,10.4,2009-01-19,9.75,2009-01-19,2.06,-4.32,6.38,10.28,0.88,10.15,-0.39
CANFINHOME,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,10.3613,SUCCESS,11.86,9.92,2009-04-16,2009-07-20,65.0,19.31,2009-06-01,10.32,2009-05-14,86.37,-0.4,86.76,18.16,75.27,10.82,4.43
CANFINHOME,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,16.578,SUCCESS,18.21,15.54,2009-10-16,2010-01-20,65.0,19.94,2009-12-02,15.67,2009-11-03,20.28,-5.48,25.76,18.88,13.89,15.74,-5.05
CANFINHOME,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,16.252,SUCCESS,17.23,15.57,2010-04-14,2010-07-20,69.0,29.57,2010-07-20,15.11,2010-05-31,81.95,-7.03,88.97,28.59,75.92,16.63,2.33
CANFINHOME,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,28.65,SUCCESS,30.88,26.64,2010-10-09,2011-01-20,72.0,32.74,2010-10-26,21.19,2011-01-11,14.28,-26.04,40.31,31.64,10.44,21.58,-24.68
CANFINHOME,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,21.8187,SUCCESS,23.65,19.09,2011-04-09,2011-07-20,70.0,26.71,2011-04-15,20.89,2011-06-17,22.42,-4.26,26.67,25.48,16.78,21.19,-2.88
