Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
CENTURYPLY,2006,20-March,2006-03-20,2006-03-23,2006-03-23,2006-04-17,15.0,18.5627,SUCCESS,20.9,16.3,2006-04-18,2006-07-20,68.0,19.9,2006-05-05,11.36,2006-06-15,7.2,-38.8,46.01,19.9,7.2,11.79,-36.49
CENTURYPLY,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,22.7613,SUCCESS,24.8,18.5,2006-10-12,2007-01-20,69.0,38.5,2007-01-03,22.0,2006-10-23,69.15,-3.34,72.49,37.28,63.79,22.34,-1.85
CENTURYPLY,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,29.6593,SUCCESS,33.99,27.0,2007-04-12,2007-07-20,45.0,34.5,2007-05-17,26.5,2007-06-12,16.32,-10.65,26.97,33.48,12.88,28.65,-3.4
CENTURYPLY,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,31.33,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CENTURYPLY,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,31.33,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CENTURYPLY,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,31.33,SUCCESS,38.25,29.0,2009-01-17,2009-01-20,2.0,32.3,2009-01-20,29.8,2009-01-19,3.1,-4.88,7.98,31.55,0.7,30.4,-2.97
CENTURYPLY,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,28.3433,SUCCESS,33.8,24.5,2009-04-16,2009-07-20,65.0,50.0,2009-06-29,27.15,2009-04-16,76.41,-4.21,80.62,45.3,59.83,29.7,4.79
CENTURYPLY,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,44.51,SUCCESS,48.5,40.5,2009-10-16,2010-01-20,65.0,50.6,2010-01-15,38.0,2009-11-04,13.68,-14.63,28.31,48.3,8.51,39.15,-12.04
CENTURYPLY,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,56.6933,SUCCESS,62.0,51.65,2010-04-14,2010-07-20,69.0,66.95,2010-07-14,50.8,2010-05-24,18.09,-10.4,28.49,64.65,14.03,53.1,-6.34
CENTURYPLY,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,67.3067,SUCCESS,71.2,65.1,2010-10-09,2011-01-20,72.0,72.4,2010-11-01,53.55,2010-11-26,7.57,-20.44,28.01,69.1,2.66,54.55,-18.95
CENTURYPLY,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,67.5267,SUCCESS,73.7,60.85,2011-04-09,2011-07-20,70.0,77.3,2011-04-29,61.1,2011-05-13,14.47,-9.52,23.99,74.5,10.33,64.4,-4.63
CENTURYPLY,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,59.9433,SUCCESS,66.0,57.35,2011-10-12,2012-01-20,70.0,63.8,2011-10-12,44.5,2012-01-03,6.43,-25.76,32.2,60.45,0.85,45.4,-24.26
CENTURYPLY,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,58.9,SUCCESS,63.1,53.8,2012-04-12,2012-07-20,72.0,63.15,2012-04-12,50.0,2012-07-20,7.22,-15.11,22.33,61.95,5.18,50.55,-14.18
CENTURYPLY,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,59.5133,SUCCESS,66.5,51.25,2012-10-12,2013-01-20,67.0,71.0,2012-11-06,51.25,2012-10-22,19.3,-13.88,33.19,67.9,14.09,56.9,-4.39
CENTURYPLY,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,51.4267,SUCCESS,54.9,48.5,2013-04-12,2013-07-20,69.0,58.75,2013-07-17,40.95,2013-06-20,14.24,-20.37,34.61,58.15,13.07,45.45,-11.62
