Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
CEREBRAINT,2013,20-March,2013-03-20,2013-06-26,2013-06-26,2013-07-16,15.0,16.4567,SUCCESS,22.85,14.0,2013-07-17,2013-07-20,3.0,16.35,2013-07-17,15.15,2013-07-19,-0.65,-7.94,7.29,15.95,-3.08,15.3,-7.03
CEREBRAINT,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-14,15.0,8.5167,SUCCESS,11.0,7.3,2013-10-15,2014-01-20,59.0,11.0,2013-10-21,7.6,2013-11-14,29.16,-10.76,39.92,10.85,27.4,7.75,-9.0
CEREBRAINT,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,6.59,SUCCESS,8.0,5.55,2014-04-10,2014-07-20,44.0,13.1,2014-06-13,6.5,2014-05-14,98.79,-1.37,100.15,12.75,93.47,6.6,0.15
CEREBRAINT,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,20.5433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CEREBRAINT,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,20.5433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CEREBRAINT,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,20.5433,SUCCESS,23.3,18.0,2016-01-16,2016-01-20,3.0,18.8,2016-01-18,16.4,2016-01-20,-8.49,-20.17,11.68,18.2,-11.41,16.9,-17.73
CEREBRAINT,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,17.12,SUCCESS,20.7,15.25,2016-04-13,2016-07-20,67.0,23.5,2016-04-25,12.25,2016-06-24,37.27,-28.45,65.71,22.95,34.05,12.85,-24.94
CEREBRAINT,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,16.2733,SUCCESS,18.9,12.4,2016-10-11,2017-01-20,71.0,34.1,2017-01-20,15.8,2016-11-21,109.55,-2.91,112.45,34.0,108.93,16.55,1.7
CEREBRAINT,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,39.56,SUCCESS,44.0,37.5,2017-04-11,2017-07-20,70.0,61.35,2017-07-06,39.7,2017-05-23,55.08,0.35,54.73,59.8,51.16,40.0,1.11
CEREBRAINT,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,42.07,SUCCESS,48.9,35.85,2017-10-12,2018-01-20,70.0,66.2,2018-01-16,38.0,2017-12-18,57.36,-9.67,67.03,62.3,48.09,39.0,-7.3
