Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
CMSINFO,2021,20-March,2021-03-20,2021-12-31,2021-12-31,2022-01-20,15.0,273.0633,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CMSINFO,2021,20-September,2021-09-20,2021-12-31,2021-12-31,2022-01-20,15.0,273.0633,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CMSINFO,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,263.3467,SUCCESS,279.3,249.05,2022-04-09,2022-07-20,70.0,275.4,2022-04-28,210.4,2022-06-27,4.58,-20.11,24.68,264.0,0.25,216.25,-17.88
CMSINFO,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,278.2433,SUCCESS,314.8,254.2,2022-10-12,2023-01-20,71.0,355.55,2022-11-18,270.1,2022-12-26,27.78,-2.93,30.71,345.15,24.05,274.75,-1.26
CMSINFO,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,282.1967,SUCCESS,291.95,260.8,2023-04-13,2023-07-20,68.0,401.1,2023-07-17,280.0,2023-04-25,42.13,-0.78,42.91,395.35,40.1,284.25,0.73
CMSINFO,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,354.5967,SUCCESS,373.7,344.05,2023-10-12,2024-01-20,70.0,421.4,2023-11-29,351.25,2023-10-26,18.84,-0.94,19.78,404.95,14.2,358.9,1.21
CMSINFO,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,395.5533,SUCCESS,418.4,375.05,2024-04-13,2024-07-20,66.0,536.9,2024-07-12,377.1,2024-04-19,35.73,-4.67,40.4,533.4,34.85,379.45,-4.07
CMSINFO,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,587.2067,SUCCESS,616.5,557.85,2024-10-12,2025-01-20,68.0,603.7,2024-10-17,426.05,2025-01-20,2.81,-27.44,30.25,592.15,0.84,429.75,-26.81
CMSINFO,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,468.0133,SUCCESS,499.45,422.3,2025-04-12,2025-07-20,67.0,541.15,2025-07-17,424.95,2025-05-09,15.63,-9.2,24.83,533.5,13.99,434.15,-7.24
CMSINFO,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,377.6267,SUCCESS,410.0,355.05,2025-10-14,2026-01-20,67.0,393.3,2025-10-17,324.0,2026-01-20,4.15,-14.2,18.35,388.4,2.85,325.55,-13.79
CMSINFO,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,284.92,SUCCESS,313.3,261.9,2026-04-16,2026-07-20,65.0,322.1,2026-04-20,255.15,2026-07-09,13.05,-10.45,23.5,318.0,11.61,257.9,-9.48
CMSINFO,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
