Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
COALINDIA,2010,20-March,2010-03-20,2010-11-04,2010-11-04,2010-11-25,15.0,326.26,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
COALINDIA,2010,20-September,2010-09-20,2010-11-04,2010-11-04,2010-11-25,15.0,326.26,SUCCESS,356.5,291.0,2010-11-26,2011-01-20,39.0,331.0,2010-12-14,301.0,2010-11-26,1.45,-7.74,9.2,327.85,0.49,303.75,-6.9
COALINDIA,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,353.7,SUCCESS,371.4,340.1,2011-04-09,2011-07-20,70.0,422.35,2011-05-31,299.0,2011-07-11,19.41,-15.47,34.87,414.45,17.18,349.6,-1.16
COALINDIA,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,350.42,SUCCESS,387.45,314.55,2011-10-12,2012-01-20,70.0,358.3,2012-01-18,293.6,2011-12-22,2.25,-16.21,18.46,351.75,0.38,297.55,-15.09
COALINDIA,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,335.2833,SUCCESS,349.0,325.4,2012-04-12,2012-07-20,72.0,367.45,2012-04-23,301.1,2012-05-18,9.59,-10.2,19.79,362.45,8.1,303.1,-9.6
COALINDIA,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,361.6067,SUCCESS,376.0,289.4,2012-10-12,2013-01-20,67.0,374.85,2012-12-03,342.25,2012-11-12,3.66,-5.35,9.02,369.9,2.29,344.65,-4.69
COALINDIA,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,304.4,SUCCESS,314.55,293.85,2013-04-12,2013-07-20,69.0,330.7,2013-06-03,284.3,2013-07-08,8.64,-6.6,15.24,327.7,7.65,287.3,-5.62
COALINDIA,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,298.83,SUCCESS,314.8,280.7,2013-10-12,2014-01-20,68.0,307.85,2014-01-15,260.95,2013-11-27,3.02,-12.68,15.69,302.65,1.28,263.05,-11.97
COALINDIA,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,278.6067,SUCCESS,292.0,256.1,2014-04-10,2014-07-20,44.0,423.7,2014-06-11,284.4,2014-04-10,52.08,2.08,50.0,420.4,50.89,289.7,3.98
COALINDIA,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,323.4033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
COALINDIA,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,323.4033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
COALINDIA,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,323.4033,SUCCESS,337.1,310.6,2016-01-16,2016-01-20,3.0,323.1,2016-01-18,292.0,2016-01-20,-0.09,-9.71,9.62,310.85,-3.88,298.15,-7.81
COALINDIA,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,287.0,SUCCESS,299.7,271.65,2016-04-13,2016-07-20,67.0,329.95,2016-07-20,272.4,2016-05-04,14.97,-5.09,20.05,329.25,14.72,275.8,-3.9
COALINDIA,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,325.7467,SUCCESS,337.2,315.65,2016-10-11,2017-01-20,71.0,337.3,2016-11-10,282.5,2016-12-27,3.55,-13.28,16.82,333.2,2.29,285.0,-12.51
COALINDIA,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,291.3433,SUCCESS,300.0,280.1,2017-04-11,2017-07-20,70.0,291.85,2017-04-12,242.6,2017-07-03,0.17,-16.73,16.9,291.05,-0.1,244.25,-16.16
COALINDIA,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,268.2167,SUCCESS,286.5,248.0,2017-10-12,2018-01-20,70.0,311.0,2018-01-09,261.0,2017-12-13,15.95,-2.69,18.64,309.0,15.21,262.55,-2.11
COALINDIA,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,275.7867,SUCCESS,285.75,265.0,2018-04-12,2018-07-20,71.0,303.45,2018-05-31,257.3,2018-05-16,10.03,-6.7,16.73,296.25,7.42,259.0,-6.09
COALINDIA,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,272.82,SUCCESS,286.25,261.3,2018-10-13,2019-01-20,66.0,289.2,2018-10-29,228.35,2018-12-10,6.0,-16.3,22.3,287.4,5.34,230.0,-15.7
COALINDIA,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,235.8767,SUCCESS,244.6,230.0,2019-04-11,2019-07-20,67.0,271.45,2019-06-06,217.4,2019-07-19,15.08,-7.83,22.91,269.15,14.11,220.3,-6.6
COALINDIA,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,193.0733,SUCCESS,208.4,182.15,2019-10-15,2020-01-20,67.0,217.55,2019-11-05,185.0,2019-12-11,12.68,-4.18,16.86,215.0,11.36,187.15,-3.07
COALINDIA,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,135.2933,SUCCESS,151.6,119.2,2020-04-16,2020-07-20,66.0,152.45,2020-04-17,121.05,2020-05-18,12.68,-10.53,23.21,148.75,9.95,121.7,-10.05
COALINDIA,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,117.1333,SUCCESS,124.15,112.3,2020-10-13,2021-01-20,69.0,148.8,2021-01-13,109.55,2020-10-15,27.03,-6.47,33.51,146.65,25.2,110.55,-5.62
COALINDIA,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,130.73,SUCCESS,137.6,123.6,2021-04-14,2021-07-20,66.0,165.0,2021-06-11,123.4,2021-04-19,26.21,-5.61,31.82,162.65,24.42,124.5,-4.77
COALINDIA,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,177.81,SUCCESS,203.8,152.8,2021-10-09,2022-01-20,71.0,201.0,2021-10-12,139.15,2021-12-20,13.04,-21.74,34.78,196.85,10.71,140.7,-20.87
COALINDIA,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,187.09,SUCCESS,198.8,177.5,2022-04-09,2022-07-20,70.0,209.0,2022-04-22,164.65,2022-05-12,11.71,-11.99,23.71,206.9,10.59,167.05,-10.71
