Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
CORDSCABLE,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,35.6033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CORDSCABLE,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,35.6033,SUCCESS,43.8,28.25,2009-01-17,2009-01-20,2.0,36.6,2009-01-19,32.6,2009-01-20,2.8,-8.44,11.23,33.7,-5.35,33.1,-7.03
CORDSCABLE,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,34.0767,SUCCESS,42.0,28.0,2009-04-16,2009-07-20,65.0,61.7,2009-06-08,31.2,2009-07-13,81.06,-8.44,89.5,58.2,70.79,31.9,-6.39
CORDSCABLE,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,45.5367,SUCCESS,51.9,42.0,2009-10-16,2010-01-20,65.0,56.95,2010-01-19,37.15,2009-11-03,25.06,-18.42,43.48,53.65,17.82,37.9,-16.77
CORDSCABLE,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,42.5733,SUCCESS,46.9,40.0,2010-04-14,2010-07-20,69.0,50.2,2010-04-22,38.05,2010-05-21,17.91,-10.62,28.54,48.45,13.8,38.35,-9.92
CORDSCABLE,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,45.2367,SUCCESS,49.3,42.65,2010-10-09,2011-01-20,72.0,44.95,2010-10-11,32.25,2010-12-09,-0.63,-28.71,28.07,44.1,-2.51,32.8,-27.49
CORDSCABLE,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,32.2667,SUCCESS,36.0,25.0,2011-04-09,2011-07-20,70.0,41.7,2011-07-15,30.5,2011-05-26,29.24,-5.48,34.71,41.35,28.15,30.75,-4.7
CORDSCABLE,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,31.33,SUCCESS,35.3,28.8,2011-10-12,2012-01-20,70.0,34.0,2011-11-09,21.75,2011-12-20,8.52,-30.58,39.1,32.0,2.14,22.2,-29.14
CORDSCABLE,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,28.7133,SUCCESS,31.7,26.0,2012-04-12,2012-07-20,72.0,34.0,2012-05-04,21.25,2012-06-19,18.41,-25.99,44.4,32.5,13.19,22.0,-23.38
CORDSCABLE,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,25.1933,SUCCESS,28.45,21.05,2012-10-12,2013-01-20,67.0,32.45,2012-12-05,23.5,2012-11-05,28.8,-6.72,35.53,31.75,26.03,23.8,-5.53
