Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
COUNCODOS,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,1.9587,SUCCESS,2.3,1.82,2009-04-16,2009-07-20,61.0,5.08,2009-07-20,1.82,2009-05-19,159.36,-7.08,166.44,5.08,159.36,1.85,-5.55
COUNCODOS,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,7.4133,SUCCESS,8.35,6.5,2009-10-16,2010-01-20,65.0,7.7,2009-11-19,4.9,2009-12-31,3.87,-33.9,37.77,7.55,1.84,5.1,-31.21
COUNCODOS,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,4.46,SUCCESS,5.0,3.9,2010-04-14,2010-07-20,69.0,5.0,2010-04-30,3.0,2010-05-21,12.11,-32.74,44.84,4.65,4.26,3.3,-26.01
COUNCODOS,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,3.6667,SUCCESS,3.9,3.0,2010-10-09,2011-01-20,72.0,6.5,2010-12-06,3.3,2010-11-02,77.27,-10.0,87.27,5.9,60.91,3.6,-1.82
COUNCODOS,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,2.9433,SUCCESS,3.6,2.45,2011-04-09,2011-07-20,70.0,3.55,2011-07-19,2.2,2011-05-10,20.61,-25.25,45.87,3.5,18.91,2.35,-20.16
COUNCODOS,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,2.5433,SUCCESS,2.95,2.2,2011-10-12,2012-01-20,52.0,3.0,2011-11-08,1.7,2012-01-04,17.96,-33.16,51.11,2.95,15.99,1.75,-31.19
COUNCODOS,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-16,15.0,1.61,SUCCESS,1.75,1.55,2012-04-17,2012-07-20,58.0,1.9,2012-06-26,1.4,2012-05-17,18.01,-13.04,31.06,1.85,14.91,1.45,-9.94
COUNCODOS,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,1.3167,SUCCESS,1.45,1.2,2012-10-12,2013-01-20,57.0,1.5,2013-01-10,1.0,2012-11-22,13.92,-24.05,37.97,1.45,10.13,1.0,-24.05
COUNCODOS,2013,20-March,2013-03-20,2013-03-25,2013-03-25,2013-09-27,15.0,1.01,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
COUNCODOS,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-22,15.0,1.03,SUCCESS,1.15,0.95,2013-10-23,2014-01-20,35.0,1.75,2014-01-20,0.8,2013-11-28,69.9,-22.33,92.23,1.75,69.9,0.8,-22.33
COUNCODOS,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-15,15.0,2.1233,SUCCESS,2.55,1.75,2014-04-16,2014-07-20,36.0,2.0,2014-06-11,1.4,2014-04-28,-5.81,-34.07,28.26,2.0,-5.81,1.45,-31.71
COUNCODOS,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,7.75,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
COUNCODOS,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,7.75,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
COUNCODOS,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,7.75,SUCCESS,9.1,6.4,2016-01-16,2016-01-20,3.0,7.05,2016-01-18,6.4,2016-01-20,-9.03,-17.42,8.39,7.05,-9.03,6.4,-17.42
COUNCODOS,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,4.2867,SUCCESS,5.2,3.6,2016-04-13,2016-07-20,67.0,6.45,2016-05-16,3.8,2016-04-27,50.47,-11.35,61.82,6.0,39.97,3.85,-10.19
COUNCODOS,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,4.3167,SUCCESS,5.85,3.6,2016-10-11,2017-01-20,71.0,5.25,2016-12-01,3.3,2016-11-18,21.62,-23.55,45.17,4.8,11.2,3.65,-15.44
