Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
CRISIL,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,14.8787,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CRISIL,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,14.8787,SUCCESS,20.2,11.63,2002-01-16,2002-01-20,3.0,25.0,2002-01-18,19.1,2002-01-16,68.03,28.37,39.65,24.15,62.31,20.55,38.12
CRISIL,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,32.6553,SUCCESS,36.6,30.5,2002-04-12,2002-07-20,70.0,40.0,2002-04-26,27.5,2002-05-15,22.49,-15.79,38.28,38.6,18.2,28.92,-11.44
CRISIL,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-14,15.0,26.9,SUCCESS,28.2,26.2,2002-10-15,2003-01-20,66.0,30.5,2003-01-13,26.51,2002-10-28,13.38,-1.45,14.83,30.03,11.64,27.04,0.52
CRISIL,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,25.484,SUCCESS,27.0,24.0,2003-04-09,2003-07-20,68.0,36.8,2003-07-04,23.9,2003-04-16,44.4,-6.22,50.62,36.28,42.36,24.65,-3.27
CRISIL,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,41.5593,SUCCESS,44.0,40.0,2003-10-14,2004-01-20,71.0,56.0,2004-01-02,40.0,2003-10-24,34.75,-3.75,38.5,54.88,32.05,40.9,-1.59
CRISIL,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-13,15.0,47.9367,SUCCESS,49.5,46.51,2004-04-14,2004-07-20,60.0,50.0,2004-04-27,36.31,2004-06-23,4.3,-24.25,28.56,48.2,0.55,36.31,-24.25
CRISIL,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,43.886,SUCCESS,48.4,41.5,2004-10-09,2005-01-20,71.0,62.0,2005-01-04,44.0,2004-10-14,41.28,0.26,41.02,58.67,33.69,44.19,0.69
CRISIL,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,67.992,SUCCESS,76.5,62.61,2005-04-12,2005-07-20,72.0,120.0,2005-06-07,67.01,2005-04-25,76.49,-1.44,77.94,112.76,65.84,71.82,5.63
CRISIL,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,124.4627,SUCCESS,135.0,117.5,2005-10-11,2006-01-20,70.0,170.0,2005-11-28,119.0,2005-10-17,36.59,-4.39,40.98,164.91,32.5,124.34,-0.1
CRISIL,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,174.1067,SUCCESS,186.5,161.1,2006-04-11,2006-07-20,72.0,208.8,2006-04-24,105.5,2006-06-08,19.93,-39.4,59.33,191.54,10.01,110.82,-36.35
CRISIL,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,170.7253,SUCCESS,181.0,160.3,2006-10-12,2007-01-20,69.0,259.0,2007-01-19,175.0,2006-10-12,51.71,2.5,49.2,254.47,49.05,177.37,3.89
CRISIL,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,256.0533,SUCCESS,278.5,202.0,2007-04-12,2007-07-20,45.0,334.0,2007-05-09,270.0,2007-04-12,30.44,5.45,24.99,328.18,28.17,277.46,8.36
CRISIL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,239.1327,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CRISIL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,239.1327,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CRISIL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,239.1327,SUCCESS,258.0,210.5,2009-01-17,2009-01-20,2.0,239.98,2009-01-19,230.0,2009-01-19,0.35,-3.82,4.17,237.07,-0.86,233.19,-2.49
CRISIL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,274.766,SUCCESS,309.5,216.9,2009-04-16,2009-07-20,66.0,365.0,2009-06-03,246.69,2009-05-04,32.84,-10.22,43.06,356.79,29.85,283.23,3.08
CRISIL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,403.3387,SUCCESS,429.0,379.9,2009-10-16,2010-01-20,65.0,530.0,2010-01-14,400.1,2009-11-03,31.4,-0.8,32.21,519.09,28.7,410.08,1.67
CRISIL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,532.9773,SUCCESS,605.0,495.14,2010-04-14,2010-07-20,69.0,592.5,2010-07-15,525.2,2010-05-26,11.17,-1.46,12.63,588.74,10.46,532.9,-0.01
CRISIL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,607.848,SUCCESS,625.0,593.1,2010-10-09,2011-01-20,72.0,699.9,2010-10-20,570.0,2010-11-29,15.14,-6.23,21.37,624.96,2.82,578.47,-4.83
CRISIL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,630.07,SUCCESS,744.53,588.0,2011-04-09,2011-07-20,70.0,742.4,2011-07-07,642.66,2011-04-25,17.83,2.0,15.83,736.94,16.96,648.91,2.99
CRISIL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,822.858,SUCCESS,874.3,731.75,2011-10-12,2012-01-20,70.0,976.9,2011-11-03,795.0,2011-10-12,18.72,-3.39,22.11,969.1,17.77,803.65,-2.33
CRISIL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,989.0267,SUCCESS,1150.3,922.0,2012-04-12,2012-07-20,72.0,1111.05,2012-07-05,957.0,2012-06-14,12.34,-3.24,15.58,1076.5,8.84,993.7,0.47
CRISIL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,939.49,SUCCESS,978.3,914.4,2012-10-12,2013-01-20,67.0,1150.0,2012-12-26,910.1,2012-11-05,22.41,-3.13,25.54,1083.05,15.28,917.2,-2.37
CRISIL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,917.5433,SUCCESS,962.7,877.8,2013-04-12,2013-07-20,69.0,1191.0,2013-07-19,888.0,2013-04-25,29.8,-3.22,33.02,1184.25,29.07,893.5,-2.62
CRISIL,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,1182.76,SUCCESS,1295.0,1130.0,2013-10-12,2014-01-20,68.0,1259.0,2013-12-31,906.4,2013-11-26,6.45,-23.37,29.81,1200.85,1.53,1030.4,-12.88
CRISIL,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,1198.98,SUCCESS,1249.0,1162.35,2014-04-10,2014-07-20,44.0,1609.0,2014-06-12,1206.85,2014-04-10,34.2,0.66,33.54,1585.55,32.24,1216.4,1.45
CRISIL,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,1937.1167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CRISIL,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,1937.1167,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CRISIL,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,1937.1167,SUCCESS,1999.0,1841.0,2016-01-16,2016-01-20,3.0,1950.0,2016-01-20,1788.0,2016-01-19,0.67,-7.7,8.36,1837.2,-5.16,1801.6,-7.0
