Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
CSLFINANCE,2022,20-March,2022-03-20,2022-07-21,2022-07-21,2022-08-11,15.0,247.74,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
CSLFINANCE,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,251.6967,SUCCESS,275.0,231.55,2022-10-12,2023-01-20,71.0,287.0,2022-11-09,208.2,2022-12-22,14.03,-17.28,31.31,264.0,4.89,230.65,-8.36
CSLFINANCE,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,209.1733,SUCCESS,224.75,189.1,2023-04-13,2023-07-20,68.0,352.35,2023-07-17,198.0,2023-05-30,68.45,-5.34,73.79,342.2,63.6,201.45,-3.69
CSLFINANCE,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,337.74,SUCCESS,364.7,317.15,2023-10-12,2024-01-20,70.0,498.0,2023-12-15,305.65,2023-11-01,47.45,-9.5,56.95,495.0,46.56,312.2,-7.56
CSLFINANCE,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,457.1133,SUCCESS,501.45,395.9,2024-04-13,2024-07-20,66.0,490.0,2024-07-02,385.65,2024-06-04,7.19,-15.63,22.83,481.7,5.38,400.5,-12.38
CSLFINANCE,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,428.7833,SUCCESS,464.95,397.65,2024-10-12,2025-01-20,68.0,417.95,2024-10-14,280.3,2025-01-20,-2.53,-34.63,32.1,410.65,-4.23,282.25,-34.17
CSLFINANCE,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,260.7067,SUCCESS,281.3,227.45,2025-04-12,2025-07-20,67.0,380.2,2025-06-09,260.55,2025-04-15,45.83,-0.06,45.89,363.3,39.35,265.3,1.76
CSLFINANCE,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,285.5667,SUCCESS,302.9,275.9,2025-10-14,2026-01-20,67.0,324.7,2025-12-23,253.05,2025-11-11,13.7,-11.39,25.09,320.0,12.06,260.0,-8.95
CSLFINANCE,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,237.856,SUCCESS,255.0,214.15,2026-04-16,2026-07-20,65.0,253.76,2026-05-27,209.7,2026-07-17,6.69,-11.84,18.52,243.55,2.39,211.86,-10.93
CSLFINANCE,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
