Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
DAMODARIND,2016,20-March,2016-03-20,2016-07-04,2016-07-04,2016-07-25,15.0,39.1073,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DAMODARIND,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,38.408,SUCCESS,41.9,35.08,2016-10-11,2017-01-20,70.0,44.75,2016-10-26,33.0,2016-11-22,16.51,-14.08,30.59,42.83,11.51,33.95,-11.61
DAMODARIND,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,39.2967,SUCCESS,41.8,37.18,2017-04-11,2017-07-20,70.0,49.85,2017-05-09,39.35,2017-06-30,26.86,0.14,26.72,48.5,23.42,40.58,3.27
DAMODARIND,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,58.4987,SUCCESS,72.0,48.0,2017-10-12,2018-01-20,70.0,74.15,2017-11-27,53.68,2017-11-10,26.76,-8.24,34.99,71.35,21.97,56.15,-4.01
DAMODARIND,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,65.6013,SUCCESS,71.5,61.23,2018-04-12,2018-07-20,71.0,68.75,2018-04-12,51.43,2018-07-20,4.8,-21.6,26.4,68.3,4.11,51.75,-21.11
DAMODARIND,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,47.566,SUCCESS,52.65,42.5,2018-10-13,2019-01-20,66.0,53.45,2018-10-17,41.65,2018-12-17,12.37,-12.44,24.81,52.13,9.6,42.9,-9.81
DAMODARIND,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,41.97,SUCCESS,45.0,39.75,2019-04-11,2019-07-20,67.0,43.45,2019-04-12,30.2,2019-07-18,3.53,-28.04,31.57,42.35,0.91,30.5,-27.33
DAMODARIND,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,29.7967,SUCCESS,34.5,25.75,2019-10-15,2020-01-20,67.0,31.7,2019-11-05,23.5,2019-12-11,6.39,-21.13,27.52,30.5,2.36,24.85,-16.6
DAMODARIND,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,18.8567,SUCCESS,22.5,15.05,2020-04-16,2020-07-20,66.0,33.0,2020-06-26,17.2,2020-05-27,75.0,-8.79,83.79,28.4,50.61,17.5,-7.19
DAMODARIND,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,23.8767,SUCCESS,26.6,22.6,2020-10-13,2021-01-20,69.0,41.85,2021-01-11,21.0,2020-10-22,75.28,-12.05,87.32,40.8,70.88,21.7,-9.12
DAMODARIND,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,23.88,SUCCESS,28.8,21.1,2021-04-14,2021-07-20,66.0,57.55,2021-07-02,21.45,2021-04-19,141.0,-10.18,151.17,52.25,118.8,22.3,-6.62
DAMODARIND,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,47.04,SUCCESS,50.15,42.7,2021-10-09,2022-01-20,71.0,74.45,2022-01-17,40.05,2021-10-26,58.27,-14.86,73.13,72.55,54.23,40.55,-13.8
DAMODARIND,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,63.36,SUCCESS,75.7,57.2,2022-04-09,2022-07-20,70.0,75.9,2022-04-22,36.55,2022-06-20,19.79,-42.31,62.11,72.15,13.87,39.0,-38.45
DAMODARIND,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,49.8367,SUCCESS,60.4,44.1,2022-10-12,2023-01-20,71.0,66.85,2022-11-29,43.3,2022-11-22,34.14,-13.12,47.25,59.6,19.59,43.95,-11.81
DAMODARIND,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,41.0933,SUCCESS,44.55,36.55,2023-04-13,2023-07-20,68.0,49.0,2023-07-14,39.5,2023-06-01,19.24,-3.88,23.12,48.0,16.81,39.8,-3.15
DAMODARIND,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,49.94,SUCCESS,55.15,47.25,2023-10-12,2024-01-20,70.0,65.65,2024-01-08,45.45,2023-10-26,31.46,-8.99,40.45,64.45,29.05,46.4,-7.09
DAMODARIND,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,46.99,SUCCESS,54.7,41.1,2024-04-13,2024-07-20,66.0,56.75,2024-05-03,43.0,2024-06-04,20.77,-8.49,29.26,54.25,15.45,44.9,-4.45
DAMODARIND,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,45.3173,SUCCESS,48.97,41.9,2024-10-12,2025-01-20,68.0,47.9,2024-10-17,38.0,2025-01-13,5.7,-16.15,21.85,46.3,2.17,38.79,-14.4
DAMODARIND,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,31.124,SUCCESS,36.0,28.5,2025-04-12,2025-07-20,67.0,41.49,2025-07-01,29.3,2025-05-07,33.31,-5.86,39.17,39.0,25.31,31.06,-0.21
DAMODARIND,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,34.396,SUCCESS,38.0,32.0,2025-10-14,2026-01-20,67.0,37.2,2025-10-23,26.5,2026-01-20,8.15,-22.96,31.11,36.45,5.97,26.74,-22.26
DAMODARIND,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,23.2933,SUCCESS,28.38,20.0,2026-04-16,2026-07-20,65.0,33.97,2026-05-04,26.1,2026-04-20,45.84,12.05,33.79,32.92,41.33,27.0,15.91
DAMODARIND,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
