Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
DATAMATICS,2004,20-March,2004-03-20,2004-05-07,2004-05-07,2004-05-27,15.0,156.9,SUCCESS,219.0,145.0,2004-05-28,2004-07-20,38.0,159.0,2004-05-28,114.55,2004-06-25,1.34,-26.99,28.33,155.05,-1.18,117.75,-24.95
DATAMATICS,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,145.3267,SUCCESS,155.9,139.05,2004-10-09,2005-01-20,71.0,153.5,2005-01-05,120.0,2004-10-28,5.62,-17.43,23.05,147.05,1.19,121.75,-16.22
DATAMATICS,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,100.5767,SUCCESS,112.9,89.0,2005-04-12,2005-07-20,72.0,124.9,2005-06-13,86.0,2005-04-29,24.18,-14.49,38.68,121.5,20.8,87.65,-12.85
DATAMATICS,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,103.5033,SUCCESS,120.7,95.5,2005-10-11,2006-01-20,70.0,102.8,2005-12-09,82.35,2005-10-31,-0.68,-20.44,19.76,99.15,-4.21,83.3,-19.52
DATAMATICS,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,64.3967,SUCCESS,72.0,53.25,2006-04-11,2006-07-20,72.0,80.9,2006-05-10,37.8,2006-06-15,25.63,-41.3,66.93,77.95,21.05,39.7,-38.35
DATAMATICS,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,57.9533,SUCCESS,65.3,52.0,2006-10-12,2007-01-20,69.0,72.8,2007-01-18,43.8,2006-12-13,25.62,-24.42,50.04,69.2,19.41,45.6,-21.32
DATAMATICS,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,53.4833,SUCCESS,57.85,49.7,2007-04-12,2007-07-20,45.0,59.8,2007-06-12,50.15,2007-05-29,11.81,-6.23,18.04,57.85,8.16,51.2,-4.27
DATAMATICS,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,15.67,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DATAMATICS,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,15.67,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DATAMATICS,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,15.67,SUCCESS,17.85,14.25,2009-01-17,2009-01-20,2.0,14.9,2009-01-19,14.3,2009-01-20,-4.91,-8.74,3.83,14.65,-6.51,14.5,-7.47
DATAMATICS,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,15.9033,SUCCESS,21.5,13.7,2009-04-16,2009-07-20,66.0,27.95,2009-06-05,16.25,2009-04-29,75.75,2.18,73.57,27.0,69.78,16.45,3.44
DATAMATICS,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,41.1,SUCCESS,48.6,34.9,2009-10-16,2010-01-20,65.0,49.5,2009-10-20,33.4,2009-11-27,20.44,-18.73,39.17,46.7,13.63,35.0,-14.84
DATAMATICS,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,33.6033,SUCCESS,39.0,29.5,2010-04-14,2010-07-20,69.0,39.2,2010-04-27,29.3,2010-05-25,16.66,-12.81,29.46,37.3,11.0,30.0,-10.72
DATAMATICS,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,32.2433,SUCCESS,36.1,31.05,2010-10-09,2011-01-20,72.0,40.2,2010-12-02,28.5,2010-12-09,24.68,-11.61,36.29,36.75,13.98,29.15,-9.59
DATAMATICS,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,30.1733,SUCCESS,32.15,28.6,2011-04-09,2011-07-20,70.0,31.75,2011-04-19,23.5,2011-06-13,5.23,-22.12,27.34,31.0,2.74,27.85,-7.7
DATAMATICS,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,27.5733,SUCCESS,28.8,26.35,2011-10-12,2012-01-20,69.0,29.5,2012-01-17,22.0,2011-11-28,6.99,-20.21,27.2,28.0,1.55,23.5,-14.77
DATAMATICS,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,27.6633,SUCCESS,32.85,26.05,2012-04-12,2012-07-20,71.0,33.9,2012-05-17,26.75,2012-04-17,22.54,-3.3,25.85,32.7,18.21,27.2,-1.67
DATAMATICS,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,32.1967,SUCCESS,33.85,31.25,2012-10-12,2013-01-20,67.0,34.55,2012-11-19,26.0,2012-10-18,7.31,-19.25,26.56,32.75,1.72,29.9,-7.13
DATAMATICS,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,26.8767,SUCCESS,28.95,25.1,2013-04-12,2013-07-20,65.0,28.9,2013-04-16,21.1,2013-07-12,7.53,-21.49,29.02,28.3,5.3,21.1,-21.49
DATAMATICS,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-15,15.0,26.82,SUCCESS,30.0,23.5,2013-10-16,2014-01-20,62.0,49.0,2014-01-15,25.0,2013-10-29,82.7,-6.79,89.49,46.9,74.87,27.2,1.42
DATAMATICS,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,49.5833,SUCCESS,52.65,46.0,2014-04-10,2014-07-20,44.0,63.9,2014-06-09,45.85,2014-05-16,28.87,-7.53,36.4,60.25,21.51,46.85,-5.51
DATAMATICS,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,67.9067,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DATAMATICS,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,67.9067,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DATAMATICS,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,67.9067,SUCCESS,77.85,55.7,2016-01-16,2016-01-20,3.0,57.95,2016-01-18,51.25,2016-01-20,-14.66,-24.53,9.87,56.9,-16.21,53.3,-21.51
DATAMATICS,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,53.5567,SUCCESS,57.6,49.65,2016-04-13,2016-07-20,67.0,64.7,2016-07-04,50.25,2016-05-02,20.81,-6.17,26.98,62.5,16.7,50.85,-5.05
DATAMATICS,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,81.25,SUCCESS,98.0,72.0,2016-10-11,2017-01-20,71.0,164.9,2017-01-20,65.55,2016-11-09,102.95,-19.32,122.28,157.25,93.54,73.1,-10.03
DATAMATICS,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,129.4967,SUCCESS,137.3,125.0,2017-04-11,2017-07-20,70.0,134.0,2017-05-03,92.35,2017-05-30,3.48,-28.69,32.16,130.05,0.43,95.95,-25.91
DATAMATICS,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,99.6833,SUCCESS,109.75,94.1,2017-10-12,2018-01-20,70.0,152.7,2017-12-29,100.15,2017-10-17,53.19,0.47,52.72,146.45,46.92,100.9,1.22
DATAMATICS,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,110.53,SUCCESS,130.5,101.35,2018-04-12,2018-07-20,71.0,139.5,2018-04-23,96.6,2018-06-06,26.21,-12.6,38.81,136.45,23.45,98.6,-10.79
DATAMATICS,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,111.4067,SUCCESS,131.6,96.95,2018-10-13,2019-01-20,66.0,124.9,2018-10-17,99.0,2018-12-10,12.11,-11.14,23.25,120.2,7.89,100.1,-10.15
DATAMATICS,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,103.2767,SUCCESS,110.5,99.5,2019-04-11,2019-07-20,67.0,116.2,2019-05-27,78.5,2019-07-19,12.51,-23.99,36.5,111.1,7.58,79.75,-22.78
DATAMATICS,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,76.4367,SUCCESS,89.0,70.0,2019-10-15,2020-01-20,67.0,86.4,2020-01-16,66.55,2019-12-11,13.03,-12.93,25.97,82.5,7.93,67.35,-11.89
DATAMATICS,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,38.5,SUCCESS,45.0,27.4,2020-04-16,2020-07-20,66.0,56.9,2020-06-09,40.5,2020-05-19,47.79,5.19,42.6,54.85,42.47,40.75,5.84
DATAMATICS,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,76.53,SUCCESS,87.7,71.5,2020-10-13,2021-01-20,69.0,131.2,2021-01-05,66.25,2020-11-12,71.44,-13.43,84.87,126.9,65.82,67.4,-11.93
DATAMATICS,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,118.3933,SUCCESS,128.5,111.15,2021-04-14,2021-07-20,66.0,326.7,2021-07-20,108.5,2021-04-19,175.94,-8.36,184.3,313.3,164.63,109.8,-7.26
DATAMATICS,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,312.1967,SUCCESS,371.2,294.0,2021-10-09,2022-01-20,71.0,382.4,2021-10-12,261.65,2021-12-21,22.49,-16.19,38.68,369.7,18.42,268.0,-14.16
DATAMATICS,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,306.7867,SUCCESS,338.0,277.0,2022-04-09,2022-07-20,70.0,351.0,2022-06-03,233.95,2022-05-11,14.41,-23.74,38.15,336.7,9.75,238.9,-22.13
