Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
DEEPAKFERT,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,15.2587,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DEEPAKFERT,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,15.2587,SUCCESS,18.49,14.29,2002-01-16,2002-01-20,3.0,20.23,2002-01-18,17.19,2002-01-16,32.58,12.66,19.92,18.44,20.85,17.72,16.13
DEEPAKFERT,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,16.4467,SUCCESS,17.77,15.59,2002-04-12,2002-07-20,70.0,21.48,2002-07-09,15.21,2002-05-21,30.6,-7.52,38.12,20.66,25.62,15.69,-4.6
DEEPAKFERT,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,16.022,SUCCESS,18.3,15.45,2002-10-12,2003-01-20,67.0,17.62,2002-12-02,15.55,2002-12-11,9.97,-2.95,12.92,17.48,9.1,16.08,0.36
DEEPAKFERT,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,18.0373,SUCCESS,18.83,17.38,2003-04-09,2003-07-20,70.0,27.91,2003-07-01,17.57,2003-04-15,54.73,-2.59,57.33,27.18,50.69,18.64,3.34
DEEPAKFERT,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,27.1813,SUCCESS,30.66,21.24,2003-10-14,2004-01-20,71.0,47.51,2004-01-05,26.07,2003-10-20,74.79,-4.09,78.88,46.4,70.71,28.24,3.89
DEEPAKFERT,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,30.8627,SUCCESS,35.24,26.8,2004-04-13,2004-07-20,70.0,44.8,2004-04-23,28.49,2004-05-18,45.16,-7.69,52.85,39.64,28.44,30.08,-2.54
DEEPAKFERT,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,39.0553,SUCCESS,41.71,35.92,2004-10-09,2005-01-20,71.0,55.86,2005-01-10,34.67,2004-10-18,43.03,-11.23,54.26,53.2,36.22,37.71,-3.44
DEEPAKFERT,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,61.8053,SUCCESS,68.27,55.33,2005-04-12,2005-07-20,72.0,79.42,2005-07-20,58.23,2005-04-18,28.5,-5.78,34.29,75.22,21.7,59.82,-3.21
DEEPAKFERT,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,87.1387,SUCCESS,95.55,78.31,2005-10-11,2006-01-20,70.0,112.49,2006-01-03,71.45,2005-10-21,29.09,-18.0,47.1,108.34,24.33,72.18,-17.17
DEEPAKFERT,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,93.3233,SUCCESS,102.69,86.03,2006-04-11,2006-07-20,72.0,115.87,2006-05-04,60.25,2006-06-14,24.16,-35.44,59.6,106.26,13.86,63.25,-32.22
DEEPAKFERT,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,84.6667,SUCCESS,92.12,80.39,2006-10-12,2007-01-20,69.0,98.97,2007-01-12,67.69,2006-11-20,16.89,-20.05,36.94,96.22,13.65,71.21,-15.89
DEEPAKFERT,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,79.5167,SUCCESS,84.01,73.96,2007-04-12,2007-07-20,45.0,95.06,2007-06-05,79.66,2007-05-11,19.55,0.18,19.37,92.84,16.76,80.72,1.51
DEEPAKFERT,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,56.178,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DEEPAKFERT,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,56.178,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DEEPAKFERT,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,56.178,SUCCESS,62.28,51.23,2009-01-17,2009-01-20,2.0,55.72,2009-01-19,53.2,2009-01-20,-0.82,-5.3,4.49,54.65,-2.72,53.88,-4.09
DEEPAKFERT,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,56.0013,SUCCESS,62.76,49.49,2009-04-16,2009-07-20,66.0,108.05,2009-06-02,56.1,2009-04-16,92.94,0.18,92.77,102.69,83.37,57.12,2.0
DEEPAKFERT,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,87.664,SUCCESS,94.53,84.2,2009-10-16,2010-01-20,65.0,122.05,2010-01-19,80.29,2009-10-27,39.22,-8.41,47.64,117.9,34.49,82.03,-6.43
