Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
DEVYANI,2021,20-March,2021-03-20,2021-08-16,2021-08-16,2021-09-06,15.0,120.4433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DEVYANI,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,116.2833,SUCCESS,122.0,112.1,2021-10-09,2022-01-20,71.0,198.9,2021-12-14,111.85,2021-10-18,71.05,-3.81,74.86,191.1,64.34,112.55,-3.21
DEVYANI,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,171.08,SUCCESS,181.8,156.85,2022-04-09,2022-07-20,70.0,175.35,2022-04-29,141.05,2022-06-20,2.5,-17.55,20.05,172.75,0.98,142.85,-16.5
DEVYANI,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,193.11,SUCCESS,201.9,179.25,2022-10-12,2023-01-20,71.0,200.9,2022-11-02,156.1,2023-01-16,4.03,-19.17,23.2,194.7,0.82,158.0,-18.18
DEVYANI,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,143.94,SUCCESS,153.7,133.95,2023-04-13,2023-07-20,68.0,201.65,2023-07-19,153.0,2023-04-13,40.09,6.29,33.8,198.8,38.11,156.2,8.52
DEVYANI,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,213.18,SUCCESS,223.0,205.0,2023-10-12,2024-01-20,70.0,218.7,2023-10-12,172.6,2023-12-01,2.59,-19.04,21.62,213.5,0.15,175.1,-17.86
DEVYANI,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,157.09,SUCCESS,168.0,147.15,2024-04-13,2024-07-20,66.0,180.95,2024-06-10,142.45,2024-06-04,15.19,-9.32,24.51,180.05,14.62,149.1,-5.09
DEVYANI,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,193.41,SUCCESS,222.74,169.91,2024-10-12,2025-01-20,68.0,209.75,2025-01-06,158.5,2024-11-21,8.45,-18.05,26.5,197.75,2.24,160.97,-16.77
DEVYANI,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,148.998,SUCCESS,157.83,134.0,2025-04-12,2025-07-20,67.0,190.5,2025-05-16,157.76,2025-04-15,27.85,5.88,21.97,186.89,25.43,163.71,9.87
DEVYANI,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,168.9527,SUCCESS,182.8,161.22,2025-10-14,2026-01-20,67.0,169.75,2025-10-20,122.25,2025-12-18,0.47,-27.64,28.11,167.8,-0.68,124.81,-26.13
DEVYANI,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,101.954,SUCCESS,112.46,91.55,2026-04-16,2026-07-20,65.0,129.97,2026-04-29,105.42,2026-06-11,27.48,3.4,24.08,127.59,25.14,106.49,4.45
DEVYANI,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
