Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
DHARMAJ,2022,20-March,2022-03-20,2022-12-08,2022-12-08,2022-12-28,15.0,221.8567,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DHARMAJ,2022,20-September,2022-09-20,2022-12-08,2022-12-08,2022-12-28,15.0,221.8567,SUCCESS,279.0,178.4,2022-12-29,2023-01-20,17.0,216.45,2023-01-03,184.7,2023-01-09,-2.44,-16.75,14.31,212.8,-4.08,185.55,-16.36
DHARMAJ,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,154.9133,SUCCESS,168.3,137.0,2023-04-13,2023-07-20,68.0,189.0,2023-05-09,160.05,2023-05-16,22.0,3.32,18.69,185.1,19.49,164.5,6.19
DHARMAJ,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,217.5067,SUCCESS,240.7,205.9,2023-10-12,2024-01-20,70.0,290.0,2024-01-04,225.35,2023-10-26,33.33,3.61,29.72,281.7,29.51,234.75,7.93
DHARMAJ,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,233.8567,SUCCESS,249.35,215.5,2024-04-13,2024-07-20,66.0,328.46,2024-07-03,199.8,2024-06-04,40.45,-14.56,55.02,309.31,32.26,208.25,-10.95
DHARMAJ,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,328.7467,SUCCESS,358.0,300.05,2024-10-12,2025-01-20,68.0,375.4,2024-11-08,236.6,2025-01-15,14.19,-28.03,42.22,362.5,10.27,241.15,-26.65
DHARMAJ,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,193.0807,SUCCESS,206.8,175.0,2025-04-12,2025-07-20,67.0,357.85,2025-07-11,194.82,2025-05-02,85.34,0.9,84.44,351.15,81.87,202.9,5.09
DHARMAJ,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,312.2233,SUCCESS,345.0,297.8,2025-10-14,2026-01-20,67.0,311.4,2025-10-17,227.4,2025-11-18,-0.26,-27.17,26.9,302.95,-2.97,230.5,-26.17
DHARMAJ,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,249.2093,SUCCESS,280.72,225.88,2026-04-16,2026-07-20,65.0,298.0,2026-05-26,253.0,2026-04-24,19.58,1.52,18.06,286.35,14.9,255.14,2.38
DHARMAJ,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
