Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
DIGJAMLMTD,2022,20-March,2022-03-20,2022-11-21,2022-11-21,2023-01-30,15.0,112.66,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DIGJAMLMTD,2022,20-September,2022-09-20,2022-11-21,2022-11-21,2023-01-30,15.0,112.66,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DIGJAMLMTD,2023,20-March,2023-03-20,2023-04-21,2023-04-21,2023-05-12,15.0,90.7067,SUCCESS,99.0,85.0,2023-05-13,2023-07-20,48.0,96.15,2023-06-12,79.0,2023-07-18,6.0,-12.91,18.91,91.9,1.32,81.3,-10.37
DIGJAMLMTD,2023,20-September,2023-09-20,2023-09-25,2023-09-25,2023-11-12,15.0,82.5933,SUCCESS,93.0,72.1,2023-11-13,2024-01-20,48.0,88.0,2023-12-20,74.15,2023-12-06,6.55,-10.22,16.77,86.65,4.91,76.8,-7.01
DIGJAMLMTD,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,89.2567,SUCCESS,99.0,82.1,2024-04-16,2024-07-20,65.0,94.9,2024-04-19,80.0,2024-06-10,6.32,-10.37,16.69,91.75,2.79,82.0,-8.13
DIGJAMLMTD,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,86.5687,SUCCESS,92.34,81.6,2024-10-12,2025-01-20,68.0,94.0,2024-12-16,51.6,2025-01-15,8.58,-40.39,48.98,90.56,4.61,52.78,-39.03
DIGJAMLMTD,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,38.6707,SUCCESS,42.07,34.55,2025-04-12,2025-07-20,67.0,54.02,2025-07-18,32.83,2025-06-27,39.69,-15.1,54.8,54.02,39.69,32.83,-15.1
DIGJAMLMTD,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,56.2033,SUCCESS,59.7,53.09,2025-10-14,2026-01-20,39.0,57.36,2026-01-05,39.52,2025-12-01,2.06,-29.68,31.74,55.8,-0.72,40.01,-28.81
DIGJAMLMTD,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,41.5647,SUCCESS,49.5,36.03,2026-04-16,2026-07-20,65.0,56.8,2026-04-23,42.01,2026-07-13,36.65,1.07,35.58,53.91,29.7,43.38,4.37
DIGJAMLMTD,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
