Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
DIVISLAB,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,10.9533,SUCCESS,13.04,8.75,2003-04-09,2003-07-20,70.0,30.39,2003-07-02,12.01,2003-04-22,177.45,9.65,167.8,28.44,159.65,12.19,11.29
DIVISLAB,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,43.3947,SUCCESS,46.95,37.75,2003-10-14,2004-01-20,71.0,83.7,2004-01-05,36.75,2003-10-22,92.88,-15.31,108.19,80.01,84.38,38.43,-11.44
DIVISLAB,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,73.7513,SUCCESS,78.85,67.0,2004-04-13,2004-07-20,70.0,81.84,2004-04-22,56.18,2004-06-30,10.97,-23.83,34.79,79.94,8.39,56.39,-23.54
DIVISLAB,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,67.0567,SUCCESS,72.25,63.25,2004-10-09,2005-01-20,71.0,72.5,2004-12-21,51.61,2004-11-04,8.12,-23.04,31.15,70.88,5.7,51.93,-22.56
DIVISLAB,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,50.97,SUCCESS,56.28,46.5,2005-04-12,2005-07-20,72.0,67.4,2005-07-19,45.0,2005-04-29,32.23,-11.71,43.95,65.62,28.74,46.15,-9.46
DIVISLAB,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,75.7307,SUCCESS,84.5,65.0,2005-10-11,2006-01-20,70.0,82.5,2006-01-06,63.1,2005-10-26,8.94,-16.68,25.62,81.22,7.25,64.83,-14.39
DIVISLAB,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,89.7047,SUCCESS,100.75,82.75,2006-04-11,2006-07-20,72.0,98.75,2006-04-19,55.5,2006-06-08,10.08,-38.13,48.21,95.91,6.92,56.41,-37.12
DIVISLAB,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,109.408,SUCCESS,134.0,104.5,2006-10-12,2007-01-20,69.0,162.0,2007-01-18,111.75,2006-10-12,48.07,2.14,45.93,158.3,44.69,114.41,4.57
DIVISLAB,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,154.7167,SUCCESS,172.5,145.07,2007-04-12,2007-07-20,45.0,271.0,2007-06-15,166.75,2007-04-12,75.16,7.78,67.38,267.9,73.16,167.94,8.55
DIVISLAB,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,313.984,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DIVISLAB,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,313.984,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DIVISLAB,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,313.984,SUCCESS,342.0,265.25,2009-01-17,2009-01-20,2.0,286.75,2009-01-19,265.0,2009-01-20,-8.67,-15.6,6.93,277.58,-11.59,267.23,-14.89
