Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
DPABHUSHAN,2020,20-March,2020-03-20,2020-11-03,2020-11-03,2020-11-24,15.0,105.52,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DPABHUSHAN,2020,20-September,2020-09-20,2020-11-03,2020-11-03,2020-11-24,15.0,105.52,SUCCESS,134.5,91.0,2020-11-25,2021-01-20,39.0,105.7,2021-01-15,70.05,2020-12-22,0.17,-33.61,33.79,104.35,-1.11,78.75,-25.37
DPABHUSHAN,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,117.8067,SUCCESS,123.75,111.0,2021-04-14,2021-07-20,66.0,189.65,2021-07-16,105.1,2021-04-22,60.98,-10.79,71.77,184.6,56.7,110.45,-6.24
DPABHUSHAN,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,213.5133,SUCCESS,234.9,201.0,2021-10-09,2022-01-20,71.0,477.8,2021-12-29,210.25,2021-10-14,123.78,-1.53,125.31,439.05,105.63,215.8,1.07
DPABHUSHAN,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,386.1033,SUCCESS,425.0,365.0,2022-04-09,2022-07-20,70.0,495.0,2022-04-29,343.6,2022-06-20,28.2,-11.01,39.21,454.7,17.77,353.35,-8.48
DPABHUSHAN,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,397.5433,SUCCESS,450.0,376.1,2022-10-12,2023-01-20,71.0,424.95,2022-10-28,272.05,2022-12-23,6.89,-31.57,38.46,396.1,-0.36,279.1,-29.79
DPABHUSHAN,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,308.47,SUCCESS,324.9,282.35,2023-04-13,2023-07-20,68.0,335.0,2023-04-13,221.55,2023-06-14,8.6,-28.18,36.78,328.45,6.48,240.05,-22.18
DPABHUSHAN,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,600.3467,SUCCESS,683.95,517.55,2023-10-12,2024-01-20,70.0,745.45,2024-01-08,515.55,2023-10-26,24.17,-14.12,38.29,729.0,21.43,515.55,-14.12
DPABHUSHAN,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,902.1633,SUCCESS,1142.55,814.8,2024-04-13,2024-07-20,66.0,1454.05,2024-05-21,1003.85,2024-04-23,61.17,11.27,49.9,1401.3,55.33,1014.0,12.4
DPABHUSHAN,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1675.1167,SUCCESS,1824.0,1530.05,2024-10-12,2025-01-20,68.0,1927.0,2024-10-22,1345.0,2025-01-06,15.04,-19.71,34.74,1854.9,10.73,1378.4,-17.71
DPABHUSHAN,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1419.6867,SUCCESS,1649.9,1296.0,2025-04-12,2025-07-20,67.0,1639.0,2025-07-18,1301.0,2025-05-09,15.45,-8.36,23.81,1620.3,14.13,1366.7,-3.73
DPABHUSHAN,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1457.4467,SUCCESS,1581.5,1410.0,2025-10-14,2026-01-20,67.0,1670.0,2025-11-20,1348.0,2025-10-15,14.58,-7.51,22.09,1635.0,12.18,1362.5,-6.51
DPABHUSHAN,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,1032.9467,SUCCESS,1160.0,922.0,2026-04-16,2026-07-20,65.0,1548.0,2026-07-20,866.1,2026-05-20,49.86,-16.15,66.02,1434.35,38.86,887.5,-14.08
DPABHUSHAN,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
