Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
DPWIRES,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-16,15.0,47.21,SUCCESS,61.25,36.01,2020-04-17,2020-07-20,65.0,75.6,2020-05-22,41.43,2020-05-19,60.14,-12.24,72.38,70.92,50.22,44.41,-5.93
DPWIRES,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,52.116,SUCCESS,57.75,48.13,2020-10-13,2021-01-20,70.0,124.91,2021-01-14,50.71,2020-10-14,139.68,-2.7,142.37,115.54,121.7,51.93,-0.36
DPWIRES,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,93.8813,SUCCESS,98.44,89.08,2021-04-14,2021-07-20,66.0,173.25,2021-07-15,89.25,2021-04-19,84.54,-4.93,89.47,168.74,79.74,91.0,-3.07
DPWIRES,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,195.0853,SUCCESS,208.25,182.88,2021-10-09,2022-01-20,71.0,295.18,2022-01-18,168.04,2021-12-20,51.31,-13.86,65.17,281.14,44.11,174.48,-10.56
DPWIRES,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,292.3007,SUCCESS,310.45,281.93,2022-04-09,2022-07-20,70.0,371.0,2022-04-29,231.13,2022-06-20,26.92,-20.93,47.85,346.46,18.53,240.63,-17.68
DPWIRES,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,385.1467,SUCCESS,439.95,350.09,2022-10-12,2023-01-20,71.0,406.79,2022-12-06,289.01,2022-12-23,5.62,-24.96,30.58,384.87,-0.07,298.68,-22.45
DPWIRES,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,326.3667,SUCCESS,355.25,305.38,2023-04-13,2023-07-20,68.0,538.13,2023-07-19,335.69,2023-05-08,64.89,2.86,62.03,522.46,60.08,342.26,4.87
DPWIRES,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,580.844,SUCCESS,634.33,548.28,2023-10-12,2024-01-20,70.0,681.45,2023-11-17,509.47,2023-10-26,17.32,-12.29,29.61,640.0,10.18,519.4,-10.58
DPWIRES,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,480.8533,SUCCESS,548.0,420.3,2024-04-13,2024-07-20,66.0,555.0,2024-04-18,420.9,2024-06-04,15.42,-12.47,27.89,548.9,14.15,443.1,-7.85
DPWIRES,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,409.9067,SUCCESS,434.2,383.0,2024-10-12,2025-01-20,68.0,446.7,2024-10-25,308.0,2025-01-13,8.98,-24.86,33.84,438.05,6.87,313.15,-23.6
DPWIRES,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,204.3213,SUCCESS,224.0,185.99,2025-04-12,2025-07-20,67.0,291.81,2025-05-21,188.01,2025-05-09,42.82,-7.98,50.8,278.7,36.4,194.57,-4.77
DPWIRES,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,242.1913,SUCCESS,267.0,229.5,2025-10-14,2026-01-20,67.0,251.9,2025-10-27,177.0,2026-01-20,4.01,-26.92,30.93,242.43,0.1,178.11,-26.46
DPWIRES,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,152.2087,SUCCESS,204.98,125.02,2026-04-16,2026-07-20,65.0,219.99,2026-06-24,168.0,2026-05-22,44.53,10.37,34.16,213.03,39.96,169.08,11.08
DPWIRES,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
