Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
DYCL,2022,20-March,2022-03-20,2022-07-27,2022-07-27,2022-08-18,15.0,76.2813,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
DYCL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,74.964,SUCCESS,89.7,65.78,2022-10-12,2023-01-20,71.0,112.5,2023-01-04,78.5,2022-10-14,50.07,4.72,45.36,110.63,47.58,80.18,6.96
DYCL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,83.972,SUCCESS,88.5,77.85,2023-04-13,2023-07-20,68.0,196.0,2023-07-20,86.0,2023-04-13,133.41,2.42,131.0,195.1,132.34,88.45,5.33
DYCL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,227.4093,SUCCESS,245.0,206.03,2023-10-12,2024-01-20,70.0,250.5,2024-01-03,191.75,2023-11-13,10.15,-15.68,25.83,244.5,7.52,194.98,-14.26
DYCL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,196.2427,SUCCESS,215.0,182.0,2024-04-13,2024-07-20,66.0,340.0,2024-06-12,193.53,2024-04-16,73.25,-1.38,74.64,322.0,64.08,196.13,-0.06
DYCL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,269.046,SUCCESS,287.45,247.53,2024-10-12,2025-01-20,68.0,547.5,2024-12-17,263.3,2024-10-18,103.5,-2.14,105.63,530.13,97.04,274.38,1.98
DYCL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,276.326,SUCCESS,305.45,227.5,2025-04-12,2025-07-20,67.0,526.75,2025-07-11,257.05,2025-05-07,90.63,-6.98,97.6,502.03,81.68,265.63,-3.87
DYCL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,402.2133,SUCCESS,429.35,384.7,2025-10-14,2026-01-20,67.0,474.0,2025-10-27,282.1,2026-01-20,17.85,-29.86,47.71,452.35,12.47,285.0,-29.14
DYCL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,274.7113,SUCCESS,321.97,236.8,2026-04-16,2026-07-20,65.0,457.8,2026-07-20,278.0,2026-05-18,66.65,1.2,65.45,445.65,62.22,286.7,4.36
DYCL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
