Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
E2E,2022,20-March,2022-03-20,2022-04-12,2022-04-12,2022-05-05,15.0,15.124,SUCCESS,16.9,13.67,2022-05-06,2022-07-20,54.0,15.95,2022-05-06,9.44,2022-06-15,5.46,-37.58,43.04,15.04,-0.56,9.86,-34.81
E2E,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,18.9753,SUCCESS,20.91,17.4,2022-10-12,2023-01-20,71.0,22.87,2022-12-14,16.05,2022-10-18,20.52,-15.42,35.94,21.79,14.83,16.5,-13.05
E2E,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,17.37,SUCCESS,19.9,15.81,2023-04-13,2023-07-20,68.0,25.29,2023-07-20,16.06,2023-05-30,45.6,-7.54,53.14,25.29,45.6,16.34,-5.93
E2E,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,40.7933,SUCCESS,48.2,32.12,2023-10-12,2024-01-20,70.0,90.6,2024-01-09,45.53,2023-10-26,122.1,11.61,110.48,89.6,119.64,45.53,11.61
E2E,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-15,15.0,93.2827,SUCCESS,109.11,78.04,2024-04-16,2024-07-20,65.0,200.0,2024-06-13,96.6,2024-04-19,114.4,3.56,110.85,192.73,106.61,99.5,6.67
E2E,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,309.4847,SUCCESS,348.5,278.0,2024-10-12,2025-01-20,68.0,548.77,2024-11-07,325.01,2024-10-25,77.32,5.02,72.3,539.09,74.19,334.45,8.07
E2E,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,205.0967,SUCCESS,241.41,181.17,2025-04-12,2025-07-20,67.0,306.39,2025-05-23,173.21,2025-04-22,49.39,-15.55,64.94,299.87,46.21,180.8,-11.85
E2E,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,341.956,SUCCESS,389.47,303.6,2025-10-14,2026-01-20,67.0,334.5,2025-10-14,183.36,2026-01-12,-2.18,-46.38,44.2,324.13,-5.21,195.52,-42.82
E2E,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,229.81,SUCCESS,259.2,202.89,2026-04-16,2026-07-20,65.0,469.4,2026-06-23,257.4,2026-04-16,104.26,12.01,92.25,452.9,97.08,270.9,17.88
E2E,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
