Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
EDELWEISS,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,26.9993,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
EDELWEISS,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,26.9993,SUCCESS,32.19,23.5,2009-01-17,2009-01-20,2.0,24.8,2009-01-19,23.13,2009-01-20,-8.15,-14.33,6.19,23.82,-11.78,23.31,-13.66
EDELWEISS,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,27.0427,SUCCESS,32.76,24.2,2009-04-16,2009-07-20,66.0,52.91,2009-06-03,27.22,2009-04-28,95.65,0.66,95.0,50.78,87.78,27.5,1.69
EDELWEISS,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,48.8833,SUCCESS,54.2,44.01,2009-10-16,2010-01-20,65.0,54.0,2009-10-21,44.5,2009-11-04,10.47,-8.97,19.43,52.1,6.58,44.99,-7.96
EDELWEISS,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,43.7453,SUCCESS,44.8,40.79,2010-04-14,2010-07-20,69.0,53.5,2010-06-24,39.5,2010-05-17,22.3,-9.7,32.0,52.5,20.01,40.01,-8.54
EDELWEISS,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,56.6833,SUCCESS,63.7,51.2,2010-10-09,2011-01-20,72.0,68.2,2010-10-28,40.05,2011-01-19,20.32,-29.34,49.66,67.05,18.29,40.35,-28.82
EDELWEISS,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,39.3533,SUCCESS,41.9,35.8,2011-04-09,2011-07-20,70.0,39.95,2011-04-11,30.05,2011-05-16,1.52,-23.64,25.16,39.75,1.01,32.5,-17.41
EDELWEISS,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,27.3133,SUCCESS,29.0,24.2,2011-10-12,2012-01-20,70.0,30.9,2011-10-28,21.25,2011-12-20,13.13,-22.2,35.33,29.5,8.01,22.1,-19.09
EDELWEISS,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,28.5167,SUCCESS,33.45,26.4,2012-04-12,2012-07-20,72.0,40.65,2012-06-13,26.0,2012-06-28,42.55,-8.83,51.37,35.7,25.19,27.2,-4.62
EDELWEISS,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,36.8933,SUCCESS,46.0,29.6,2012-10-12,2013-01-20,67.0,42.85,2012-10-12,29.1,2012-11-16,16.15,-21.12,37.27,42.0,13.84,33.15,-10.15
EDELWEISS,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,30.41,SUCCESS,31.65,29.55,2013-04-12,2013-07-20,69.0,34.5,2013-05-17,28.5,2013-07-16,13.45,-6.28,19.73,33.2,9.17,29.5,-2.99
EDELWEISS,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,31.0033,SUCCESS,34.3,29.1,2013-10-12,2014-01-20,68.0,33.7,2013-11-05,24.5,2013-11-26,8.7,-20.98,29.67,31.15,0.47,25.0,-19.36
EDELWEISS,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,29.0733,SUCCESS,31.9,26.9,2014-04-10,2014-07-20,44.0,64.9,2014-06-13,30.45,2014-04-10,123.23,4.74,118.49,61.8,112.57,32.15,10.58
EDELWEISS,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,55.8433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
EDELWEISS,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,55.8433,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
EDELWEISS,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,55.8433,SUCCESS,59.5,50.1,2016-01-16,2016-01-20,3.0,52.4,2016-01-20,49.3,2016-01-18,-6.17,-11.72,5.55,51.6,-7.6,50.55,-9.48
EDELWEISS,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,56.1667,SUCCESS,61.75,53.8,2016-04-13,2016-07-20,67.0,83.0,2016-06-17,54.95,2016-04-13,47.77,-2.17,49.94,81.75,45.55,56.5,0.59
EDELWEISS,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,118.5567,SUCCESS,126.0,101.0,2016-10-11,2017-01-20,71.0,128.8,2016-10-20,82.0,2016-12-19,8.64,-30.83,39.47,127.2,7.29,82.8,-30.16
EDELWEISS,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,153.7633,SUCCESS,186.0,134.3,2017-04-11,2017-07-20,70.0,231.1,2017-07-10,162.2,2017-05-03,50.3,5.49,44.81,211.05,37.26,164.6,7.05
EDELWEISS,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,269.1867,SUCCESS,295.5,237.55,2017-10-12,2018-01-20,70.0,309.1,2017-11-03,245.0,2017-10-25,14.83,-8.99,23.81,301.45,11.99,264.35,-1.8
EDELWEISS,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,248.8633,SUCCESS,271.0,226.1,2018-04-12,2018-07-20,71.0,342.0,2018-05-29,260.1,2018-04-16,37.42,4.52,32.91,339.2,36.3,263.15,5.74
EDELWEISS,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,187.6967,SUCCESS,251.8,145.0,2018-10-13,2019-01-20,66.0,206.45,2018-12-19,128.5,2018-10-26,9.99,-31.54,41.53,201.05,7.11,133.9,-28.66
EDELWEISS,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,191.1033,SUCCESS,198.8,183.0,2019-04-11,2019-07-20,67.0,210.5,2019-06-04,137.25,2019-05-08,10.15,-28.18,38.33,205.3,7.43,139.45,-27.03
EDELWEISS,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,94.6567,SUCCESS,131.0,67.0,2019-10-15,2020-01-20,67.0,134.6,2019-11-15,73.8,2019-10-15,42.2,-22.03,64.23,129.15,36.44,75.8,-19.92
EDELWEISS,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,36.9267,SUCCESS,44.35,30.15,2020-04-16,2020-07-20,66.0,67.6,2020-07-20,33.5,2020-04-16,83.07,-9.28,92.35,67.6,83.07,35.05,-5.08
EDELWEISS,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,60.21,SUCCESS,68.4,55.45,2020-10-13,2021-01-20,69.0,83.8,2020-12-07,49.95,2020-11-04,39.18,-17.04,56.22,81.9,36.02,50.5,-16.13
EDELWEISS,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,70.4867,SUCCESS,85.7,61.55,2021-04-14,2021-07-20,66.0,100.9,2021-07-14,56.7,2021-05-03,43.15,-19.56,62.71,99.5,41.16,57.05,-19.06
EDELWEISS,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,79.71,SUCCESS,83.9,76.7,2021-10-09,2022-01-20,71.0,84.45,2021-11-09,64.4,2021-11-29,5.95,-19.21,25.15,83.25,4.44,67.1,-15.82
EDELWEISS,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,56.8867,SUCCESS,65.85,50.0,2022-04-09,2022-07-20,70.0,66.55,2022-04-22,49.4,2022-06-20,16.99,-13.16,30.15,64.85,14.0,50.7,-10.88
EDELWEISS,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,61.3767,SUCCESS,65.4,58.25,2022-10-12,2023-01-20,71.0,77.4,2023-01-18,56.1,2022-10-20,26.11,-8.6,34.7,75.3,22.69,56.25,-8.35
EDELWEISS,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,53.46,SUCCESS,57.75,50.0,2023-04-13,2023-07-20,68.0,71.45,2023-05-02,0.0,2023-06-02,33.65,-100.0,133.65,68.9,28.88,36.75,-31.26
EDELWEISS,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,60.4167,SUCCESS,77.05,52.2,2023-10-12,2024-01-20,70.0,87.8,2023-12-20,59.35,2023-10-26,45.32,-1.77,47.09,83.7,38.54,59.85,-0.94
EDELWEISS,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,68.9733,SUCCESS,77.45,62.35,2024-04-13,2024-07-20,66.0,87.65,2024-05-21,60.3,2024-07-19,27.08,-12.57,39.65,86.5,25.41,61.14,-11.36
EDELWEISS,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,130.474,SUCCESS,145.53,113.93,2024-10-12,2025-01-20,68.0,142.45,2024-12-18,100.32,2024-11-13,9.18,-23.11,32.29,138.64,6.26,101.93,-21.88
EDELWEISS,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,86.7527,SUCCESS,94.6,74.71,2025-04-12,2025-07-20,67.0,123.41,2025-07-17,73.5,2025-05-07,42.25,-15.28,57.53,121.42,39.96,76.05,-12.34
EDELWEISS,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,112.386,SUCCESS,122.79,105.98,2025-10-14,2026-01-20,67.0,123.5,2025-10-27,98.0,2025-12-09,9.89,-12.8,22.69,120.61,7.32,100.43,-10.64
EDELWEISS,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,108.4247,SUCCESS,119.24,99.02,2026-04-16,2026-07-20,65.0,133.9,2026-06-23,103.7,2026-06-11,23.5,-4.36,27.85,130.28,20.16,105.46,-2.73
EDELWEISS,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
