Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
EIFFL,2021,20-March,2021-03-20,2021-10-12,2021-10-12,2021-11-02,15.0,133.8267,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
EIFFL,2021,20-September,2021-09-20,2021-10-12,2021-10-12,2021-11-02,15.0,133.8267,SUCCESS,147.25,125.05,2021-11-03,2022-01-20,55.0,153.95,2022-01-03,118.3,2021-11-29,15.04,-11.6,26.64,147.85,10.48,123.0,-8.09
EIFFL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,118.6267,SUCCESS,126.4,112.55,2022-04-09,2022-07-20,70.0,135.55,2022-05-13,96.05,2022-06-14,14.27,-19.03,33.3,131.95,11.23,99.0,-16.54
EIFFL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,159.44,SUCCESS,168.75,146.95,2022-10-12,2023-01-20,71.0,179.0,2022-12-13,140.05,2022-11-23,12.27,-12.16,24.43,172.6,8.25,142.15,-10.84
EIFFL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,148.04,SUCCESS,153.9,144.5,2023-04-13,2023-07-20,68.0,188.8,2023-06-26,132.05,2023-06-05,27.53,-10.8,38.33,182.1,23.01,144.0,-2.73
EIFFL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,143.7033,SUCCESS,150.95,136.4,2023-10-12,2024-01-20,70.0,168.85,2024-01-01,135.0,2023-11-22,17.5,-6.06,23.56,161.5,12.38,136.15,-5.26
EIFFL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,134.5933,SUCCESS,140.9,127.0,2024-04-13,2024-07-20,66.0,154.03,2024-07-18,128.07,2024-06-28,14.44,-4.85,19.29,150.94,12.15,129.45,-3.82
EIFFL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,202.4273,SUCCESS,216.9,191.0,2024-10-12,2025-01-20,68.0,230.0,2024-11-12,173.0,2025-01-10,13.62,-14.54,28.16,223.71,10.51,185.16,-8.53
EIFFL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,177.776,SUCCESS,188.07,170.76,2025-04-12,2025-07-20,67.0,292.05,2025-07-02,178.5,2025-04-15,64.28,0.41,63.87,270.7,52.27,182.82,2.84
EIFFL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,227.1393,SUCCESS,253.0,216.1,2025-10-14,2026-01-20,67.0,305.9,2026-01-12,204.98,2025-12-09,34.68,-9.76,44.43,299.25,31.75,205.16,-9.68
EIFFL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,230.7627,SUCCESS,245.13,209.0,2026-04-16,2026-07-20,65.0,381.96,2026-06-22,215.55,2026-05-18,65.52,-6.59,72.11,356.54,54.51,220.89,-4.28
EIFFL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
