Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
FIBERWEB,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,41.09,SUCCESS,45.0,37.9,2022-04-09,2022-07-20,70.0,52.5,2022-04-25,31.0,2022-06-23,27.77,-24.56,52.32,49.95,21.56,33.3,-18.96
FIBERWEB,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,38.3767,SUCCESS,40.95,36.75,2022-10-12,2023-01-20,71.0,42.2,2022-11-09,31.5,2022-10-17,9.96,-17.92,27.88,39.0,1.62,33.0,-14.01
FIBERWEB,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,33.1167,SUCCESS,35.35,31.3,2023-04-13,2023-07-20,68.0,37.45,2023-05-05,28.35,2023-07-20,13.09,-14.39,27.48,36.8,11.12,29.0,-12.43
FIBERWEB,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,32.91,SUCCESS,36.0,30.9,2023-10-12,2024-01-20,70.0,40.85,2024-01-10,29.15,2023-10-26,24.13,-11.43,35.55,39.4,19.72,30.05,-8.69
FIBERWEB,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,34.0767,SUCCESS,41.5,29.0,2024-04-13,2024-07-20,66.0,48.88,2024-06-27,32.55,2024-04-15,43.44,-4.48,47.92,46.86,37.51,33.05,-3.01
FIBERWEB,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,43.6907,SUCCESS,47.0,40.36,2024-10-12,2025-01-20,68.0,65.99,2024-12-03,37.4,2024-10-25,51.04,-14.4,65.44,63.91,46.28,38.47,-11.95
FIBERWEB,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,40.528,SUCCESS,45.0,37.2,2025-04-12,2025-07-20,67.0,59.26,2025-06-23,34.8,2025-05-09,46.22,-14.13,60.35,55.09,35.93,36.6,-9.69
FIBERWEB,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,44.038,SUCCESS,49.9,41.98,2025-10-14,2026-01-20,67.0,45.04,2025-10-24,32.0,2026-01-12,2.28,-27.34,29.61,44.5,1.05,32.33,-26.59
FIBERWEB,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,35.2867,SUCCESS,38.2,30.11,2026-04-16,2026-07-20,65.0,40.0,2026-04-20,26.85,2026-06-11,13.36,-23.91,37.27,39.44,11.77,27.53,-21.98
FIBERWEB,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
