Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
FORTIS,2007,20-March,2007-03-20,2007-05-09,2007-05-09,2007-05-29,15.0,95.5533,SUCCESS,110.0,89.55,2007-05-30,2007-07-20,13.0,98.45,2007-06-04,85.75,2007-05-31,3.03,-10.26,13.29,93.0,-2.67,87.2,-8.74
FORTIS,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,67.6567,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
FORTIS,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,67.6567,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
FORTIS,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,67.6567,SUCCESS,73.0,63.2,2009-01-17,2009-01-20,2.0,70.25,2009-01-20,64.35,2009-01-19,3.83,-4.89,8.72,68.25,0.88,65.85,-2.67
FORTIS,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,67.1633,SUCCESS,74.9,64.25,2009-04-16,2009-07-20,66.0,126.0,2009-06-05,66.1,2009-04-28,87.6,-1.58,89.19,115.6,72.12,66.3,-1.29
FORTIS,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,109.0533,SUCCESS,113.9,105.05,2009-10-16,2010-01-20,65.0,149.9,2010-01-14,92.0,2009-12-01,37.46,-15.64,53.09,147.5,35.25,97.5,-10.59
FORTIS,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,175.66,SUCCESS,185.65,165.75,2010-04-14,2010-07-20,69.0,173.9,2010-05-03,134.65,2010-06-01,-1.0,-23.35,22.34,170.55,-2.91,135.2,-23.03
FORTIS,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,163.91,SUCCESS,175.15,157.0,2010-10-09,2011-01-20,72.0,177.2,2010-10-11,130.4,2011-01-18,8.11,-20.44,28.55,173.3,5.73,131.55,-19.74
FORTIS,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,154.2,SUCCESS,165.1,147.55,2011-04-09,2011-07-20,70.0,176.1,2011-05-30,142.0,2011-06-29,14.2,-7.91,22.11,169.2,9.73,150.65,-2.3
FORTIS,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,126.8133,SUCCESS,145.6,119.8,2011-10-12,2012-01-20,70.0,134.45,2011-11-04,76.0,2011-12-28,6.02,-40.07,46.09,131.55,3.74,82.0,-35.34
FORTIS,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,101.7033,SUCCESS,107.8,97.0,2012-04-12,2012-07-20,72.0,113.7,2012-04-20,91.95,2012-05-18,11.8,-9.59,21.39,111.1,9.24,93.2,-8.36
FORTIS,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,103.4733,SUCCESS,108.3,95.0,2012-10-12,2013-01-20,67.0,119.4,2012-12-18,97.55,2012-11-26,15.39,-5.72,21.12,116.7,12.78,99.15,-4.18
FORTIS,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,98.0867,SUCCESS,105.4,93.0,2013-04-12,2013-07-20,69.0,106.8,2013-05-10,83.55,2013-06-27,8.88,-14.82,23.7,105.55,7.61,84.95,-13.39
FORTIS,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,98.4733,SUCCESS,104.85,96.15,2013-10-12,2014-01-20,68.0,114.45,2013-11-27,97.15,2013-10-29,16.22,-1.34,17.57,111.4,13.13,97.55,-0.94
FORTIS,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,97.9133,SUCCESS,101.8,95.65,2014-04-10,2014-07-20,44.0,127.7,2014-06-12,96.6,2014-04-16,30.42,-1.34,31.76,123.9,26.54,97.05,-0.88
FORTIS,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,179.49,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
FORTIS,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,179.49,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
FORTIS,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,179.49,SUCCESS,191.65,161.0,2016-01-16,2016-01-20,3.0,176.0,2016-01-18,164.6,2016-01-18,-1.94,-8.3,6.35,171.2,-4.62,166.75,-7.1
FORTIS,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,178.5533,SUCCESS,188.7,174.0,2016-04-13,2016-07-20,67.0,188.25,2016-04-13,151.7,2016-06-24,5.43,-15.04,20.47,180.7,1.2,154.1,-13.7
