Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
GATECH,2016,20-March,2016-03-20,2016-07-25,2016-07-25,2016-08-12,15.0,32.67,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GATECH,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,27.3833,SUCCESS,31.05,22.57,2016-10-11,2017-01-20,71.0,30.3,2016-10-20,16.3,2016-11-21,10.65,-40.47,51.13,28.94,5.68,17.42,-36.38
GATECH,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,20.1793,SUCCESS,22.07,18.28,2017-04-11,2017-07-20,70.0,22.8,2017-05-04,6.56,2017-07-07,12.99,-67.49,80.48,21.64,7.24,6.76,-66.5
GATECH,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,5.7087,SUCCESS,6.42,4.91,2017-10-12,2018-01-20,70.0,18.58,2018-01-17,4.77,2017-11-23,225.47,-16.44,241.91,17.7,210.05,4.96,-13.11
GATECH,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,7.9913,SUCCESS,9.82,6.23,2018-04-12,2018-07-20,71.0,7.59,2018-04-26,3.45,2018-07-20,-5.02,-56.83,51.81,7.24,-9.4,3.45,-56.83
GATECH,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,2.1073,SUCCESS,2.67,1.75,2018-10-13,2019-01-20,66.0,1.94,2018-11-27,0.97,2018-12-28,-7.94,-53.97,46.03,1.89,-10.31,1.03,-51.12
GATECH,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,1.6707,SUCCESS,1.85,1.45,2019-04-11,2019-07-20,67.0,1.66,2019-04-16,0.68,2019-07-16,-0.64,-59.3,58.66,1.6,-4.23,0.68,-59.3
GATECH,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,0.74,SUCCESS,0.82,0.63,2019-10-15,2020-01-20,67.0,0.73,2019-10-15,0.34,2019-12-02,-1.35,-54.05,52.7,0.73,-1.35,0.34,-54.05
GATECH,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,0.3507,SUCCESS,0.38,0.29,2020-04-16,2020-07-20,49.0,0.63,2020-06-19,0.29,2020-05-15,79.66,-17.3,96.96,0.63,79.66,0.29,-17.3
GATECH,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-12-28,15.0,0.5633,SUCCESS,0.63,0.38,2020-12-29,2021-01-20,5.0,0.73,2021-01-13,0.53,2021-01-04,29.59,-5.92,35.5,0.73,29.59,0.59,4.73
