Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
GENUSPAPER,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,5.4633,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GENUSPAPER,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,5.4633,SUCCESS,6.05,4.8,2016-01-16,2016-01-20,3.0,4.9,2016-01-18,4.4,2016-01-19,-10.31,-19.46,9.15,4.7,-13.97,4.6,-15.8
GENUSPAPER,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,4.2267,SUCCESS,5.05,3.2,2016-04-13,2016-07-20,67.0,5.25,2016-07-04,3.5,2016-06-07,24.21,-17.19,41.4,5.0,18.3,3.7,-12.46
GENUSPAPER,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,4.1433,SUCCESS,5.0,3.75,2016-10-11,2017-01-20,71.0,7.55,2016-10-18,4.45,2016-11-21,82.22,7.4,74.82,7.25,74.98,4.5,8.61
GENUSPAPER,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,5.19,SUCCESS,5.9,4.75,2017-04-11,2017-07-20,70.0,6.15,2017-05-29,4.8,2017-04-28,18.5,-7.51,26.01,5.7,9.83,4.85,-6.55
GENUSPAPER,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,5.84,SUCCESS,9.25,5.2,2017-10-12,2018-01-20,70.0,15.2,2018-01-16,6.9,2017-10-12,160.27,18.15,142.12,14.5,148.29,7.0,19.86
GENUSPAPER,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,12.82,SUCCESS,14.0,11.4,2018-04-12,2018-07-20,71.0,13.4,2018-04-12,9.1,2018-06-06,4.52,-29.02,33.54,13.05,1.79,9.25,-27.85
GENUSPAPER,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,9.8167,SUCCESS,12.45,8.95,2018-10-13,2019-01-20,66.0,10.9,2018-10-29,8.15,2018-12-14,11.04,-16.98,28.01,10.65,8.49,8.6,-12.39
GENUSPAPER,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,7.34,SUCCESS,7.9,7.0,2019-04-11,2019-07-20,67.0,8.3,2019-04-26,4.2,2019-07-19,13.08,-42.78,55.86,7.8,6.27,4.35,-40.74
GENUSPAPER,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,6.11,SUCCESS,7.25,4.75,2019-10-15,2020-01-20,67.0,6.25,2020-01-20,4.65,2019-12-12,2.29,-23.9,26.19,5.9,-3.44,4.7,-23.08
GENUSPAPER,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,3.4633,SUCCESS,4.65,2.7,2020-04-16,2020-07-20,66.0,7.0,2020-07-02,3.15,2020-05-29,102.12,-9.05,111.16,6.8,96.34,3.55,2.5
GENUSPAPER,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,4.9167,SUCCESS,5.15,4.4,2020-10-13,2021-01-20,69.0,8.9,2020-12-22,4.4,2020-10-19,81.02,-10.51,91.53,8.4,70.85,4.6,-6.44
