Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
GEOJITFSL,2005,20-March,2005-03-20,2005-07-01,2005-07-01,2005-07-21,15.0,8.2733,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GEOJITFSL,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,11.972,SUCCESS,13.15,10.34,2005-10-11,2006-01-20,70.0,19.58,2006-01-17,10.8,2005-10-19,63.55,-9.79,73.34,19.19,60.29,10.94,-8.62
GEOJITFSL,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,17.9313,SUCCESS,20.08,16.5,2006-04-11,2006-07-20,72.0,23.86,2006-05-02,13.96,2006-06-14,33.06,-22.15,55.21,22.97,28.1,14.23,-20.64
GEOJITFSL,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,23.3967,SUCCESS,26.11,22.28,2006-10-12,2007-01-20,69.0,33.76,2007-01-15,21.79,2006-10-20,44.29,-6.87,51.16,33.18,41.82,21.88,-6.48
GEOJITFSL,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,31.2213,SUCCESS,33.13,28.59,2007-04-12,2007-07-20,45.0,39.93,2007-06-07,30.25,2007-04-12,27.89,-3.11,31.0,37.86,21.26,30.66,-1.8
GEOJITFSL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,22.4673,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GEOJITFSL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,22.4673,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GEOJITFSL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,22.4673,SUCCESS,25.21,17.2,2009-01-17,2009-01-20,2.0,21.61,2009-01-19,20.35,2009-01-20,-3.82,-9.42,5.61,21.38,-4.84,21.16,-5.82
GEOJITFSL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,19.22,SUCCESS,25.48,16.57,2009-04-16,2009-07-20,66.0,47.63,2009-06-05,21.61,2009-04-21,147.81,12.43,135.38,45.65,137.51,22.42,16.65
GEOJITFSL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,40.4307,SUCCESS,43.13,38.31,2009-10-16,2010-01-20,65.0,40.97,2009-10-16,27.51,2009-12-02,1.33,-31.96,33.29,40.43,-0.0,32.5,-19.62
