Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
GOCOLORS,2021,20-March,2021-03-20,2021-11-30,2021-11-30,2021-12-20,15.0,1192.6067,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GOCOLORS,2021,20-September,2021-09-20,2021-11-30,2021-11-30,2021-12-20,15.0,1192.6067,SUCCESS,1339.9,968.85,2021-12-21,2022-01-20,23.0,1156.35,2021-12-24,960.55,2021-12-21,-3.04,-19.46,16.42,1132.9,-5.01,971.45,-18.54
GOCOLORS,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,984.0267,SUCCESS,1039.0,917.1,2022-04-09,2022-07-20,70.0,1156.8,2022-05-24,874.0,2022-06-20,17.56,-11.18,28.74,1127.7,14.6,894.3,-9.12
GOCOLORS,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,1314.7633,SUCCESS,1445.0,1185.0,2022-10-12,2023-01-20,71.0,1453.0,2022-11-01,1100.6,2022-12-23,10.51,-16.29,26.8,1403.95,6.78,1110.4,-15.54
GOCOLORS,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,974.0467,SUCCESS,1048.0,924.3,2023-04-13,2023-07-20,68.0,1275.0,2023-06-08,982.0,2023-04-19,30.9,0.82,30.08,1229.05,26.18,990.1,1.65
GOCOLORS,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,1286.15,SUCCESS,1367.3,1240.0,2023-10-12,2024-01-20,70.0,1356.55,2023-12-05,1126.05,2024-01-17,5.47,-12.45,17.92,1352.75,5.18,1155.1,-10.19
GOCOLORS,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,1160.5567,SUCCESS,1275.0,1004.9,2024-04-13,2024-07-20,66.0,1179.9,2024-04-23,933.3,2024-05-03,1.67,-19.58,21.25,1163.55,0.26,955.2,-17.69
GOCOLORS,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1314.0233,SUCCESS,1407.8,1244.0,2024-10-12,2025-01-20,68.0,1285.0,2024-10-15,923.6,2025-01-14,-2.21,-29.71,27.5,1252.6,-4.67,939.65,-28.49
GOCOLORS,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,691.0767,SUCCESS,731.85,661.0,2025-04-12,2025-07-20,67.0,943.75,2025-05-20,703.5,2025-04-15,36.56,1.8,34.76,911.45,31.89,727.45,5.26
GOCOLORS,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,690.3367,SUCCESS,743.2,670.0,2025-10-14,2026-01-20,67.0,698.0,2025-10-15,383.0,2026-01-20,1.11,-44.52,45.63,688.0,-0.34,385.9,-44.1
GOCOLORS,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,271.608,SUCCESS,298.0,247.3,2026-04-16,2026-07-20,65.0,440.0,2026-06-08,249.5,2026-05-20,62.0,-8.14,70.14,414.2,52.5,254.4,-6.34
GOCOLORS,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
