Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
GODREJIND,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,2.076,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GODREJIND,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,2.076,SUCCESS,2.21,1.97,2002-01-16,2002-01-20,3.0,2.12,2002-01-18,1.92,2002-01-16,2.12,-7.51,9.63,2.08,0.19,2.06,-0.77
GODREJIND,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,2.5667,SUCCESS,2.63,2.54,2002-04-12,2002-07-20,68.0,3.91,2002-07-09,2.54,2002-04-15,52.34,-1.04,53.38,3.77,46.88,2.56,-0.26
GODREJIND,2002,20-September,2002-09-20,2003-02-25,2003-02-25,2003-03-19,15.0,2.4287,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GODREJIND,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-09,15.0,2.3193,SUCCESS,2.49,2.22,2003-04-10,2003-07-20,69.0,5.6,2003-06-26,2.12,2003-04-15,141.45,-8.59,150.04,5.21,124.63,2.22,-4.28
GODREJIND,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,7.5673,SUCCESS,10.23,6.07,2003-10-14,2004-01-20,71.0,12.31,2003-12-17,7.8,2003-10-14,62.67,3.07,59.6,11.99,58.44,8.14,7.57
GODREJIND,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,7.182,SUCCESS,7.99,6.35,2004-04-13,2004-07-20,70.0,8.37,2004-04-27,6.39,2004-05-17,16.54,-11.03,27.57,8.12,13.06,6.73,-6.29
GODREJIND,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,10.634,SUCCESS,14.62,8.38,2004-10-09,2005-01-20,71.0,22.7,2004-12-16,11.31,2004-10-25,113.47,6.36,107.11,21.34,100.68,11.61,9.18
GODREJIND,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,17.7547,SUCCESS,21.25,16.51,2005-04-12,2005-07-20,72.0,44.57,2005-05-26,16.64,2005-04-18,151.03,-6.28,157.31,42.84,141.29,17.04,-4.03
GODREJIND,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,41.3673,SUCCESS,44.76,35.98,2005-10-11,2006-01-20,70.0,66.62,2005-12-09,34.38,2005-10-31,61.04,-16.89,77.94,63.8,54.23,35.08,-15.2
GODREJIND,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,95.5727,SUCCESS,107.75,87.13,2006-04-11,2006-07-20,72.0,144.68,2006-05-18,56.35,2006-06-15,51.38,-41.04,92.42,138.45,44.86,61.79,-35.35
GODREJIND,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,93.0987,SUCCESS,104.12,87.53,2006-10-12,2007-01-20,69.0,200.84,2006-11-30,98.27,2006-10-12,115.73,5.55,110.17,191.85,106.07,105.52,13.34
GODREJIND,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,158.1773,SUCCESS,170.76,145.33,2007-04-12,2007-07-20,45.0,198.69,2007-04-17,146.88,2007-05-11,25.61,-7.14,32.75,189.2,19.61,148.13,-6.35
GODREJIND,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,70.5327,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GODREJIND,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,70.5327,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GODREJIND,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,70.5327,SUCCESS,87.23,61.1,2009-01-17,2009-01-20,2.0,70.14,2009-01-20,65.95,2009-01-20,-0.56,-6.5,5.94,68.4,-3.02,67.75,-3.95
GODREJIND,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,61.7987,SUCCESS,86.43,51.11,2009-04-16,2009-07-20,66.0,153.88,2009-06-02,69.99,2009-04-17,149.0,13.25,135.75,150.23,143.1,70.84,14.63
GODREJIND,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,200.0633,SUCCESS,215.63,184.45,2009-10-16,2010-01-20,65.0,218.82,2009-12-03,162.37,2009-11-03,9.38,-18.84,28.22,214.83,7.38,164.77,-17.64
GODREJIND,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,149.97,SUCCESS,165.37,139.29,2010-04-14,2010-07-20,69.0,189.75,2010-07-20,142.39,2010-06-08,26.53,-5.05,31.58,187.1,24.76,143.44,-4.35
GODREJIND,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,223.8407,SUCCESS,238.91,212.33,2010-10-09,2011-01-20,72.0,237.81,2010-11-10,163.87,2010-12-10,6.24,-26.79,33.03,232.11,3.69,168.42,-24.76
GODREJIND,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,182.73,SUCCESS,198.74,163.37,2011-04-09,2011-07-20,70.0,235.66,2011-07-19,171.96,2011-05-26,28.97,-5.89,34.86,231.41,26.64,174.06,-4.74
GODREJIND,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,192.8433,SUCCESS,210.33,179.96,2011-10-12,2012-01-20,70.0,214.73,2011-11-09,167.87,2011-12-29,11.35,-12.95,24.3,208.48,8.11,170.16,-11.76
GODREJIND,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,257.6093,SUCCESS,283.12,230.47,2012-04-12,2012-07-20,72.0,279.08,2012-04-20,220.92,2012-06-19,8.33,-14.24,22.58,271.83,5.52,222.32,-13.7
GODREJIND,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,284.5053,SUCCESS,299.66,268.83,2012-10-12,2013-01-20,67.0,331.63,2013-01-08,262.09,2012-10-17,16.56,-7.88,24.44,330.34,16.11,280.63,-1.36
