Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
GOKUL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,41.006,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GOKUL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,41.006,SUCCESS,44.18,36.0,2009-01-17,2009-01-20,2.0,40.8,2009-01-19,36.39,2009-01-20,-0.5,-11.26,10.75,40.21,-1.94,38.47,-6.18
GOKUL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,42.454,SUCCESS,51.59,36.4,2009-04-16,2009-07-20,65.0,65.94,2009-05-22,39.4,2009-04-24,55.32,-7.19,62.51,58.1,36.85,43.13,1.59
GOKUL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,60.6427,SUCCESS,79.0,57.8,2009-10-16,2010-01-20,65.0,64.9,2009-10-20,50.0,2009-10-29,7.02,-17.55,24.57,64.05,5.62,50.8,-16.23
GOKUL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,65.6633,SUCCESS,74.9,59.0,2010-04-14,2010-07-20,69.0,98.25,2010-07-20,68.1,2010-05-25,49.63,3.71,45.92,95.1,44.83,68.5,4.32
GOKUL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,95.3567,SUCCESS,104.0,92.3,2010-10-09,2011-01-20,72.0,107.7,2010-10-18,65.0,2010-12-10,12.94,-31.83,44.78,104.35,9.43,68.8,-27.85
GOKUL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,100.0767,SUCCESS,110.4,91.0,2011-04-09,2011-07-20,70.0,108.8,2011-04-28,81.0,2011-06-20,8.72,-19.06,27.78,105.2,5.12,81.8,-18.26
GOKUL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,86.2267,SUCCESS,92.0,80.1,2011-10-12,2012-01-20,70.0,101.0,2011-10-19,73.15,2012-01-05,17.13,-15.17,32.3,96.0,11.33,76.75,-10.99
GOKUL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,77.2033,SUCCESS,90.6,72.55,2012-04-12,2012-07-20,72.0,98.0,2012-05-24,66.0,2012-07-16,26.94,-14.51,41.45,92.7,20.07,73.05,-5.38
GOKUL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,45.2533,SUCCESS,52.0,38.75,2012-10-12,2013-01-20,67.0,53.3,2012-10-12,37.55,2012-11-23,17.78,-17.02,34.8,50.4,11.37,37.7,-16.69
