Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
GRINFRA,2021,20-March,2021-03-20,2021-07-19,2021-07-19,2021-08-09,15.0,1716.7533,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GRINFRA,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,1880.44,SUCCESS,2047.0,1570.0,2021-10-09,2022-01-20,71.0,2267.65,2021-10-25,1630.0,2021-12-20,20.59,-13.32,33.91,2158.5,14.79,1647.45,-12.39
GRINFRA,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,1511.8633,SUCCESS,1620.0,1410.0,2022-04-09,2022-07-20,70.0,1812.8,2022-04-18,1078.85,2022-06-23,19.91,-28.64,48.55,1592.8,5.35,1092.95,-27.71
GRINFRA,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,1240.7233,SUCCESS,1298.0,1196.15,2022-10-12,2023-01-20,71.0,1275.85,2022-10-24,1090.0,2022-11-30,2.83,-12.15,14.98,1246.7,0.48,1115.05,-10.13
GRINFRA,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,997.8467,SUCCESS,1069.95,930.0,2023-04-13,2023-07-20,68.0,1350.0,2023-07-10,962.0,2023-04-18,35.29,-3.59,38.88,1340.0,34.29,970.4,-2.75
GRINFRA,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,1213.4833,SUCCESS,1287.0,1176.3,2023-10-12,2024-01-20,70.0,1274.0,2023-12-08,1024.95,2023-11-30,4.99,-15.54,20.52,1247.7,2.82,1036.0,-14.63
GRINFRA,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,1331.26,SUCCESS,1434.75,1233.65,2024-04-13,2024-07-20,66.0,1860.0,2024-06-26,1290.0,2024-04-15,39.72,-3.1,42.82,1839.65,38.19,1312.9,-1.38
GRINFRA,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,1664.9633,SUCCESS,1774.95,1552.55,2024-10-12,2025-01-20,68.0,1705.2,2024-10-16,1250.0,2025-01-13,2.42,-24.92,27.34,1648.1,-1.01,1277.15,-23.29
GRINFRA,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,1040.0133,SUCCESS,1097.0,920.7,2025-04-12,2025-07-20,67.0,1444.4,2025-06-10,1025.0,2025-05-07,38.88,-1.44,40.33,1406.2,35.21,1038.1,-0.18
GRINFRA,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,1256.9667,SUCCESS,1345.0,1200.4,2025-10-14,2026-01-20,67.0,1271.9,2025-10-14,898.0,2026-01-20,1.19,-28.56,29.75,1265.0,0.64,907.65,-27.79
GRINFRA,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,835.9333,SUCCESS,920.0,785.0,2026-04-16,2026-07-20,65.0,1004.6,2026-05-11,830.25,2026-06-12,20.18,-0.68,20.86,998.8,19.48,840.05,0.49
GRINFRA,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
