Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
GSS,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,116.6933,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GSS,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,116.6933,SUCCESS,143.85,90.0,2009-01-17,2009-01-20,2.0,105.5,2009-01-20,95.6,2009-01-20,-9.59,-18.08,8.48,104.25,-10.66,97.7,-16.28
GSS,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,125.3967,SUCCESS,140.0,110.5,2009-04-16,2009-07-20,66.0,192.5,2009-05-19,129.25,2009-07-09,53.51,3.07,50.44,187.75,49.72,137.6,9.73
GSS,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,244.6733,SUCCESS,262.1,233.0,2009-10-16,2010-01-20,65.0,367.0,2010-01-12,209.0,2009-11-04,50.0,-14.58,64.58,347.3,41.94,214.65,-12.27
GSS,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,312.25,SUCCESS,341.5,291.0,2010-04-14,2010-07-20,69.0,364.0,2010-04-22,303.0,2010-05-25,16.57,-2.96,19.54,353.4,13.18,305.95,-2.02
GSS,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,332.83,SUCCESS,361.9,320.1,2010-10-09,2011-01-20,72.0,500.0,2010-11-08,149.65,2010-12-15,50.23,-55.04,105.26,420.05,26.21,157.5,-52.68
GSS,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,145.57,SUCCESS,169.5,134.0,2011-04-09,2011-07-20,70.0,205.0,2011-05-27,150.0,2011-04-11,40.83,3.04,37.78,199.35,36.94,151.3,3.94
GSS,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,131.0133,SUCCESS,139.85,124.8,2011-10-12,2012-01-20,70.0,138.95,2011-10-26,35.6,2012-01-09,6.06,-72.83,78.89,130.45,-0.43,36.6,-72.06
GSS,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,52.34,SUCCESS,57.0,48.35,2012-04-12,2012-07-20,72.0,56.0,2012-04-17,37.4,2012-07-17,6.99,-28.54,35.54,54.75,4.6,38.15,-27.11
GSS,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,38.1367,SUCCESS,42.0,36.2,2012-10-12,2013-01-20,67.0,44.95,2012-12-14,36.0,2012-11-07,17.87,-5.6,23.47,41.9,9.87,36.45,-4.42
GSS,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,33.5567,SUCCESS,36.45,29.25,2013-04-12,2013-07-20,69.0,34.1,2013-04-12,26.15,2013-06-06,1.62,-22.07,23.69,34.0,1.32,27.65,-17.6
GSS,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,34.89,SUCCESS,40.0,32.0,2013-10-12,2014-01-20,68.0,54.9,2013-11-13,31.7,2013-12-17,57.35,-9.14,66.49,47.85,37.15,32.7,-6.28
GSS,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,29.62,SUCCESS,31.85,27.25,2014-04-10,2014-07-20,44.0,45.8,2014-06-12,26.1,2014-05-19,54.63,-11.88,66.51,42.7,44.16,30.45,2.8
GSS,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,38.15,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GSS,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,38.15,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GSS,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,38.15,SUCCESS,41.75,32.55,2016-01-16,2016-01-20,3.0,33.55,2016-01-18,28.5,2016-01-19,-12.06,-25.29,13.24,31.25,-18.09,29.85,-21.76
GSS,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,25.6633,SUCCESS,29.0,23.15,2016-04-13,2016-07-20,67.0,27.5,2016-04-27,20.2,2016-06-09,7.16,-21.29,28.45,27.1,5.6,20.95,-18.37
GSS,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,28.0967,SUCCESS,31.45,25.5,2016-10-11,2017-01-20,71.0,38.5,2016-10-25,24.1,2016-12-27,37.03,-14.22,51.25,37.35,32.93,25.05,-10.84
GSS,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,24.0267,SUCCESS,27.9,22.0,2017-04-11,2017-07-20,70.0,32.9,2017-04-25,20.35,2017-07-03,36.93,-15.3,52.23,30.75,27.98,21.1,-12.18
GSS,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,21.8933,SUCCESS,23.4,20.6,2017-10-12,2018-01-20,70.0,39.4,2018-01-05,21.2,2017-10-16,79.96,-3.17,83.13,38.7,76.77,22.15,1.17
GSS,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,55.52,SUCCESS,66.0,53.0,2018-04-12,2018-07-20,71.0,110.0,2018-05-24,51.15,2018-04-16,98.13,-7.87,106.0,107.0,92.72,52.15,-6.07
GSS,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,101.19,SUCCESS,122.8,88.8,2018-10-13,2019-01-20,66.0,141.0,2018-12-20,90.0,2018-10-25,39.34,-11.06,50.4,137.05,35.44,90.2,-10.86
GSS,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,120.63,SUCCESS,137.0,112.0,2019-04-11,2019-07-20,67.0,144.8,2019-06-03,40.65,2019-07-19,20.04,-66.3,86.34,139.0,15.23,40.65,-66.3
GSS,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,30.4367,SUCCESS,39.2,23.9,2019-10-15,2020-01-20,67.0,44.95,2020-01-20,20.6,2019-10-17,47.68,-32.32,80.0,44.9,47.52,21.65,-28.87
GSS,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,20.98,SUCCESS,24.45,18.5,2020-04-16,2020-07-20,66.0,29.55,2020-06-24,19.4,2020-05-18,40.85,-7.53,48.38,27.65,31.79,20.05,-4.43
GSS,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,33.39,SUCCESS,42.6,27.25,2020-10-13,2021-01-20,69.0,69.65,2021-01-06,33.8,2020-11-26,108.6,1.23,107.37,65.6,96.47,34.7,3.92
