Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
GUJGASLTD,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,20.4447,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GUJGASLTD,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,20.4447,SUCCESS,21.6,16.76,2002-01-16,2002-01-20,3.0,20.4,2002-01-16,19.6,2002-01-18,-0.22,-4.13,3.91,20.31,-0.66,19.79,-3.2
GUJGASLTD,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,22.2,SUCCESS,25.6,20.32,2002-04-12,2002-07-20,70.0,25.48,2002-06-17,19.6,2002-06-28,14.77,-11.71,26.49,24.57,10.68,20.15,-9.23
GUJGASLTD,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,19.018,SUCCESS,21.6,18.45,2002-10-12,2003-01-20,67.0,21.8,2002-12-16,17.08,2002-11-13,14.63,-10.19,24.82,19.15,0.69,17.17,-9.72
GUJGASLTD,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,16.2247,SUCCESS,17.0,15.4,2003-04-09,2003-07-20,70.0,19.0,2003-06-18,14.84,2003-05-20,17.11,-8.53,25.64,18.54,14.27,14.96,-7.79
GUJGASLTD,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,19.7127,SUCCESS,20.36,19.0,2003-10-14,2004-01-20,71.0,26.0,2004-01-01,18.29,2003-10-28,31.89,-7.22,39.11,24.97,26.67,18.69,-5.19
GUJGASLTD,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,18.918,SUCCESS,19.87,16.18,2004-04-13,2004-07-20,70.0,20.8,2004-04-19,15.4,2004-06-04,9.95,-18.6,28.54,20.55,8.63,15.61,-17.49
GUJGASLTD,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,18.9733,SUCCESS,20.0,17.15,2004-10-09,2005-01-20,71.0,25.16,2005-01-10,18.24,2004-10-19,32.61,-3.87,36.47,24.77,30.55,18.46,-2.71
GUJGASLTD,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,31.9707,SUCCESS,36.0,28.2,2005-04-12,2005-07-20,72.0,41.96,2005-05-17,31.92,2005-04-18,31.25,-0.16,31.4,40.36,26.24,32.16,0.59
GUJGASLTD,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,43.3067,SUCCESS,48.4,34.62,2005-10-11,2006-01-20,70.0,59.52,2006-01-13,41.0,2005-10-21,37.44,-5.33,42.76,58.42,34.9,41.74,-3.62
GUJGASLTD,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,53.0293,SUCCESS,56.92,50.08,2006-04-11,2006-07-20,72.0,54.8,2006-04-18,37.36,2006-07-11,3.34,-29.55,32.89,54.61,2.98,37.72,-28.87
GUJGASLTD,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,48.1427,SUCCESS,50.79,46.0,2006-10-12,2007-01-20,69.0,54.96,2006-12-29,44.07,2006-10-18,14.16,-8.46,22.62,51.43,6.83,46.06,-4.33
GUJGASLTD,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,51.6187,SUCCESS,53.6,49.68,2007-04-12,2007-07-20,45.0,64.8,2007-05-07,52.0,2007-04-18,25.54,0.74,24.8,59.89,16.02,53.06,2.79
GUJGASLTD,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,44.9453,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GUJGASLTD,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,44.9453,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
GUJGASLTD,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,44.9453,SUCCESS,48.2,40.2,2009-01-17,2009-01-20,2.0,46.7,2009-01-19,42.2,2009-01-19,3.9,-6.11,10.01,45.65,1.57,44.34,-1.35
GUJGASLTD,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,54.066,SUCCESS,60.4,43.4,2009-04-16,2009-07-20,66.0,70.39,2009-05-26,46.4,2009-04-16,30.19,-14.18,44.37,68.2,26.14,49.85,-7.8
