Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HAVISHA,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-16,15.0,1.7333,SUCCESS,1.85,1.5,2002-04-17,2002-07-20,66.0,4.2,2002-07-05,1.2,2002-04-30,142.31,-30.77,173.08,4.0,130.77,1.3,-25.0
HAVISHA,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-16,15.0,1.5367,SUCCESS,1.95,1.3,2002-10-17,2003-01-20,62.0,3.5,2002-11-22,1.25,2002-11-04,127.77,-18.66,146.42,2.9,88.72,1.35,-12.15
HAVISHA,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,1.12,SUCCESS,1.3,0.95,2003-04-09,2003-07-20,69.0,3.2,2003-07-08,0.8,2003-04-28,185.71,-28.57,214.29,2.75,145.54,0.9,-19.64
HAVISHA,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-14,15.0,1.33,SUCCESS,1.55,1.1,2003-10-15,2004-01-20,65.0,8.1,2004-01-05,1.1,2003-10-30,509.02,-17.29,526.32,6.75,407.52,1.15,-13.53
HAVISHA,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,2.4367,SUCCESS,3.25,2.0,2004-04-13,2004-07-20,70.0,5.25,2004-06-09,2.5,2004-04-17,115.46,2.6,112.86,4.7,92.89,2.65,8.76
HAVISHA,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,3.4767,SUCCESS,4.65,3.15,2004-10-09,2005-01-20,71.0,9.2,2005-01-05,3.05,2004-10-28,164.62,-12.27,176.89,8.65,148.8,3.15,-9.4
HAVISHA,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,5.5,SUCCESS,6.4,4.6,2005-04-12,2005-07-20,5.0,4.6,2005-04-19,3.9,2005-04-18,-16.36,-29.09,12.73,4.4,-20.0,4.1,-25.45
HAVISHA,2005,20-September,2005-09-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2006,20-March,2006-03-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2006,20-September,2006-09-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2007,20-March,2007-03-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2007,20-September,2007-09-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2008,20-March,2008-03-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2008,20-September,2008-09-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2009,20-March,2009-03-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2009,20-September,2009-09-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2010,20-March,2010-03-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2010,20-September,2010-09-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2011,20-March,2011-03-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2011,20-September,2011-09-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2012,20-March,2012-03-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2012,20-September,2012-09-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HAVISHA,2013,20-March,2013-03-20,2018-04-12,2018-04-12,2018-05-03,15.0,1.6967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
