Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HCL-INSYS,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,19.6547,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HCL-INSYS,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,19.6547,SUCCESS,23.95,16.15,2002-01-16,2002-01-20,3.0,21.67,2002-01-18,19.61,2002-01-17,10.25,-0.23,10.48,21.11,7.4,20.23,2.93
HCL-INSYS,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,24.4747,SUCCESS,30.61,22.29,2002-04-12,2002-07-20,70.0,33.48,2002-04-15,20.01,2002-07-16,36.79,-18.24,55.04,32.15,31.36,20.28,-17.14
HCL-INSYS,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,17.95,SUCCESS,19.69,16.4,2002-10-12,2003-01-20,67.0,20.41,2002-12-03,14.89,2002-11-12,13.7,-17.05,30.75,19.29,7.47,15.02,-16.32
HCL-INSYS,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,16.0567,SUCCESS,16.84,15.41,2003-04-09,2003-07-20,70.0,30.04,2003-07-11,15.26,2003-04-11,87.09,-4.96,92.05,28.95,80.3,15.76,-1.85
HCL-INSYS,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,62.3667,SUCCESS,73.9,40.84,2003-10-14,2004-01-20,71.0,108.52,2004-01-09,60.74,2003-10-23,74.0,-2.61,76.61,103.69,66.26,62.47,0.17
HCL-INSYS,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,134.6767,SUCCESS,153.15,118.87,2004-04-13,2004-07-20,70.0,156.12,2004-04-22,77.27,2004-05-17,15.92,-42.63,58.55,151.29,12.34,92.72,-31.15
HCL-INSYS,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,125.5993,SUCCESS,132.74,108.97,2004-10-09,2005-01-20,71.0,168.2,2004-12-01,117.74,2004-10-12,33.92,-6.26,40.18,163.08,29.84,125.44,-0.13
HCL-INSYS,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,160.0433,SUCCESS,172.35,154.53,2005-04-12,2005-07-20,72.0,227.74,2005-07-12,122.12,2005-05-30,42.3,-23.7,65.99,202.88,26.77,146.17,-8.67
HCL-INSYS,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,242.3293,SUCCESS,265.78,224.03,2005-10-11,2006-01-20,70.0,276.38,2005-12-30,221.6,2005-10-17,14.05,-8.55,22.61,274.55,13.3,229.32,-5.37
HCL-INSYS,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,183.572,SUCCESS,200.1,171.47,2006-04-11,2006-07-20,72.0,187.13,2006-04-12,114.91,2006-06-08,1.94,-37.4,39.34,181.33,-1.22,122.93,-33.03
HCL-INSYS,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,143.6373,SUCCESS,152.35,138.34,2006-10-12,2007-01-20,69.0,178.11,2006-11-13,123.83,2006-11-03,24.0,-13.79,37.79,168.7,17.45,124.07,-13.62
