Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HDFCBANK,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,11.2873,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HDFCBANK,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,11.2873,SUCCESS,12.7,10.91,2002-01-16,2002-01-20,3.0,12.45,2002-01-16,11.35,2002-01-17,10.3,0.56,9.75,11.87,5.16,11.55,2.33
HDFCBANK,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,11.528,SUCCESS,12.08,11.14,2002-04-12,2002-07-20,70.0,11.75,2002-06-03,9.99,2002-06-28,1.93,-13.34,15.27,11.47,-0.5,10.08,-12.56
HDFCBANK,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,10.626,SUCCESS,11.25,10.25,2002-10-12,2003-01-20,67.0,11.28,2003-01-20,9.3,2002-10-30,6.15,-12.48,18.63,11.2,5.4,9.4,-11.54
HDFCBANK,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,11.868,SUCCESS,12.49,10.82,2003-04-09,2003-07-20,70.0,15.18,2003-07-08,11.55,2003-04-10,27.91,-2.68,30.59,14.5,22.18,11.73,-1.16
HDFCBANK,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,14.436,SUCCESS,16.26,13.2,2003-10-14,2004-01-20,71.0,20.15,2004-01-15,13.28,2003-11-14,39.58,-8.01,47.59,19.26,33.42,14.88,3.08
HDFCBANK,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,18.6147,SUCCESS,20.0,16.76,2004-04-13,2004-07-20,70.0,19.75,2004-05-05,12.81,2004-05-17,6.1,-31.18,37.28,19.15,2.88,14.0,-24.79
HDFCBANK,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,20.4147,SUCCESS,20.94,19.74,2004-10-09,2005-01-20,71.0,26.55,2005-01-04,19.81,2004-10-14,30.05,-2.96,33.02,26.27,28.68,20.02,-1.93
HDFCBANK,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,27.2507,SUCCESS,30.2,25.4,2005-04-12,2005-07-20,72.0,33.75,2005-07-20,22.4,2005-05-09,23.85,-17.8,41.65,33.2,21.83,26.02,-4.52
HDFCBANK,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,34.6547,SUCCESS,37.0,31.62,2005-10-11,2006-01-20,70.0,38.75,2006-01-06,30.15,2005-10-28,11.82,-13.0,24.82,38.45,10.95,30.34,-12.45
HDFCBANK,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,38.7587,SUCCESS,42.7,36.05,2006-04-11,2006-07-20,72.0,44.75,2006-05-04,30.76,2006-06-14,15.46,-20.64,36.1,44.19,14.01,31.95,-17.57
HDFCBANK,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,45.5513,SUCCESS,48.6,42.66,2006-10-12,2007-01-20,69.0,57.5,2006-11-16,47.4,2006-10-12,26.23,4.06,22.17,57.22,25.62,47.96,5.29
HDFCBANK,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,48.0133,SUCCESS,51.6,44.75,2007-04-12,2007-07-20,45.0,59.21,2007-06-04,47.6,2007-04-12,23.32,-0.86,24.18,58.42,21.67,47.92,-0.19
HDFCBANK,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,50.0887,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HDFCBANK,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,50.0887,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HDFCBANK,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,50.0887,SUCCESS,56.27,45.36,2009-01-17,2009-01-20,2.0,47.73,2009-01-19,45.1,2009-01-20,-4.71,-9.96,5.25,47.06,-6.05,45.63,-8.9
HDFCBANK,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,49.752,SUCCESS,55.75,40.55,2009-04-16,2009-07-20,66.0,79.2,2009-06-17,51.74,2009-04-21,59.19,4.0,55.19,77.95,56.68,53.31,7.15
HDFCBANK,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,82.3893,SUCCESS,86.75,75.8,2009-10-16,2010-01-20,65.0,91.95,2009-12-08,78.52,2009-10-29,11.6,-4.7,16.3,91.67,11.26,80.03,-2.86
HDFCBANK,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,96.386,SUCCESS,99.5,81.45,2010-04-14,2010-07-20,69.0,105.55,2010-07-14,89.25,2010-05-25,9.51,-7.4,16.91,104.32,8.23,90.19,-6.43
HDFCBANK,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,123.0613,SUCCESS,126.13,119.5,2010-10-09,2011-01-20,72.0,127.0,2010-10-18,101.5,2011-01-14,3.2,-17.52,20.72,122.07,-0.81,102.48,-16.72
HDFCBANK,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,114.772,SUCCESS,120.5,107.11,2011-04-09,2011-07-20,70.0,129.75,2011-07-19,110.39,2011-05-04,13.05,-3.82,16.87,128.77,12.2,111.03,-3.26
HDFCBANK,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,115.4073,SUCCESS,124.42,109.14,2011-10-12,2012-01-20,70.0,124.25,2011-10-24,100.07,2011-12-19,7.66,-13.29,20.95,122.97,6.55,101.5,-12.05
HDFCBANK,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,129.5267,SUCCESS,134.1,123.25,2012-04-12,2012-07-20,72.0,148.45,2012-07-11,120.55,2012-05-23,14.61,-6.93,21.54,147.35,13.76,121.8,-5.97
HDFCBANK,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,156.3353,SUCCESS,159.73,126.27,2012-10-12,2013-01-20,67.0,176.38,2012-11-30,155.65,2012-10-15,12.82,-0.44,13.26,175.99,12.57,157.03,0.44
HDFCBANK,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,155.3007,SUCCESS,160.5,150.64,2013-04-12,2013-07-20,69.0,181.83,2013-05-30,155.0,2013-06-26,17.08,-0.19,17.28,181.29,16.73,155.72,0.27
HDFCBANK,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,158.17,SUCCESS,171.62,146.93,2013-10-12,2014-01-20,68.0,179.35,2013-12-09,154.18,2013-11-11,13.39,-2.52,15.91,174.18,10.12,158.43,0.16
HDFCBANK,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,184.5913,SUCCESS,190.19,180.02,2014-04-10,2014-07-20,44.0,214.0,2014-06-13,176.83,2014-04-17,15.93,-4.2,20.14,209.97,13.75,178.9,-3.08
HDFCBANK,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,266.2787,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HDFCBANK,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,266.2787,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HDFCBANK,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,266.2787,SUCCESS,272.57,259.25,2016-01-16,2016-01-20,3.0,277.0,2016-01-20,251.98,2016-01-20,4.03,-5.37,9.4,258.95,-2.75,254.58,-4.39
HDFCBANK,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,264.7947,SUCCESS,269.73,258.07,2016-04-13,2016-07-20,67.0,309.63,2016-07-18,267.38,2016-04-13,16.93,0.98,15.96,308.05,16.34,270.44,2.13
HDFCBANK,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,322.514,SUCCESS,329.62,316.85,2016-10-11,2017-01-20,71.0,322.25,2016-11-15,289.5,2016-11-25,-0.08,-10.24,10.15,319.64,-0.89,291.38,-9.65
HDFCBANK,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,358.464,SUCCESS,369.99,351.02,2017-04-11,2017-07-20,70.0,437.0,2017-07-10,357.07,2017-04-17,21.91,-0.39,22.3,427.73,19.32,359.2,0.21
HDFCBANK,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,451.246,SUCCESS,465.37,440.83,2017-10-12,2018-01-20,70.0,489.98,2018-01-19,439.47,2017-10-26,8.58,-2.61,11.19,488.05,8.16,447.77,-0.77
HDFCBANK,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,473.692,SUCCESS,485.75,458.38,2018-04-12,2018-07-20,71.0,555.0,2018-07-18,465.08,2018-04-23,17.16,-1.82,18.98,547.27,15.53,480.19,1.37
HDFCBANK,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,492.6793,SUCCESS,513.05,477.55,2018-10-13,2019-01-20,66.0,539.85,2018-12-19,471.25,2018-10-31,9.57,-4.35,13.92,537.03,9.0,477.94,-2.99
HDFCBANK,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,573.2013,SUCCESS,583.0,557.75,2019-04-11,2019-07-20,67.0,625.83,2019-07-03,559.24,2019-04-11,9.18,-2.44,11.62,623.75,8.82,561.33,-2.07
HDFCBANK,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,611.5133,SUCCESS,641.35,552.7,2019-10-15,2020-01-20,67.0,652.75,2019-12-19,603.43,2019-10-15,6.74,-1.32,8.07,651.2,6.49,610.0,-0.25
HDFCBANK,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,429.6747,SUCCESS,494.33,369.38,2020-04-16,2020-07-20,66.0,576.45,2020-07-20,413.05,2020-05-19,34.16,-3.87,38.03,566.53,31.85,415.33,-3.34
HDFCBANK,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,552.2807,SUCCESS,621.38,512.5,2020-10-13,2021-01-20,69.0,755.83,2021-01-19,582.0,2020-10-15,36.86,5.38,31.47,751.93,36.15,584.63,5.86
HDFCBANK,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,729.9307,SUCCESS,781.28,676.5,2021-04-14,2021-07-20,66.0,772.68,2021-07-07,685.53,2021-04-22,5.86,-6.08,11.94,769.75,5.46,693.43,-5.0
HDFCBANK,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,794.6013,SUCCESS,817.75,764.48,2021-10-09,2022-01-20,71.0,862.5,2021-10-18,707.05,2021-12-20,8.54,-11.02,19.56,844.35,6.26,712.83,-10.29
HDFCBANK,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,750.6247,SUCCESS,861.05,700.8,2022-04-09,2022-07-20,70.0,755.0,2022-04-11,635.8,2022-06-17,0.58,-15.3,15.88,748.08,-0.34,640.65,-14.65
HDFCBANK,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,718.4893,SUCCESS,762.0,682.5,2022-10-12,2023-01-20,71.0,834.7,2022-12-15,692.0,2022-10-13,16.17,-3.69,19.86,831.13,15.68,696.8,-3.02
HDFCBANK,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,804.0947,SUCCESS,844.1,772.7,2023-04-13,2023-07-20,68.0,878.75,2023-07-03,789.5,2023-06-15,9.28,-1.82,11.1,863.9,7.44,791.03,-1.62
HDFCBANK,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,766.0133,SUCCESS,799.5,744.63,2023-10-12,2024-01-20,70.0,860.7,2023-12-28,730.13,2023-10-26,12.36,-4.68,17.05,854.63,11.57,731.7,-4.48
HDFCBANK,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,743.1427,SUCCESS,778.63,710.63,2024-04-13,2024-07-20,66.0,897.0,2024-07-03,713.4,2024-05-10,20.7,-4.0,24.71,884.33,19.0,718.95,-3.26
HDFCBANK,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,853.252,SUCCESS,894.0,806.5,2024-10-12,2025-01-20,68.0,940.0,2024-12-09,812.15,2025-01-13,10.17,-4.82,14.98,935.88,9.68,815.43,-4.43
