Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HECPROJECT,2022,20-March,2022-03-20,2022-11-21,2022-11-21,2023-01-27,15.0,40.9967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HECPROJECT,2022,20-September,2022-09-20,2022-11-21,2022-11-21,2023-01-27,15.0,40.9967,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HECPROJECT,2023,20-March,2023-03-20,2023-04-21,2023-04-21,2023-05-12,15.0,32.8567,SUCCESS,37.85,29.5,2023-05-13,2023-07-20,48.0,42.6,2023-05-16,33.35,2023-07-11,29.65,1.5,28.15,41.1,25.09,33.65,2.41
HECPROJECT,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,46.2333,SUCCESS,51.6,43.6,2023-10-12,2024-01-20,70.0,105.85,2023-12-28,44.95,2023-10-26,128.95,-2.78,131.72,100.85,118.13,46.05,-0.4
HECPROJECT,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,78.1867,SUCCESS,103.5,66.7,2024-04-13,2024-07-20,66.0,138.42,2024-07-15,79.1,2024-06-05,77.04,1.17,75.87,138.42,77.04,80.75,3.28
HECPROJECT,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,104.224,SUCCESS,124.03,89.1,2024-10-12,2025-01-20,68.0,168.53,2024-11-08,92.52,2024-10-28,61.7,-11.23,72.93,160.51,54.0,94.52,-9.31
HECPROJECT,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,92.5767,SUCCESS,107.64,82.01,2025-04-12,2025-07-20,67.0,184.1,2025-06-25,97.0,2025-05-07,98.86,4.78,94.08,183.06,97.74,99.93,7.94
HECPROJECT,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,143.6247,SUCCESS,157.7,129.2,2025-10-14,2026-01-20,67.0,155.0,2025-11-13,105.21,2026-01-12,7.92,-26.75,34.67,149.0,3.74,106.75,-25.67
HECPROJECT,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,114.5947,SUCCESS,160.5,92.1,2026-04-16,2026-07-20,65.0,153.99,2026-04-16,108.0,2026-05-13,34.38,-5.75,40.13,141.86,23.79,114.74,0.13
HECPROJECT,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
