Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HEG,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-15,15.0,5.4613,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HEG,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-15,15.0,5.4613,SUCCESS,5.7,5.12,2002-01-16,2002-01-20,3.0,5.45,2002-01-16,5.3,2002-01-16,-0.21,-2.95,2.75,5.33,-2.4,5.3,-2.95
HEG,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,5.2387,SUCCESS,5.5,5.15,2002-04-12,2002-07-20,70.0,9.0,2002-07-08,5.22,2002-04-12,71.8,-0.36,72.16,7.92,51.18,5.26,0.41
HEG,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-11,15.0,5.374,SUCCESS,6.0,4.28,2002-10-12,2003-01-20,67.0,6.07,2003-01-20,4.4,2002-12-10,12.95,-18.12,31.08,5.94,10.53,4.41,-17.94
HEG,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-08,15.0,5.4067,SUCCESS,6.04,5.2,2003-04-09,2003-07-20,70.0,12.0,2003-07-02,5.0,2003-04-21,121.95,-7.52,129.47,11.43,111.41,5.14,-4.93
HEG,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,10.6913,SUCCESS,12.68,8.7,2003-10-14,2004-01-20,71.0,23.98,2003-12-26,10.26,2003-10-23,124.29,-4.03,128.33,23.47,119.52,10.34,-3.29
HEG,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,17.6513,SUCCESS,19.2,16.12,2004-04-13,2004-07-20,70.0,19.77,2004-04-21,12.6,2004-06-23,12.0,-28.62,40.62,19.41,9.96,12.67,-28.22
HEG,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,15.978,SUCCESS,17.2,15.6,2004-10-09,2005-01-20,71.0,21.68,2004-12-28,14.81,2004-11-10,35.69,-7.31,43.0,20.13,25.99,14.88,-6.87
HEG,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,28.5373,SUCCESS,30.77,27.17,2005-04-12,2005-07-20,72.0,31.2,2005-06-08,23.2,2005-05-02,9.33,-18.7,28.03,29.97,5.02,24.58,-13.87
HEG,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,33.586,SUCCESS,35.17,29.0,2005-10-11,2006-01-20,70.0,36.8,2005-11-29,29.71,2006-01-19,9.57,-11.54,21.11,35.65,6.15,29.8,-11.27
HEG,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,34.6627,SUCCESS,39.0,31.83,2006-04-11,2006-07-20,72.0,41.38,2006-05-02,18.6,2006-06-14,19.38,-46.34,65.72,40.02,15.46,19.97,-42.39
HEG,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,26.7867,SUCCESS,29.8,23.72,2006-10-12,2007-01-20,69.0,40.95,2006-11-22,26.72,2006-10-18,52.87,-0.25,53.12,36.44,36.04,26.91,0.46
HEG,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,33.488,SUCCESS,36.4,32.23,2007-04-12,2007-07-20,45.0,39.68,2007-04-27,32.2,2007-04-12,18.49,-3.85,22.34,38.32,14.43,32.31,-3.52
HEG,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,22.6347,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HEG,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,22.6347,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HEG,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,22.6347,SUCCESS,25.7,20.82,2009-01-17,2009-01-20,2.0,23.39,2009-01-19,22.21,2009-01-20,3.34,-1.88,5.21,23.18,2.41,22.43,-0.9
HEG,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,20.9307,SUCCESS,25.4,18.8,2009-04-16,2009-07-20,66.0,44.88,2009-07-16,22.5,2009-04-21,114.42,7.5,106.92,43.59,108.26,22.86,9.22
HEG,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,52.4267,SUCCESS,55.32,50.61,2009-10-16,2010-01-20,65.0,82.47,2010-01-06,48.17,2009-11-04,57.31,-8.12,65.42,79.69,52.0,49.27,-6.02
HEG,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,70.2053,SUCCESS,78.0,64.21,2010-04-14,2010-07-20,69.0,75.54,2010-04-26,60.26,2010-06-07,7.6,-14.17,21.76,74.7,6.4,61.82,-11.94
HEG,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,61.0873,SUCCESS,65.2,59.42,2010-10-09,2011-01-20,72.0,62.98,2010-10-11,42.48,2011-01-20,3.1,-30.46,33.56,61.82,1.2,43.04,-29.54
HEG,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,44.4453,SUCCESS,51.76,41.02,2011-04-09,2011-07-20,70.0,52.59,2011-06-15,44.02,2011-05-02,18.33,-0.96,19.28,50.78,14.25,44.35,-0.21
HEG,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,42.9787,SUCCESS,44.79,40.62,2011-10-12,2012-01-20,70.0,45.8,2011-11-03,28.08,2011-12-23,6.56,-34.67,41.23,43.41,1.0,28.87,-32.83
HEG,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,44.1987,SUCCESS,49.0,42.21,2012-04-12,2012-07-20,72.0,47.97,2012-04-20,34.13,2012-05-29,8.53,-22.78,31.31,46.94,6.2,39.16,-11.4
HEG,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,42.808,SUCCESS,44.7,38.75,2012-10-12,2013-01-20,67.0,52.56,2012-12-05,42.0,2012-10-15,22.78,-1.89,24.67,49.96,16.71,42.86,0.12
HEG,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,34.272,SUCCESS,36.4,32.4,2013-04-12,2013-07-20,69.0,40.88,2013-05-07,30.8,2013-06-25,19.28,-10.13,29.41,39.58,15.49,31.34,-8.56
HEG,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,31.4007,SUCCESS,35.2,30.31,2013-10-12,2014-01-20,68.0,42.58,2014-01-01,31.73,2013-10-18,35.6,1.05,34.55,41.33,31.62,32.71,4.17
HEG,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,41.338,SUCCESS,48.18,39.42,2014-04-10,2014-07-20,44.0,60.2,2014-06-10,43.2,2014-05-13,45.63,4.5,41.12,57.62,39.39,43.42,5.04
HEG,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,33.8,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HEG,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,33.8,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HEG,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,33.8,SUCCESS,37.13,30.03,2016-01-16,2016-01-20,3.0,30.6,2016-01-19,28.19,2016-01-20,-9.47,-16.6,7.13,29.92,-11.48,28.69,-15.12
HEG,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,28.2513,SUCCESS,30.36,27.0,2016-04-13,2016-07-20,67.0,38.72,2016-07-19,28.8,2016-05-30,37.06,1.94,35.11,37.64,33.23,29.86,5.69
HEG,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,36.4853,SUCCESS,40.36,34.1,2016-10-11,2017-01-20,71.0,39.0,2017-01-19,28.89,2016-11-21,6.89,-20.82,27.71,37.57,2.97,29.26,-19.8
HEG,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,46.7147,SUCCESS,56.87,42.44,2017-04-11,2017-07-20,70.0,90.88,2017-07-20,46.5,2017-05-25,94.54,-0.46,95.0,90.88,94.54,48.11,2.99
HEG,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,209.0767,SUCCESS,279.0,172.0,2017-10-12,2018-01-20,70.0,628.86,2018-01-16,233.0,2017-10-23,200.78,11.44,189.34,614.76,194.04,245.74,17.54
HEG,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,615.6807,SUCCESS,667.8,550.6,2018-04-12,2018-07-20,71.0,829.0,2018-07-20,512.2,2018-04-19,34.65,-16.81,51.46,824.56,33.93,526.86,-14.43
HEG,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,720.2567,SUCCESS,891.0,596.22,2018-10-13,2019-01-20,66.0,991.0,2018-10-16,696.0,2018-12-26,37.59,-3.37,40.96,949.3,31.8,708.48,-1.64
HEG,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,413.2873,SUCCESS,439.6,394.42,2019-04-11,2019-07-20,67.0,431.89,2019-04-15,199.22,2019-07-19,4.5,-51.8,56.3,421.61,2.01,201.6,-51.22
HEG,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,204.0347,SUCCESS,253.6,171.6,2019-10-15,2020-01-20,67.0,234.18,2019-11-28,166.25,2019-10-15,14.77,-18.52,33.29,229.29,12.38,175.98,-13.75
HEG,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,104.156,SUCCESS,142.18,81.92,2020-04-16,2020-07-20,66.0,204.0,2020-06-08,144.07,2020-07-17,95.86,38.32,57.54,199.66,91.69,145.2,39.41
HEG,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,146.6593,SUCCESS,156.6,139.25,2020-10-13,2021-01-20,69.0,213.98,2021-01-12,131.8,2020-11-02,45.9,-10.13,56.03,209.23,42.66,132.63,-9.57
HEG,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,350.7393,SUCCESS,516.0,281.73,2021-04-14,2021-07-20,66.0,506.0,2021-05-25,385.01,2021-06-18,44.27,9.77,34.5,482.75,37.64,399.95,14.03
HEG,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,460.912,SUCCESS,525.8,425.0,2021-10-09,2022-01-20,71.0,512.0,2021-10-19,302.61,2021-12-21,11.08,-34.35,45.43,502.67,9.06,307.3,-33.33
HEG,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,271.6673,SUCCESS,295.0,249.25,2022-04-09,2022-07-20,70.0,282.29,2022-04-11,178.16,2022-06-20,3.91,-34.42,38.33,275.44,1.39,180.12,-33.7
HEG,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,218.66,SUCCESS,239.0,206.8,2022-10-12,2023-01-20,71.0,229.4,2022-10-13,186.52,2022-12-26,4.91,-14.7,19.61,221.79,1.43,188.3,-13.88
HEG,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,191.2093,SUCCESS,205.29,183.6,2023-04-13,2023-07-20,68.0,349.33,2023-06-20,200.22,2023-04-13,82.7,4.71,77.98,338.8,77.19,205.0,7.21
HEG,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,348.6547,SUCCESS,364.8,339.05,2023-10-12,2024-01-20,70.0,393.16,2023-12-28,292.38,2023-10-26,12.76,-16.14,28.91,385.56,10.59,307.58,-11.78
HEG,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,406.038,SUCCESS,489.8,354.2,2024-04-13,2024-07-20,66.0,548.6,2024-05-22,385.49,2024-06-05,35.11,-5.06,40.17,537.4,32.35,397.52,-2.1
HEG,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,478.012,SUCCESS,514.8,437.46,2024-10-12,2025-01-20,68.0,619.5,2024-12-05,395.15,2024-11-14,29.6,-17.33,46.93,597.45,24.99,405.15,-15.24
HEG,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,466.8333,SUCCESS,516.0,406.1,2025-04-12,2025-07-20,67.0,563.0,2025-07-18,416.05,2025-05-09,20.6,-10.88,31.48,550.45,17.91,424.9,-8.98
HEG,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,516.43,SUCCESS,551.2,501.1,2025-10-14,2026-01-20,67.0,672.0,2025-12-31,490.95,2025-11-24,30.12,-4.93,35.06,637.5,23.44,496.9,-3.78
HEG,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,542.1867,SUCCESS,593.4,470.8,2026-04-16,2026-07-20,65.0,690.0,2026-04-29,181.76,2026-07-09,27.26,-66.48,93.74,668.4,23.28,183.6,-66.14
