Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HGS,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,138.3133,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HGS,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,138.3133,SUCCESS,166.75,102.7,2009-01-17,2009-01-20,2.0,145.0,2009-01-20,125.5,2009-01-20,4.83,-9.26,14.1,138.5,0.13,131.9,-4.64
HGS,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,122.1167,SUCCESS,145.05,102.0,2009-04-16,2009-07-20,65.0,355.0,2009-07-17,121.7,2009-04-29,190.71,-0.34,191.05,351.8,188.09,123.8,1.38
HGS,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,500.52,SUCCESS,547.0,470.0,2009-10-16,2010-01-20,65.0,604.5,2009-10-27,444.1,2009-12-17,20.77,-11.27,32.05,563.7,12.62,449.75,-10.14
HGS,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,457.0,SUCCESS,487.5,418.1,2010-04-14,2010-07-20,69.0,520.0,2010-07-20,401.15,2010-05-26,13.79,-12.22,26.01,515.05,12.7,405.2,-11.33
HGS,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,426.4067,SUCCESS,445.0,412.0,2010-10-09,2011-01-20,72.0,434.7,2010-10-14,343.5,2010-11-29,1.94,-19.44,21.39,427.85,0.34,353.6,-17.07
HGS,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,358.6333,SUCCESS,382.0,332.0,2011-04-09,2011-07-20,70.0,434.0,2011-07-19,351.1,2011-04-18,21.01,-2.1,23.12,426.25,18.85,366.15,2.1
HGS,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,326.8867,SUCCESS,342.95,312.2,2011-10-12,2012-01-20,70.0,360.0,2011-11-04,283.05,2012-01-07,10.13,-13.41,23.54,353.0,7.99,286.75,-12.28
HGS,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,311.69,SUCCESS,329.7,291.0,2012-04-12,2012-07-20,72.0,357.0,2012-07-20,285.0,2012-05-21,14.54,-8.56,23.1,355.4,14.02,290.55,-6.78
HGS,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,316.0333,SUCCESS,343.0,297.35,2012-10-12,2013-01-20,67.0,338.0,2012-10-30,296.95,2012-12-24,6.95,-6.04,12.99,326.6,3.34,297.65,-5.82
HGS,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,267.61,SUCCESS,280.0,250.0,2013-04-12,2013-07-20,69.0,314.95,2013-06-17,251.25,2013-04-16,17.69,-6.11,23.8,309.1,15.5,255.2,-4.64
HGS,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,331.7533,SUCCESS,458.9,282.0,2013-10-12,2014-01-20,68.0,610.0,2014-01-13,365.4,2013-10-22,83.87,10.14,73.73,595.85,79.61,371.25,11.91
HGS,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,536.17,SUCCESS,567.0,516.05,2014-04-10,2014-07-20,44.0,574.85,2014-05-08,472.0,2014-05-27,7.21,-11.97,19.18,543.75,1.41,477.45,-10.95
HGS,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,508.7667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HGS,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,508.7667,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HGS,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,508.7667,SUCCESS,544.45,470.5,2016-01-16,2016-01-20,3.0,470.05,2016-01-18,440.0,2016-01-20,-7.61,-13.52,5.91,460.8,-9.43,442.45,-13.03
HGS,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,389.46,SUCCESS,405.0,375.5,2016-04-13,2016-07-20,67.0,470.0,2016-05-26,384.0,2016-05-24,20.68,-1.4,22.08,431.65,10.83,388.4,-0.27
HGS,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,544.9867,SUCCESS,575.0,507.0,2016-10-11,2017-01-20,71.0,595.0,2016-10-24,481.35,2016-11-21,9.18,-11.68,20.85,581.3,6.66,483.75,-11.24
HGS,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,588.8067,SUCCESS,607.0,572.6,2017-04-11,2017-07-20,70.0,598.9,2017-07-10,505.0,2017-05-23,1.71,-14.23,15.95,579.2,-1.63,510.35,-13.32
HGS,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,560.1133,SUCCESS,596.45,511.55,2017-10-12,2018-01-20,70.0,1014.7,2018-01-15,554.05,2017-10-12,81.16,-1.08,82.24,986.25,76.08,567.5,1.32
HGS,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,829.3533,SUCCESS,933.7,751.0,2018-04-12,2018-07-20,71.0,999.0,2018-04-23,757.0,2018-07-19,20.46,-8.72,29.18,974.75,17.53,770.45,-7.1
HGS,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,676.1967,SUCCESS,816.0,591.2,2018-10-13,2019-01-20,66.0,737.4,2018-11-07,621.3,2018-12-11,9.05,-8.12,17.17,727.0,7.51,636.75,-5.83
HGS,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,637.15,SUCCESS,679.7,605.55,2019-04-11,2019-07-20,67.0,679.0,2019-04-11,600.1,2019-05-24,6.57,-5.81,12.38,665.5,4.45,619.4,-2.79
HGS,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,575.6133,SUCCESS,616.0,543.9,2019-10-15,2020-01-20,67.0,669.9,2020-01-20,545.5,2019-10-16,16.38,-5.23,21.61,659.55,14.58,549.35,-4.56
HGS,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,496.6767,SUCCESS,560.0,412.0,2020-04-16,2020-07-20,66.0,734.0,2020-07-16,491.05,2020-04-16,47.78,-1.13,48.92,726.75,46.32,522.9,5.28
HGS,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,709.26,SUCCESS,774.9,685.15,2020-10-13,2021-01-20,70.0,1298.95,2021-01-14,651.05,2020-10-29,83.14,-8.21,91.35,1238.1,74.56,654.35,-7.74
HGS,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,1663.55,SUCCESS,1890.0,1205.65,2021-04-14,2021-07-20,66.0,3262.85,2021-07-19,1585.0,2021-04-26,96.14,-4.72,100.86,3123.95,87.79,1604.6,-3.54
HGS,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,2858.5333,SUCCESS,2999.95,2715.0,2021-10-09,2022-01-20,71.0,3920.0,2022-01-04,2604.0,2021-10-26,37.13,-8.9,46.04,3634.6,27.15,2656.1,-7.08
HGS,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,1090.0033,SUCCESS,1179.95,1020.0,2022-04-09,2022-07-20,70.0,1393.0,2022-07-19,846.0,2022-05-13,27.8,-22.39,50.18,1377.05,26.33,850.75,-21.95
HGS,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,1300.7367,SUCCESS,1390.0,1206.6,2022-10-12,2023-01-20,71.0,1480.0,2022-12-05,1180.0,2022-11-07,13.78,-9.28,23.06,1418.3,9.04,1189.3,-8.57
HGS,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,1039.27,SUCCESS,1090.0,994.1,2023-04-13,2023-07-20,68.0,1174.0,2023-05-22,1010.65,2023-04-26,12.96,-2.75,15.72,1164.2,12.02,1017.45,-2.1
HGS,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,1000.5633,SUCCESS,1020.0,982.6,2023-10-12,2024-01-20,70.0,1040.0,2023-11-30,924.0,2023-11-01,3.94,-7.65,11.59,1019.65,1.91,932.25,-6.83
HGS,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,810.0933,SUCCESS,884.1,718.8,2024-04-13,2024-07-20,66.0,932.0,2024-07-09,761.35,2024-06-04,15.05,-6.02,21.07,916.7,13.16,782.45,-3.41
HGS,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,812.2167,SUCCESS,920.0,757.0,2024-10-12,2025-01-20,68.0,800.9,2024-10-17,592.95,2024-11-25,-1.39,-27.0,25.6,786.95,-3.11,599.85,-26.15
HGS,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,478.6233,SUCCESS,544.35,437.0,2025-04-12,2025-07-20,67.0,628.7,2025-07-17,463.35,2025-04-15,31.36,-3.19,34.55,614.05,28.3,470.0,-1.8
HGS,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,501.9067,SUCCESS,530.0,484.75,2025-10-14,2026-01-20,67.0,545.0,2025-10-27,410.0,2026-01-20,8.59,-18.31,26.9,534.0,6.39,411.8,-17.95
HGS,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,373.3967,SUCCESS,415.0,344.25,2026-04-16,2026-07-20,65.0,477.6,2026-07-14,395.0,2026-06-03,27.91,5.79,22.12,453.6,21.48,398.75,6.79
HGS,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
