Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HIKAL,2001,20-March,2001-03-20,2001-12-26,2001-12-26,2002-01-16,15.0,6.846,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HIKAL,2001,20-September,2001-09-20,2001-12-26,2001-12-26,2002-01-16,15.0,6.846,SUCCESS,7.47,6.53,2002-01-17,2002-01-20,2.0,6.88,2002-01-18,6.6,2002-01-17,0.5,-3.59,4.09,6.66,-2.72,6.62,-3.3
HIKAL,2002,20-March,2002-03-20,2002-03-20,2002-03-20,2002-04-11,15.0,9.9067,SUCCESS,10.62,9.26,2002-04-12,2002-07-20,70.0,15.77,2002-05-15,10.83,2002-04-12,59.19,9.32,49.87,15.26,54.04,11.01,11.14
HIKAL,2002,20-September,2002-09-20,2002-09-20,2002-09-20,2002-10-24,15.0,10.918,SUCCESS,11.76,10.45,2002-10-25,2003-01-20,51.0,13.46,2002-12-26,10.27,2002-11-13,23.28,-5.94,29.22,13.25,21.36,10.27,-5.94
HIKAL,2003,20-March,2003-03-20,2003-03-20,2003-03-20,2003-04-10,15.0,9.214,SUCCESS,9.99,8.4,2003-04-11,2003-07-20,66.0,28.19,2003-07-10,8.89,2003-04-21,205.95,-3.52,209.46,26.26,185.0,9.03,-2.0
HIKAL,2003,20-September,2003-09-20,2003-09-22,2003-09-22,2003-10-13,15.0,46.774,SUCCESS,55.26,35.48,2003-10-14,2004-01-20,71.0,50.27,2003-11-06,38.67,2003-11-15,7.47,-17.33,24.8,48.81,4.35,40.38,-13.67
HIKAL,2004,20-March,2004-03-20,2004-03-22,2004-03-22,2004-04-12,15.0,42.9447,SUCCESS,46.0,37.33,2004-04-13,2004-07-20,69.0,47.73,2004-04-16,32.27,2004-05-18,11.14,-24.86,36.0,45.49,5.93,33.11,-22.9
HIKAL,2004,20-September,2004-09-20,2004-09-20,2004-09-20,2004-10-08,15.0,52.5733,SUCCESS,54.67,48.69,2004-10-09,2005-01-20,71.0,62.0,2004-10-09,48.68,2005-01-12,17.93,-7.41,25.34,58.62,11.5,49.33,-6.17
HIKAL,2005,20-March,2005-03-20,2005-03-21,2005-03-21,2005-04-11,15.0,50.472,SUCCESS,53.3,48.05,2005-04-12,2005-07-20,72.0,82.0,2005-06-15,45.6,2005-04-28,62.47,-9.65,72.12,80.29,59.08,48.01,-4.88
HIKAL,2005,20-September,2005-09-20,2005-09-20,2005-09-20,2005-10-10,15.0,85.448,SUCCESS,90.65,79.73,2005-10-11,2006-01-20,70.0,86.4,2005-10-17,71.33,2005-10-28,1.11,-16.52,17.64,85.11,-0.4,74.55,-12.75
HIKAL,2006,20-March,2006-03-20,2006-03-20,2006-03-20,2006-04-10,15.0,78.3693,SUCCESS,84.0,71.37,2006-04-11,2006-07-20,71.0,93.05,2006-04-20,38.27,2006-06-13,18.73,-51.17,69.9,82.67,5.49,39.53,-49.56
HIKAL,2006,20-September,2006-09-20,2006-09-20,2006-09-20,2006-10-11,15.0,47.5413,SUCCESS,56.8,41.9,2006-10-12,2007-01-20,69.0,59.06,2006-10-30,46.67,2006-12-13,24.23,-1.83,26.06,57.31,20.55,46.93,-1.29
HIKAL,2007,20-March,2007-03-20,2007-03-20,2007-03-20,2007-04-11,15.0,48.302,SUCCESS,54.09,44.45,2007-04-12,2007-07-20,45.0,60.27,2007-05-21,48.74,2007-04-23,24.78,0.91,23.87,58.62,21.36,49.81,3.12
HIKAL,2007,20-September,2007-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,30.8227,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HIKAL,2008,20-March,2008-03-20,2008-12-26,2008-12-26,2009-01-16,15.0,30.8227,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HIKAL,2008,20-September,2008-09-20,2008-12-26,2008-12-26,2009-01-16,15.0,30.8227,SUCCESS,34.65,26.02,2009-01-17,2009-01-20,2.0,28.65,2009-01-20,26.4,2009-01-20,-7.05,-14.35,7.3,27.33,-11.33,26.78,-13.12
HIKAL,2009,20-March,2009-03-20,2009-03-20,2009-03-20,2009-04-15,15.0,22.4653,SUCCESS,26.8,20.17,2009-04-16,2009-07-20,65.0,41.33,2009-05-28,23.33,2009-04-29,83.97,3.85,80.12,39.24,74.67,23.67,5.36
HIKAL,2009,20-September,2009-09-20,2009-09-22,2009-09-22,2009-10-15,15.0,45.516,SUCCESS,49.27,43.87,2009-10-16,2010-01-20,65.0,64.13,2009-11-24,42.93,2009-10-28,40.9,-5.68,46.58,58.82,29.23,43.96,-3.42
HIKAL,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,50.4473,SUCCESS,56.53,48.81,2010-04-14,2010-07-20,69.0,60.15,2010-07-12,45.33,2010-07-20,19.23,-10.14,29.38,56.63,12.26,46.95,-6.93
HIKAL,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,59.5073,SUCCESS,63.33,57.61,2010-10-09,2011-01-20,72.0,61.33,2010-10-13,43.56,2010-11-26,3.06,-26.8,29.86,60.4,1.5,45.4,-23.71
HIKAL,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,39.004,SUCCESS,44.39,36.0,2011-04-09,2011-07-20,70.0,45.31,2011-05-02,36.03,2011-06-24,16.17,-7.62,23.79,42.97,10.17,37.1,-4.88
HIKAL,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,36.464,SUCCESS,38.4,35.13,2011-10-12,2012-01-20,70.0,40.93,2011-11-01,29.87,2011-12-22,12.25,-18.08,30.33,39.13,7.31,30.42,-16.58
HIKAL,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,36.6127,SUCCESS,38.33,34.21,2012-04-12,2012-07-20,72.0,45.33,2012-06-29,34.95,2012-06-05,23.81,-4.54,28.35,43.75,19.49,35.03,-4.32
HIKAL,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,55.9807,SUCCESS,59.28,50.0,2012-10-12,2013-01-20,67.0,68.93,2012-12-31,54.67,2012-11-07,23.13,-2.34,25.47,67.79,21.1,56.67,1.23
HIKAL,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,52.05,SUCCESS,54.93,47.5,2013-04-12,2013-07-20,69.0,59.47,2013-05-15,50.81,2013-04-16,14.26,-2.38,16.64,58.19,11.8,52.01,-0.08
HIKAL,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,58.4427,SUCCESS,60.53,56.01,2013-10-12,2014-01-20,68.0,64.53,2013-11-05,57.35,2013-11-08,10.42,-1.87,12.29,63.85,9.25,58.69,0.42
HIKAL,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,63.316,SUCCESS,71.07,61.2,2014-04-10,2014-07-20,44.0,72.51,2014-05-02,57.75,2014-05-16,14.52,-8.79,23.31,69.33,9.5,58.86,-7.04
HIKAL,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,108.662,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HIKAL,2015,20-March,2015-03-20,2015-12-28,2015-12-28,2016-01-15,15.0,108.662,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
HIKAL,2015,20-September,2015-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,108.662,SUCCESS,118.47,95.33,2016-01-16,2016-01-20,3.0,99.63,2016-01-18,90.0,2016-01-20,-8.31,-17.17,8.86,97.23,-10.52,96.0,-11.65
HIKAL,2016,20-March,2016-03-20,2016-03-21,2016-03-21,2016-04-12,15.0,84.7547,SUCCESS,92.63,77.4,2016-04-13,2016-07-20,67.0,121.33,2016-07-04,88.0,2016-04-13,43.15,3.83,39.33,117.67,38.84,89.97,6.15
HIKAL,2016,20-September,2016-09-20,2016-09-20,2016-09-20,2016-10-10,15.0,139.3227,SUCCESS,152.67,125.53,2016-10-11,2017-01-20,71.0,171.2,2017-01-10,126.67,2016-11-09,22.88,-9.08,31.96,161.07,15.61,136.63,-1.93
HIKAL,2017,20-March,2017-03-20,2017-03-20,2017-03-20,2017-04-10,15.0,137.1253,SUCCESS,146.0,127.53,2017-04-11,2017-07-20,70.0,155.1,2017-05-02,132.83,2017-06-30,13.11,-3.13,16.24,149.53,9.05,134.37,-2.01
HIKAL,2017,20-September,2017-09-20,2017-09-20,2017-09-20,2017-10-11,15.0,147.0113,SUCCESS,162.47,137.47,2017-10-12,2018-01-20,70.0,176.0,2017-10-23,149.4,2017-12-18,19.72,1.62,18.09,173.27,17.86,150.7,2.51
HIKAL,2018,20-March,2018-03-20,2018-03-20,2018-03-20,2018-04-11,15.0,143.062,SUCCESS,159.87,134.37,2018-04-12,2018-07-20,71.0,177.0,2018-04-23,135.45,2018-07-17,23.72,-5.32,29.04,173.0,20.93,136.9,-4.31
HIKAL,2018,20-September,2018-09-20,2018-09-21,2018-09-21,2018-10-12,15.0,163.87,SUCCESS,187.75,141.65,2018-10-13,2019-01-20,66.0,170.2,2018-10-16,141.75,2018-10-23,3.86,-13.5,17.36,164.75,0.54,143.95,-12.16
HIKAL,2019,20-March,2019-03-20,2019-03-20,2019-03-20,2019-04-10,15.0,174.0467,SUCCESS,186.25,162.6,2019-04-11,2019-07-20,67.0,187.7,2019-04-16,148.0,2019-07-19,7.84,-14.97,22.81,183.75,5.58,149.65,-14.02
HIKAL,2019,20-September,2019-09-20,2019-09-20,2019-09-20,2019-10-14,15.0,148.2333,SUCCESS,165.0,138.25,2019-10-15,2020-01-20,67.0,147.2,2019-10-25,100.3,2019-12-11,-0.7,-32.34,31.64,144.25,-2.69,101.55,-31.49
HIKAL,2020,20-March,2020-03-20,2020-03-20,2020-03-20,2020-04-15,15.0,77.2633,SUCCESS,103.6,56.9,2020-04-16,2020-07-20,66.0,135.0,2020-06-22,97.1,2020-05-12,74.73,25.67,49.05,129.0,66.96,99.0,28.13
HIKAL,2020,20-September,2020-09-20,2020-09-21,2020-09-21,2020-10-12,15.0,181.9767,SUCCESS,204.55,152.65,2020-10-13,2021-01-20,69.0,184.9,2020-11-17,153.0,2020-12-22,1.61,-15.92,17.53,180.55,-0.78,160.1,-12.02
HIKAL,2021,20-March,2021-03-20,2021-03-22,2021-03-22,2021-04-13,15.0,156.3933,SUCCESS,179.25,143.0,2021-04-14,2021-07-20,66.0,572.7,2021-07-19,168.6,2021-04-15,266.19,7.81,258.39,555.7,255.32,171.05,9.37
HIKAL,2021,20-September,2021-09-20,2021-09-20,2021-09-20,2021-10-08,15.0,595.9967,SUCCESS,674.3,530.0,2021-10-09,2022-01-20,71.0,595.0,2022-01-06,366.65,2022-01-20,-0.17,-38.48,38.31,579.75,-2.73,387.25,-35.02
HIKAL,2022,20-March,2022-03-20,2022-03-21,2022-03-21,2022-04-08,15.0,415.21,SUCCESS,456.0,388.45,2022-04-09,2022-07-20,70.0,446.4,2022-04-11,212.0,2022-06-21,7.51,-48.94,56.45,439.55,5.86,218.45,-47.39
HIKAL,2022,20-September,2022-09-20,2022-09-20,2022-09-20,2022-10-11,15.0,334.0767,SUCCESS,358.35,308.55,2022-10-12,2023-01-20,71.0,427.8,2023-01-03,311.25,2022-10-25,28.05,-6.83,34.89,416.85,24.78,321.6,-3.73
HIKAL,2023,20-March,2023-03-20,2023-03-20,2023-03-20,2023-04-12,15.0,290.6767,SUCCESS,316.0,260.75,2023-04-13,2023-07-20,68.0,329.0,2023-06-05,282.0,2023-05-29,13.18,-2.98,16.17,326.1,12.19,283.25,-2.55
HIKAL,2023,20-September,2023-09-20,2023-09-20,2023-09-20,2023-10-11,15.0,292.85,SUCCESS,312.5,278.75,2023-10-12,2024-01-20,70.0,318.35,2023-12-27,250.1,2023-11-02,8.71,-14.6,23.31,313.25,6.97,264.55,-9.66
HIKAL,2024,20-March,2024-03-20,2024-03-20,2024-03-20,2024-04-12,15.0,285.3067,SUCCESS,309.5,262.4,2024-04-13,2024-07-20,66.0,377.95,2024-07-08,267.25,2024-06-04,32.47,-6.33,38.8,366.6,28.49,271.4,-4.87
HIKAL,2024,20-September,2024-09-20,2024-09-20,2024-09-20,2024-10-11,15.0,363.54,SUCCESS,395.6,336.55,2024-10-12,2025-01-20,68.0,464.75,2024-12-02,334.35,2024-10-25,27.84,-8.03,35.87,444.75,22.34,341.8,-5.98
HIKAL,2025,20-March,2025-03-20,2025-03-20,2025-03-20,2025-04-11,15.0,405.75,SUCCESS,434.0,326.35,2025-04-12,2025-07-20,67.0,456.75,2025-04-16,336.4,2025-07-14,12.57,-17.09,29.66,432.9,6.69,340.05,-16.19
HIKAL,2025,20-September,2025-09-20,2025-09-22,2025-09-22,2025-10-13,15.0,253.08,SUCCESS,282.7,239.05,2025-10-14,2026-01-20,67.0,261.0,2025-12-04,207.3,2026-01-20,3.13,-18.09,21.22,256.15,1.21,207.83,-17.88
HIKAL,2026,20-March,2026-03-20,2026-03-20,2026-03-20,2026-04-15,15.0,166.9427,SUCCESS,189.0,146.25,2026-04-16,2026-07-20,65.0,252.8,2026-07-13,174.97,2026-06-11,51.43,4.81,46.62,245.69,47.17,176.15,5.52
HIKAL,2026,20-September,2026-09-20,2026-09-21,,,,,INSUFFICIENT_BASE_DATA,,,,,,,,,,,,,,,,
