Stock,Year,Event,Reference Date,Actual Start Date,Base Start Date,Base End Date,Base Trading Days,Base Price,Status,Base Period High,Base Period Low,Analysis Start Date,Analysis End Date,Analysis Trading Days,Highest High,Highest High Date,Lowest Low,Lowest Low Date,Upside %,Downside %,High-Low %,Highest Close,Highest Close %,Lowest Close,Lowest Close %
HINDCOPPER,2010,20-March,2010-03-20,2010-03-22,2010-03-22,2010-04-13,15.0,524.73,SUCCESS,561.0,484.0,2010-04-14,2010-07-20,69.0,541.4,2010-04-20,324.0,2010-05-26,3.18,-38.25,41.43,527.75,0.58,394.65,-24.79
HINDCOPPER,2010,20-September,2010-09-20,2010-09-20,2010-09-20,2010-10-08,15.0,446.5,SUCCESS,486.0,407.5,2010-10-09,2011-01-20,72.0,470.0,2010-11-03,268.3,2011-01-19,5.26,-39.91,45.17,451.55,1.13,273.4,-38.77
HINDCOPPER,2011,20-March,2011-03-20,2011-03-21,2011-03-21,2011-04-08,15.0,296.7533,SUCCESS,312.0,287.8,2011-04-09,2011-07-20,70.0,324.7,2011-04-15,250.05,2011-06-23,9.42,-15.74,25.16,311.25,4.89,252.65,-14.86
HINDCOPPER,2011,20-September,2011-09-20,2011-09-20,2011-09-20,2011-10-11,15.0,218.2933,SUCCESS,239.0,204.0,2011-10-12,2012-01-20,70.0,321.95,2012-01-10,146.0,2011-12-20,47.49,-33.12,80.6,308.0,41.09,147.15,-32.59
HINDCOPPER,2012,20-March,2012-03-20,2012-03-20,2012-03-20,2012-04-11,15.0,270.1333,SUCCESS,292.95,257.9,2012-04-12,2012-07-20,72.0,297.0,2012-04-28,203.9,2012-06-22,9.95,-24.52,34.46,290.95,7.71,241.4,-10.64
HINDCOPPER,2012,20-September,2012-09-20,2012-09-20,2012-09-20,2012-10-11,15.0,264.0133,SUCCESS,272.15,257.6,2012-10-12,2013-01-20,67.0,276.55,2012-11-22,130.1,2012-12-26,4.75,-50.72,55.47,268.95,1.87,136.4,-48.34
HINDCOPPER,2013,20-March,2013-03-20,2013-03-20,2013-03-20,2013-04-11,15.0,99.39,SUCCESS,109.25,84.45,2013-04-12,2013-07-20,69.0,113.4,2013-05-11,60.15,2013-07-18,14.1,-39.48,53.58,110.8,11.48,61.1,-38.53
HINDCOPPER,2013,20-September,2013-09-20,2013-09-20,2013-09-20,2013-10-11,15.0,65.4167,SUCCESS,71.2,62.5,2013-10-12,2014-01-20,68.0,78.3,2013-11-06,64.0,2013-10-17,19.69,-2.17,21.86,75.4,15.26,64.2,-1.86
HINDCOPPER,2014,20-March,2014-03-20,2014-03-20,2014-03-20,2014-04-09,15.0,68.8933,SUCCESS,75.75,65.45,2014-04-10,2014-07-20,44.0,125.0,2014-06-11,70.7,2014-05-09,81.44,2.62,78.82,120.25,74.55,71.3,3.49
HINDCOPPER,2014,20-September,2014-09-20,2015-12-28,2015-12-28,2016-01-15,15.0,57.2033,NO_ANALYSIS_DATA,,,,,,,,,,,,,,,,
